Episode no = 4100; won: False; iter_time_steps = 18; Q(s,a) = -17.009810387216714; score = -517.0; mean_score/100_episodes = -510.5; reward = -517.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:37
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -17.828561308504515; score = -509.0; mean_score/100_episodes = -511.41; reward = -509.0; mean_reward/100_episodes = -511.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:49
Episode no = 4300; won: False; iter_time_steps = 21; Q(s,a) = -17.996993724602323; score = -510.0; mean_score/100_episodes = -510.88; reward = -509.0; mean_reward/100_episodes = -510.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:00
Episode no = 4400; won: False; iter_time_steps = 13; Q(s,a) = -18.15125936331057; score = -502.0; mean_score/100_episodes = -509.31; reward = -501.0; mean_reward/100_episodes = -509.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:10
Episode no = 4500; won: False; iter_time_steps = 17; Q(s,a) = -18.16133823155598; score = -516.0; mean_score/100_episodes = -510.03; reward = -516.0; mean_reward/100_episodes = -509.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:21
Episode no = 4600; won: False; iter_time_steps = 31; Q(s,a) = -18.381515290391086; score = -530.0; mean_score/100_episodes = -509.24; reward = -530.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:31
Episode no = 4700; won: False; iter_time_steps = 8; Q(s,a) = -17.92223928982844; score = -507.0; mean_score/100_episodes = -508.04; reward = -507.0; mean_reward/100_episodes = -507.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:40
Episode no = 4800; won: False; iter_time_steps = 14; Q(s,a) = -17.97937557556661; score = -503.0; mean_score/100_episodes = -508.51; reward = -491.0; mean_reward/100_episodes = -508.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:48
Episode no = 4900; won: False; iter_time_steps = 7; Q(s,a) = -18.695889946125746; score = -506.0; mean_score/100_episodes = -508.62; reward = -506.0; mean_reward/100_episodes = -508.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:56
Episode no = 5000; won: False; iter_time_steps = 5; Q(s,a) = -18.838904475016616; score = -504.0; mean_score/100_episodes = -509.14; reward = -504.0; mean_reward/100_episodes = -508.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:04
Episode no = 5100; won: False; iter_time_steps = 10; Q(s,a) = -18.14486479429472; score = -509.0; mean_score/100_episodes = -509.1; reward = -509.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:13
Episode no = 5200; won: False; iter_time_steps = 9; Q(s,a) = -19.01640268812857; score = -508.0; mean_score/100_episodes = -507.68; reward = -508.0; mean_reward/100_episodes = -507.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:20
Episode no = 5300; won: False; iter_time_steps = 10; Q(s,a) = -18.825413696357053; score = -509.0; mean_score/100_episodes = -506.93; reward = -509.0; mean_reward/100_episodes = -506.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:28
Episode no = 5400; won: False; iter_time_steps = 10; Q(s,a) = -18.916342641846768; score = -509.0; mean_score/100_episodes = -507.7; reward = -509.0; mean_reward/100_episodes = -507.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:36
Episode no = 5500; won: False; iter_time_steps = 16; Q(s,a) = -19.096559331166286; score = -505.0; mean_score/100_episodes = -506.79; reward = -504.0; mean_reward/100_episodes = -506.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:44
Episode no = 5600; won: False; iter_time_steps = 14; Q(s,a) = -18.220928159758724; score = -503.0; mean_score/100_episodes = -508.3; reward = -502.0; mean_reward/100_episodes = -508.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:05:52
Episode no = 5700; won: False; iter_time_steps = 10; Q(s,a) = -19.162710450771684; score = -509.0; mean_score/100_episodes = -508.19; reward = -509.0; mean_reward/100_episodes = -507.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:00
Episode no = 5800; won: False; iter_time_steps = 20; Q(s,a) = -18.759226733251282; score = -519.0; mean_score/100_episodes = -508.03; reward = -519.0; mean_reward/100_episodes = -507.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:07
Episode no = 5900; won: False; iter_time_steps = 10; Q(s,a) = -18.88247454834254; score = -509.0; mean_score/100_episodes = -508.33; reward = -509.0; mean_reward/100_episodes = -508.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:15
Episode no = 6000; won: False; iter_time_steps = 10; Q(s,a) = -19.44587575638403; score = -509.0; mean_score/100_episodes = -509.59; reward = -509.0; mean_reward/100_episodes = -509.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:24
Episode no = 6100; won: False; iter_time_steps = 43; Q(s,a) = -18.548356447637087; score = -542.0; mean_score/100_episodes = -510.64; reward = -542.0; mean_reward/100_episodes = -510.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:32
Episode no = 6200; won: False; iter_time_steps = 27; Q(s,a) = -18.785611936533606; score = -526.0; mean_score/100_episodes = -510.69; reward = -526.0; mean_reward/100_episodes = -510.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:41
Episode no = 6300; won: False; iter_time_steps = 12; Q(s,a) = -18.89723772470343; score = -511.0; mean_score/100_episodes = -509.3; reward = -511.0; mean_reward/100_episodes = -509.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:50
Episode no = 6400; won: False; iter_time_steps = 15; Q(s,a) = -10.820944068197324; score = -504.0; mean_score/100_episodes = -507.08; reward = -503.0; mean_reward/100_episodes = -506.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:06:58
Episode no = 6500; won: False; iter_time_steps = 16; Q(s,a) = -10.58148014007164; score = -505.0; mean_score/100_episodes = -505.05; reward = -504.0; mean_reward/100_episodes = -504.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:06
Episode no = 6600; won: False; iter_time_steps = 15; Q(s,a) = -9.440735360141877; score = -504.0; mean_score/100_episodes = -504.76; reward = -503.0; mean_reward/100_episodes = -504.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:14
Episode no = 6700; won: False; iter_time_steps = 5; Q(s,a) = -15.411733308809644; score = -504.0; mean_score/100_episodes = -504.54; reward = -504.0; mean_reward/100_episodes = -504.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:22
Episode no = 6800; won: False; iter_time_steps = 5; Q(s,a) = -15.15078040280612; score = -504.0; mean_score/100_episodes = -504.43; reward = -504.0; mean_reward/100_episodes = -504.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:29
Episode no = 6900; won: False; iter_time_steps = 5; Q(s,a) = -9.05769149848712; score = -504.0; mean_score/100_episodes = -504.69; reward = -504.0; mean_reward/100_episodes = -504.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:37
Episode no = 7000; won: False; iter_time_steps = 5; Q(s,a) = -7.858249991834324; score = -504.0; mean_score/100_episodes = -505.14; reward = -504.0; mean_reward/100_episodes = -504.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:45
Episode no = 7100; won: False; iter_time_steps = 14; Q(s,a) = -2.407577142000062; score = -503.0; mean_score/100_episodes = -504.7; reward = -502.0; mean_reward/100_episodes = -504.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:07:53
Episode no = 7200; won: False; iter_time_steps = 18; Q(s,a) = -2.6313590750268294; score = -507.0; mean_score/100_episodes = -504.96; reward = -506.0; mean_reward/100_episodes = -504.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:00
Episode no = 7300; won: False; iter_time_steps = 6; Q(s,a) = -11.22745264637911; score = -505.0; mean_score/100_episodes = -505.31; reward = -505.0; mean_reward/100_episodes = -504.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:08
Episode no = 7400; won: False; iter_time_steps = 18; Q(s,a) = -4.329462716902673; score = -507.0; mean_score/100_episodes = -506.1; reward = -506.0; mean_reward/100_episodes = -505.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:17
Episode no = 7500; won: False; iter_time_steps = 18; Q(s,a) = -4.151104331134874; score = -507.0; mean_score/100_episodes = -506.61; reward = -506.0; mean_reward/100_episodes = -506.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:26
Episode no = 7600; won: False; iter_time_steps = 26; Q(s,a) = -3.5298524295681353; score = -515.0; mean_score/100_episodes = -506.68; reward = -514.0; mean_reward/100_episodes = -506.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:35
Episode no = 7700; won: False; iter_time_steps = 6; Q(s,a) = -10.372206465313766; score = -505.0; mean_score/100_episodes = -498.35; reward = -505.0; mean_reward/100_episodes = -501.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 11:08:46
Episode no = 7800; won: False; iter_time_steps = 8; Q(s,a) = -8.034708449507226; score = -507.0; mean_score/100_episodes = -508.67; reward = -507.0; mean_reward/100_episodes = -508.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:08:56
Episode no = 7900; won: False; iter_time_steps = 16; Q(s,a) = -1.794499703619867; score = -505.0; mean_score/100_episodes = -506.96; reward = -504.0; mean_reward/100_episodes = -506.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:06
Episode no = 8000; won: False; iter_time_steps = 14; Q(s,a) = -4.585054303955277; score = -503.0; mean_score/100_episodes = -506.68; reward = -502.0; mean_reward/100_episodes = -506.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:15
Episode no = 8100; won: False; iter_time_steps = 11; Q(s,a) = -11.395539051875; score = -510.0; mean_score/100_episodes = -507.34; reward = -510.0; mean_reward/100_episodes = -506.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:24
Episode no = 8200; won: False; iter_time_steps = 11; Q(s,a) = -9.66663105944444; score = -510.0; mean_score/100_episodes = -508.5; reward = -510.0; mean_reward/100_episodes = -508.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:35
Episode no = 8300; won: False; iter_time_steps = 23; Q(s,a) = -4.512702895626081; score = -512.0; mean_score/100_episodes = -508.69; reward = -511.0; mean_reward/100_episodes = -508.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:45
Episode no = 8400; won: False; iter_time_steps = 24; Q(s,a) = 7.5376788283448946; score = -513.0; mean_score/100_episodes = -508.78; reward = -512.0; mean_reward/100_episodes = -508.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:09:56
