Episode no = 9700; won: True; iter_time_steps = 18; Q(s,a) = 305.0586025893105; score = 503.0; mean_score/100_episodes = 68.05; reward = 94.0; mean_reward/100_episodes = -165.16; and epsilon = 0.1, win percentage = 0.57, 2024-11-25 05:45:27
Episode no = 9800; won: True; iter_time_steps = 21; Q(s,a) = 439.41144877808995; score = 500.0; mean_score/100_episodes = 117.93; reward = 91.0; mean_reward/100_episodes = -135.99; and epsilon = 0.1, win percentage = 0.62, 2024-11-25 05:45:37
Episode no = 9900; won: True; iter_time_steps = 19; Q(s,a) = 354.1925694069623; score = 502.0; mean_score/100_episodes = 107.48; reward = 93.0; mean_reward/100_episodes = -141.94; and epsilon = 0.1, win percentage = 0.61, 2024-11-25 05:45:48
Episode no = 10000; won: True; iter_time_steps = 19; Q(s,a) = 381.515162999861; score = 502.0; mean_score/100_episodes = 27.87; reward = 93.0; mean_reward/100_episodes = -189.11; and epsilon = 0.1, win percentage = 0.53, 2024-11-25 05:45:57
Episode no = 10100; won: False; iter_time_steps = 12; Q(s,a) = 172.89725061364015; score = -501.0; mean_score/100_episodes = 28.41; reward = -511.0; mean_reward/100_episodes = -188.29; and epsilon = 0.1, win percentage = 0.53, 2024-11-25 05:46:07
Episode no = 10200; won: True; iter_time_steps = 24; Q(s,a) = 471.26074446037813; score = 497.0; mean_score/100_episodes = 108.32; reward = 88.0; mean_reward/100_episodes = -141.28; and epsilon = 0.1, win percentage = 0.61, 2024-11-25 05:46:17
Episode no = 10300; won: True; iter_time_steps = 17; Q(s,a) = 413.7478339370256; score = 504.0; mean_score/100_episodes = 38.35; reward = 95.0; mean_reward/100_episodes = -182.2; and epsilon = 0.1, win percentage = 0.54, 2024-11-25 05:46:26
Episode no = 10400; won: False; iter_time_steps = 12; Q(s,a) = 213.00883192460975; score = -501.0; mean_score/100_episodes = 57.06; reward = -500.0; mean_reward/100_episodes = -172.01; and epsilon = 0.1, win percentage = 0.56, 2024-11-25 05:46:37
Episode no = 10500; won: False; iter_time_steps = 12; Q(s,a) = 193.74115969061054; score = -501.0; mean_score/100_episodes = -32.75; reward = -511.0; mean_reward/100_episodes = -225.27; and epsilon = 0.1, win percentage = 0.47, 2024-11-25 05:46:46
Episode no = 10600; won: True; iter_time_steps = 20; Q(s,a) = 377.7567688666117; score = 501.0; mean_score/100_episodes = 138.71; reward = 92.0; mean_reward/100_episodes = -122.83; and epsilon = 0.1, win percentage = 0.64, 2024-11-25 05:46:56
Episode no = 10700; won: True; iter_time_steps = 22; Q(s,a) = 530.5755144348141; score = 499.0; mean_score/100_episodes = 78.25; reward = 90.0; mean_reward/100_episodes = -158.62; and epsilon = 0.1, win percentage = 0.58, 2024-11-25 05:47:06
Episode no = 10800; won: True; iter_time_steps = 17; Q(s,a) = 480.2015152127837; score = 504.0; mean_score/100_episodes = 128.36; reward = 95.0; mean_reward/100_episodes = -128.98; and epsilon = 0.1, win percentage = 0.63, 2024-11-25 05:47:16
Episode no = 10900; won: False; iter_time_steps = 12; Q(s,a) = 212.92093747389913; score = -511.0; mean_score/100_episodes = 57.42; reward = -511.0; mean_reward/100_episodes = -171.37; and epsilon = 0.1, win percentage = 0.56, 2024-11-25 05:47:25
