Episode no = 5500; won: False; iter_time_steps = 26; Q(s,a) = 247.83794886160248; score = -375.0; mean_score/100_episodes = 100.68; reward = -360.0; mean_reward/100_episodes = 20.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-02 02:30:47
Episode no = 5600; won: False; iter_time_steps = 101; Q(s,a) = 214.05474581518672; score = 230.0; mean_score/100_episodes = 121.78; reward = 133.0; mean_reward/100_episodes = 27.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-02 02:31:36
Episode no = 5700; won: False; iter_time_steps = 37; Q(s,a) = 205.2684174056278; score = -76.0; mean_score/100_episodes = 131.53; reward = -210.0; mean_reward/100_episodes = 25.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-02 02:32:21
Episode no = 5800; won: False; iter_time_steps = 101; Q(s,a) = 208.76915569997863; score = 470.0; mean_score/100_episodes = 154.99; reward = 228.0; mean_reward/100_episodes = 38.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-02 02:33:06
Episode no = 5900; won: False; iter_time_steps = 85; Q(s,a) = 191.26517763573452; score = -94.0; mean_score/100_episodes = 169.49; reward = -45.0; mean_reward/100_episodes = 62.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-02 02:33:56
Episode no = 6000; won: False; iter_time_steps = 101; Q(s,a) = 214.96449907411255; score = 480.0; mean_score/100_episodes = 233.22; reward = 228.0; mean_reward/100_episodes = 99.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-02 02:34:46
Episode no = 6100; won: False; iter_time_steps = 101; Q(s,a) = 191.0502311543819; score = 170.0; mean_score/100_episodes = 187.62; reward = 78.0; mean_reward/100_episodes = 68.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-02 02:35:32
Episode no = 6200; won: False; iter_time_steps = 101; Q(s,a) = 191.7343626476637; score = 190.0; mean_score/100_episodes = 209.51; reward = 280.0; mean_reward/100_episodes = 88.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-02 02:36:23
Episode no = 6300; won: False; iter_time_steps = 101; Q(s,a) = 194.8550977752869; score = 760.0; mean_score/100_episodes = 230.35; reward = 378.0; mean_reward/100_episodes = 117.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-02 02:37:13
Episode no = 6400; won: False; iter_time_steps = 86; Q(s,a) = 200.40632822766426; score = 225.0; mean_score/100_episodes = 273.31; reward = 137.0; mean_reward/100_episodes = 129.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-02 02:38:10
