Episode no = 6400; won: False; iter_time_steps = 39; Q(s,a) = 10.337805971186807; score = -208.0; mean_score/100_episodes = 85.96; reward = -175.0; mean_reward/100_episodes = 25.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.02, 2024-12-03 14:24:24
Episode no = 6500; won: False; iter_time_steps = 29; Q(s,a) = 12.33022749026007; score = -288.0; mean_score/100_episodes = 4.78; reward = -264.0; mean_reward/100_episodes = -35.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:25:58
Episode no = 6600; won: False; iter_time_steps = 242; Q(s,a) = 27.226967401232645; score = 669.0; mean_score/100_episodes = 40.32; reward = 281.0; mean_reward/100_episodes = -18.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:27:22
Episode no = 6700; won: False; iter_time_steps = 113; Q(s,a) = 9.604041221882008; score = -242.0; mean_score/100_episodes = 132.43; reward = -205.0; mean_reward/100_episodes = 54.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:28:58
Episode no = 6800; won: False; iter_time_steps = 286; Q(s,a) = 9.37374643948218; score = -485.0; mean_score/100_episodes = 32.44; reward = -455.0; mean_reward/100_episodes = -23.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:30:33
Episode no = 6900; won: False; iter_time_steps = 69; Q(s,a) = 12.709076959870014; score = -258.0; mean_score/100_episodes = 11.74; reward = -227.0; mean_reward/100_episodes = -47.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:32:10
Episode no = 7000; won: False; iter_time_steps = 96; Q(s,a) = 11.613390726484955; score = 175.0; mean_score/100_episodes = 6.47; reward = 83.0; mean_reward/100_episodes = -63.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:33:43
Episode no = 7100; won: False; iter_time_steps = 25; Q(s,a) = 10.71128267093922; score = -314.0; mean_score/100_episodes = 48.73; reward = -293.0; mean_reward/100_episodes = -21.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:35:23
Episode no = 7200; won: False; iter_time_steps = 279; Q(s,a) = 11.999923019775796; score = -198.0; mean_score/100_episodes = -8.99; reward = -140.0; mean_reward/100_episodes = -61.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:36:52
Episode no = 7300; won: False; iter_time_steps = 136; Q(s,a) = 14.67906494211312; score = 155.0; mean_score/100_episodes = 100.91; reward = 54.0; mean_reward/100_episodes = 25.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:38:24
Episode no = 7400; won: False; iter_time_steps = 60; Q(s,a) = 11.212637654114621; score = -99.0; mean_score/100_episodes = 32.29; reward = -53.0; mean_reward/100_episodes = -36.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-03 14:40:00
Episode no = 7500; won: False; iter_time_steps = 137; Q(s,a) = 28.66506450469167; score = 64.0; mean_score/100_episodes = -36.36; reward = -204.0; mean_reward/100_episodes = -77.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:41:31
Episode no = 7600; won: False; iter_time_steps = 161; Q(s,a) = 17.374901000418618; score = 950.0; mean_score/100_episodes = 79.37; reward = 402.0; mean_reward/100_episodes = 2.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:43:02
Episode no = 7700; won: False; iter_time_steps = 217; Q(s,a) = 12.250953091332992; score = 64.0; mean_score/100_episodes = 87.22; reward = -27.0; mean_reward/100_episodes = 17.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:44:48
