Episode no = 3900; won: False; iter_time_steps = 127; Q(s,a) = 131.2020676417148; score = -436.0; mean_score/100_episodes = -299.86; reward = -417.0; mean_reward/100_episodes = -283.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-21 10:39:02
Episode no = 4000; won: False; iter_time_steps = 54; Q(s,a) = 134.3271819083602; score = -273.0; mean_score/100_episodes = -252.69; reward = -256.0; mean_reward/100_episodes = -242.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-21 10:40:12
Episode no = 4100; won: False; iter_time_steps = 20; Q(s,a) = 137.58792053175497; score = -409.0; mean_score/100_episodes = -271.44; reward = -409.0; mean_reward/100_episodes = -267.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-21 10:41:16
Episode no = 4200; won: False; iter_time_steps = 39; Q(s,a) = 141.6680277131727; score = -338.0; mean_score/100_episodes = -283.28; reward = -318.0; mean_reward/100_episodes = -270.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-21 10:42:23
Episode no = 4300; won: False; iter_time_steps = 107; Q(s,a) = 143.45242546880792; score = -296.0; mean_score/100_episodes = -248.36; reward = -265.0; mean_reward/100_episodes = -238.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-21 10:43:32
Episode no = 4400; won: False; iter_time_steps = 19; Q(s,a) = 144.14186656938682; score = -438.0; mean_score/100_episodes = -254.61; reward = -441.0; mean_reward/100_episodes = -246.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-21 10:44:42
Episode no = 4500; won: False; iter_time_steps = 113; Q(s,a) = 147.78206590289798; score = -262.0; mean_score/100_episodes = -221.52; reward = -227.0; mean_reward/100_episodes = -226.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-21 10:45:50
Episode no = 4600; won: False; iter_time_steps = 169; Q(s,a) = 150.34705085278014; score = -8.0; mean_score/100_episodes = -208.14; reward = -122.0; mean_reward/100_episodes = -208.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-21 10:46:55
Episode no = 4700; won: False; iter_time_steps = 20; Q(s,a) = 155.21951847275622; score = -439.0; mean_score/100_episodes = -263.76; reward = -431.0; mean_reward/100_episodes = -258.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-21 10:47:58
Episode no = 4800; won: False; iter_time_steps = 154; Q(s,a) = 155.65318860986653; score = -83.0; mean_score/100_episodes = -226.72; reward = -206.0; mean_reward/100_episodes = -221.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-21 10:49:02
Episode no = 4900; won: False; iter_time_steps = 50; Q(s,a) = 156.83045367674694; score = -219.0; mean_score/100_episodes = -220.76; reward = -186.0; mean_reward/100_episodes = -217.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-21 10:50:15
Episode no = 5000; won: False; iter_time_steps = 30; Q(s,a) = 159.2531748744623; score = -269.0; mean_score/100_episodes = -206.12; reward = -243.0; mean_reward/100_episodes = -197.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-21 10:51:26
Episode no = 5100; won: False; iter_time_steps = 19; Q(s,a) = 160.3506888381389; score = -398.0; mean_score/100_episodes = -196.89; reward = -386.0; mean_reward/100_episodes = -194.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-21 10:52:30
Episode no = 5200; won: False; iter_time_steps = 122; Q(s,a) = 163.94324144016468; score = -141.0; mean_score/100_episodes = -195.31; reward = -93.0; mean_reward/100_episodes = -190.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-21 10:53:53
Episode no = 5300; won: False; iter_time_steps = 73; Q(s,a) = 165.7409293280261; score = -112.0; mean_score/100_episodes = -217.89; reward = -66.0; mean_reward/100_episodes = -222.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-21 10:55:01
Episode no = 5400; won: False; iter_time_steps = 388; Q(s,a) = 167.07007940176746; score = -227.0; mean_score/100_episodes = -197.5; reward = -161.0; mean_reward/100_episodes = -207.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-21 10:56:23
Episode no = 5500; won: False; iter_time_steps = 82; Q(s,a) = 168.40379851091677; score = -31.0; mean_score/100_episodes = -211.57; reward = 13.0; mean_reward/100_episodes = -207.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-21 10:57:24
Episode no = 5600; won: False; iter_time_steps = 253; Q(s,a) = 170.91427335397174; score = 178.0; mean_score/100_episodes = -189.95; reward = 91.0; mean_reward/100_episodes = -180.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-21 10:58:37
Episode no = 5700; won: False; iter_time_steps = 31; Q(s,a) = 171.54229404690145; score = -280.0; mean_score/100_episodes = -168.94; reward = -266.0; mean_reward/100_episodes = -177.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-21 10:59:50
Episode no = 5800; won: False; iter_time_steps = 69; Q(s,a) = 172.91403179960923; score = -228.0; mean_score/100_episodes = -186.42; reward = -194.0; mean_reward/100_episodes = -195.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-21 11:01:02
Episode no = 5900; won: False; iter_time_steps = 117; Q(s,a) = 173.9471784401843; score = -256.0; mean_score/100_episodes = -206.94; reward = -220.0; mean_reward/100_episodes = -205.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-21 11:02:11
Episode no = 6000; won: False; iter_time_steps = 234; Q(s,a) = 175.6202140060753; score = 507.0; mean_score/100_episodes = -193.06; reward = 293.0; mean_reward/100_episodes = -201.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-21 11:03:30
Episode no = 6100; won: False; iter_time_steps = 22; Q(s,a) = 176.59034274256362; score = -361.0; mean_score/100_episodes = -165.73; reward = -345.0; mean_reward/100_episodes = -176.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-21 11:04:59
Episode no = 6200; won: False; iter_time_steps = 238; Q(s,a) = 177.50133082902965; score = 363.0; mean_score/100_episodes = -136.61; reward = 124.0; mean_reward/100_episodes = -150.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-21 11:06:13
Episode no = 6300; won: False; iter_time_steps = 21; Q(s,a) = 179.24409427733926; score = -320.0; mean_score/100_episodes = -198.03; reward = -300.0; mean_reward/100_episodes = -192.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-21 11:07:26
Episode no = 6400; won: False; iter_time_steps = 170; Q(s,a) = 180.9653540336654; score = 221.0; mean_score/100_episodes = -174.34; reward = 130.0; mean_reward/100_episodes = -174.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-21 11:08:54
