Episode no = 5900; won: False; iter_time_steps = 6; Q(s,a) = -0.1153280758296827; score = -505.0; mean_score/100_episodes = -507.84; reward = -505.0; mean_reward/100_episodes = -507.71; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-24 06:11:03
Episode no = 6000; won: False; iter_time_steps = 19; Q(s,a) = -0.11788074085470257; score = -508.0; mean_score/100_episodes = -509.46; reward = -507.0; mean_reward/100_episodes = -509.37; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-24 06:11:05
Episode no = 6100; won: False; iter_time_steps = 8; Q(s,a) = -0.12041409152350602; score = -507.0; mean_score/100_episodes = -508.13; reward = -507.0; mean_reward/100_episodes = -507.95; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-24 06:11:07
Episode no = 6200; won: False; iter_time_steps = 20; Q(s,a) = -0.12283762026554312; score = -519.0; mean_score/100_episodes = -508.33; reward = -519.0; mean_reward/100_episodes = -508.02; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-24 06:11:09
Episode no = 6300; won: False; iter_time_steps = 10; Q(s,a) = -0.12557063443972594; score = -509.0; mean_score/100_episodes = -508.65; reward = -509.0; mean_reward/100_episodes = -508.6; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-24 06:11:12
Episode no = 6400; won: False; iter_time_steps = 5; Q(s,a) = -0.12797513819697806; score = -504.0; mean_score/100_episodes = -508.69; reward = -504.0; mean_reward/100_episodes = -508.39; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-24 06:11:13
Episode no = 6500; won: False; iter_time_steps = 8; Q(s,a) = -0.13038733389739773; score = -507.0; mean_score/100_episodes = -508.7; reward = -507.0; mean_reward/100_episodes = -508.33; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-24 06:11:15
Episode no = 6600; won: False; iter_time_steps = 14; Q(s,a) = -0.13304903743735844; score = -513.0; mean_score/100_episodes = -508.82; reward = -513.0; mean_reward/100_episodes = -508.48; and epsilon = 0.12, win percentage = 0.0, 2024-11-24 06:11:17
Episode no = 6700; won: False; iter_time_steps = 9; Q(s,a) = -0.135272921509847; score = -508.0; mean_score/100_episodes = -508.87; reward = -508.0; mean_reward/100_episodes = -508.69; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-24 06:11:19
Episode no = 6800; won: False; iter_time_steps = 8; Q(s,a) = -0.13815844405868; score = -507.0; mean_score/100_episodes = -509.32; reward = -507.0; mean_reward/100_episodes = -509.11; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:21
Episode no = 6900; won: False; iter_time_steps = 7; Q(s,a) = -0.1403791848971471; score = -506.0; mean_score/100_episodes = -508.68; reward = -506.0; mean_reward/100_episodes = -508.61; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:23
Episode no = 7000; won: False; iter_time_steps = 16; Q(s,a) = -0.14274667608931424; score = -515.0; mean_score/100_episodes = -509.06; reward = -515.0; mean_reward/100_episodes = -508.96; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:25
Episode no = 7100; won: False; iter_time_steps = 7; Q(s,a) = -0.14487435628550419; score = -506.0; mean_score/100_episodes = -509.99; reward = -506.0; mean_reward/100_episodes = -510.07; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:27
Episode no = 7200; won: False; iter_time_steps = 11; Q(s,a) = -0.14653723759174736; score = -510.0; mean_score/100_episodes = -510.8; reward = -510.0; mean_reward/100_episodes = -510.8; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:30
Episode no = 7300; won: False; iter_time_steps = 12; Q(s,a) = -0.14907669831227424; score = -511.0; mean_score/100_episodes = -510.69; reward = -511.0; mean_reward/100_episodes = -510.69; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:32
Episode no = 7400; won: False; iter_time_steps = 11; Q(s,a) = -0.15170561691130854; score = -510.0; mean_score/100_episodes = -511.7; reward = -510.0; mean_reward/100_episodes = -511.7; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:34
Episode no = 7500; won: False; iter_time_steps = 24; Q(s,a) = -0.15442587145929612; score = -523.0; mean_score/100_episodes = -510.64; reward = -523.0; mean_reward/100_episodes = -510.64; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:36
Episode no = 7600; won: False; iter_time_steps = 11; Q(s,a) = -0.1567863244777608; score = -510.0; mean_score/100_episodes = -510.12; reward = -510.0; mean_reward/100_episodes = -510.12; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:39
Episode no = 7700; won: False; iter_time_steps = 11; Q(s,a) = -0.15939833817791485; score = -510.0; mean_score/100_episodes = -511.07; reward = -510.0; mean_reward/100_episodes = -511.07; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:41
Episode no = 7800; won: False; iter_time_steps = 7; Q(s,a) = -0.16228560782721085; score = -506.0; mean_score/100_episodes = -510.37; reward = -506.0; mean_reward/100_episodes = -510.37; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:43
Episode no = 7900; won: False; iter_time_steps = 10; Q(s,a) = -0.16493100531968366; score = -509.0; mean_score/100_episodes = -510.21; reward = -509.0; mean_reward/100_episodes = -510.21; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:45
Episode no = 8000; won: False; iter_time_steps = 19; Q(s,a) = -0.1671901235132281; score = -518.0; mean_score/100_episodes = -510.35; reward = -518.0; mean_reward/100_episodes = -510.35; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:47
Episode no = 8100; won: False; iter_time_steps = 7; Q(s,a) = -0.16981354504933877; score = -506.0; mean_score/100_episodes = -509.9; reward = -506.0; mean_reward/100_episodes = -509.9; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:49
Episode no = 8200; won: False; iter_time_steps = 8; Q(s,a) = -0.17121817765445588; score = -507.0; mean_score/100_episodes = -509.36; reward = -507.0; mean_reward/100_episodes = -509.36; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:51
Episode no = 8300; won: False; iter_time_steps = 10; Q(s,a) = -0.17290681190196242; score = -509.0; mean_score/100_episodes = -509.92; reward = -509.0; mean_reward/100_episodes = -509.92; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:53
Episode no = 8400; won: False; iter_time_steps = 8; Q(s,a) = -0.17519536137683484; score = -507.0; mean_score/100_episodes = -509.7; reward = -507.0; mean_reward/100_episodes = -509.7; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:55
Episode no = 8500; won: False; iter_time_steps = 9; Q(s,a) = -0.17782545847964215; score = -508.0; mean_score/100_episodes = -509.83; reward = -508.0; mean_reward/100_episodes = -509.83; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:57
Episode no = 8600; won: False; iter_time_steps = 8; Q(s,a) = -0.18051502037678985; score = -507.0; mean_score/100_episodes = -509.89; reward = -507.0; mean_reward/100_episodes = -509.89; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:11:59
Episode no = 8700; won: False; iter_time_steps = 8; Q(s,a) = -0.1832452528373775; score = -507.0; mean_score/100_episodes = -509.63; reward = -507.0; mean_reward/100_episodes = -509.63; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:01
Episode no = 8800; won: False; iter_time_steps = 8; Q(s,a) = -0.18588772519763408; score = -507.0; mean_score/100_episodes = -509.48; reward = -507.0; mean_reward/100_episodes = -509.48; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:03
Episode no = 8900; won: False; iter_time_steps = 8; Q(s,a) = -0.18802756136027263; score = -507.0; mean_score/100_episodes = -509.29; reward = -507.0; mean_reward/100_episodes = -509.29; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:05
Episode no = 9000; won: False; iter_time_steps = 11; Q(s,a) = -0.19041943496989325; score = -510.0; mean_score/100_episodes = -509.88; reward = -510.0; mean_reward/100_episodes = -509.88; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:07
Episode no = 9100; won: False; iter_time_steps = 7; Q(s,a) = -0.19281764544217297; score = -506.0; mean_score/100_episodes = -510.73; reward = -506.0; mean_reward/100_episodes = -510.73; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 06:12:09
