Episode no = 6400; won: False; iter_time_steps = 12; Q(s,a) = -7.208326351562001; score = -501.0; mean_score/100_episodes = -427.59; reward = -511.0; mean_reward/100_episodes = -459.76; and epsilon = 0.1466666666666666, win percentage = 0.08, 2024-11-25 05:56:39
Episode no = 6500; won: False; iter_time_steps = 12; Q(s,a) = -6.453034590247097; score = -501.0; mean_score/100_episodes = -339.85; reward = -489.0; mean_reward/100_episodes = -407.93; and epsilon = 0.1333333333333333, win percentage = 0.17, 2024-11-25 05:57:03
Episode no = 6600; won: False; iter_time_steps = 55; Q(s,a) = 0.4557661717665502; score = -544.0; mean_score/100_episodes = -450.87; reward = -543.0; mean_reward/100_episodes = -475.11; and epsilon = 0.12, win percentage = 0.06, 2024-11-25 05:57:28
Episode no = 6700; won: False; iter_time_steps = 13; Q(s,a) = -7.09955823831266; score = -512.0; mean_score/100_episodes = -429.37; reward = -512.0; mean_reward/100_episodes = -461.9; and epsilon = 0.10666666666666669, win percentage = 0.08, 2024-11-25 05:57:54
Episode no = 6800; won: False; iter_time_steps = 15; Q(s,a) = -7.7131767254673145; score = -514.0; mean_score/100_episodes = -299.77; reward = -514.0; mean_reward/100_episodes = -383.75; and epsilon = 0.1, win percentage = 0.21, 2024-11-25 05:58:34
Episode no = 6900; won: False; iter_time_steps = 12; Q(s,a) = -1.546017147754196; score = -501.0; mean_score/100_episodes = -248.13; reward = -500.0; mean_reward/100_episodes = -353.73; and epsilon = 0.1, win percentage = 0.26, 2024-11-25 05:59:14
Episode no = 7000; won: True; iter_time_steps = 41; Q(s,a) = -1.3641985928675124; score = 480.0; mean_score/100_episodes = -118.03; reward = 71.0; mean_reward/100_episodes = -277.22; and epsilon = 0.1, win percentage = 0.39, 2024-11-25 05:59:57
Episode no = 7100; won: True; iter_time_steps = 22; Q(s,a) = -8.499543156060769; score = 499.0; mean_score/100_episodes = -119.2; reward = 90.0; mean_reward/100_episodes = -277.37; and epsilon = 0.1, win percentage = 0.39, 2024-11-25 06:00:43
Episode no = 7200; won: False; iter_time_steps = 12; Q(s,a) = -2.8053922841205496; score = -501.0; mean_score/100_episodes = -332.95; reward = -500.0; mean_reward/100_episodes = -404.73; and epsilon = 0.1, win percentage = 0.18, 2024-11-25 06:01:31
Episode no = 7300; won: False; iter_time_steps = 27; Q(s,a) = -1.7757150086279716; score = -516.0; mean_score/100_episodes = -251.65; reward = -515.0; mean_reward/100_episodes = -356.4; and epsilon = 0.1, win percentage = 0.26, 2024-11-25 06:02:17
Episode no = 7400; won: True; iter_time_steps = 38; Q(s,a) = 8.855673587516657; score = 483.0; mean_score/100_episodes = -37.37; reward = 74.0; mean_reward/100_episodes = -228.06; and epsilon = 0.1, win percentage = 0.47, 2024-11-25 06:03:00
Episode no = 7500; won: False; iter_time_steps = 12; Q(s,a) = -3.8682508018601935; score = -501.0; mean_score/100_episodes = -156.55; reward = -500.0; mean_reward/100_episodes = -297.89; and epsilon = 0.1, win percentage = 0.35, 2024-11-25 06:03:37
Episode no = 7600; won: False; iter_time_steps = 10; Q(s,a) = -12.757059507189913; score = -509.0; mean_score/100_episodes = -35.99; reward = -509.0; mean_reward/100_episodes = -226.63; and epsilon = 0.1, win percentage = 0.47, 2024-11-25 06:04:15
Episode no = 7700; won: True; iter_time_steps = 27; Q(s,a) = 21.46316032892697; score = 494.0; mean_score/100_episodes = -25.14; reward = 85.0; mean_reward/100_episodes = -220.34; and epsilon = 0.1, win percentage = 0.48, 2024-11-25 06:04:53
Episode no = 7800; won: True; iter_time_steps = 18; Q(s,a) = 25.215716224321252; score = 503.0; mean_score/100_episodes = 24.79; reward = 94.0; mean_reward/100_episodes = -190.25; and epsilon = 0.1, win percentage = 0.53, 2024-11-25 06:05:31
Episode no = 7900; won: False; iter_time_steps = 12; Q(s,a) = 4.3259909770172875; score = -501.0; mean_score/100_episodes = 26.38; reward = -500.0; mean_reward/100_episodes = -189.25; and epsilon = 0.1, win percentage = 0.53, 2024-11-25 06:06:07
Episode no = 8000; won: True; iter_time_steps = 29; Q(s,a) = 38.958989977013886; score = 492.0; mean_score/100_episodes = -125.76; reward = 83.0; mean_reward/100_episodes = -281.6; and epsilon = 0.1, win percentage = 0.38, 2024-11-25 06:06:41
