Episode no = 4200; won: False; iter_time_steps = 32; Q(s,a) = -13.136022478742934; score = -431.0; mean_score/100_episodes = -468.74; reward = -421.0; mean_reward/100_episodes = -461.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-15 07:30:07
Episode no = 4300; won: False; iter_time_steps = 34; Q(s,a) = -13.308703955308367; score = -413.0; mean_score/100_episodes = -455.96; reward = -401.0; mean_reward/100_episodes = -457.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-15 07:31:27
Episode no = 4400; won: False; iter_time_steps = 32; Q(s,a) = -13.479363067973729; score = -481.0; mean_score/100_episodes = -467.42; reward = -476.0; mean_reward/100_episodes = -462.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-15 07:32:35
Episode no = 4500; won: False; iter_time_steps = 24; Q(s,a) = -13.651877850952983; score = -503.0; mean_score/100_episodes = -469.41; reward = -501.0; mean_reward/100_episodes = -468.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-15 07:33:40
Episode no = 4600; won: False; iter_time_steps = 81; Q(s,a) = -13.804411453978624; score = -440.0; mean_score/100_episodes = -470.41; reward = -426.0; mean_reward/100_episodes = -463.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-15 07:34:49
Episode no = 4700; won: False; iter_time_steps = 29; Q(s,a) = -13.95056039431077; score = -428.0; mean_score/100_episodes = -475.72; reward = -418.0; mean_reward/100_episodes = -468.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-15 07:35:47
Episode no = 4800; won: False; iter_time_steps = 55; Q(s,a) = -14.092131356923492; score = -534.0; mean_score/100_episodes = -478.05; reward = -532.0; mean_reward/100_episodes = -472.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-15 07:36:57
Episode no = 4900; won: False; iter_time_steps = 37; Q(s,a) = -14.234640866706775; score = -446.0; mean_score/100_episodes = -467.79; reward = -437.0; mean_reward/100_episodes = -460.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-15 07:38:04
Episode no = 5000; won: False; iter_time_steps = 81; Q(s,a) = -14.385435190854054; score = -450.0; mean_score/100_episodes = -475.72; reward = -426.0; mean_reward/100_episodes = -469.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-15 07:39:20
Episode no = 5100; won: False; iter_time_steps = 35; Q(s,a) = -14.50227522890202; score = -474.0; mean_score/100_episodes = -480.9; reward = -468.0; mean_reward/100_episodes = -471.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-15 07:40:33
Episode no = 5200; won: False; iter_time_steps = 28; Q(s,a) = -14.555751861207941; score = -377.0; mean_score/100_episodes = -411.78; reward = -351.0; mean_reward/100_episodes = -405.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-15 07:41:41
