Episode no = 5200; won: False; iter_time_steps = 20; Q(s,a) = 44.11859717877481; score = -509.0; mean_score/100_episodes = -509.24; reward = -508.0; mean_reward/100_episodes = -508.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 76.04189049603552; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-02 03:45:47
Episode no = 5300; won: False; iter_time_steps = 13; Q(s,a) = 20.71795699230194; score = -512.0; mean_score/100_episodes = -508.85; reward = -512.0; mean_reward/100_episodes = -508.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 79.06487389443826; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-02 03:46:00
Episode no = 5400; won: False; iter_time_steps = 14; Q(s,a) = 16.81943429268728; score = -513.0; mean_score/100_episodes = -508.15; reward = -513.0; mean_reward/100_episodes = -507.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 82.11686246404103; and epsilon = 0.28, win percentage = 0.0, 2024-12-02 03:46:13
Episode no = 5500; won: False; iter_time_steps = 13; Q(s,a) = 43.505458784830886; score = -512.0; mean_score/100_episodes = -508.38; reward = -512.0; mean_reward/100_episodes = -507.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 85.10761789444375; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-02 03:46:25
Episode no = 5600; won: False; iter_time_steps = 14; Q(s,a) = 16.31296858043796; score = -513.0; mean_score/100_episodes = -508.47; reward = -513.0; mean_reward/100_episodes = -507.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 88.1434924800465; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-02 03:46:38
Episode no = 5700; won: False; iter_time_steps = 12; Q(s,a) = 5.690807178193464; score = -501.0; mean_score/100_episodes = -507.68; reward = -500.0; mean_reward/100_episodes = -506.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 91.14713909764923; and epsilon = 0.24, win percentage = 0.0, 2024-12-02 03:46:50
Episode no = 5800; won: False; iter_time_steps = 11; Q(s,a) = 29.82386076684367; score = -510.0; mean_score/100_episodes = -507.46; reward = -510.0; mean_reward/100_episodes = -506.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 94.22491004165202; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-02 03:47:02
Episode no = 5900; won: False; iter_time_steps = 13; Q(s,a) = -2.0373785913167524; score = -512.0; mean_score/100_episodes = -507.0; reward = -512.0; mean_reward/100_episodes = -506.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 97.29301259525481; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-02 03:47:14
Episode no = 6000; won: False; iter_time_steps = 12; Q(s,a) = 5.654831239593947; score = -501.0; mean_score/100_episodes = -506.14; reward = -500.0; mean_reward/100_episodes = -505.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 100.30632760325754; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-02 03:47:26
Episode no = 6100; won: False; iter_time_steps = 11; Q(s,a) = 24.77515572727168; score = -510.0; mean_score/100_episodes = -505.7; reward = -510.0; mean_reward/100_episodes = -504.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 103.40665812486036; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-02 03:47:38
Episode no = 6200; won: False; iter_time_steps = 11; Q(s,a) = -17.33218784942398; score = -510.0; mean_score/100_episodes = -506.03; reward = -510.0; mean_reward/100_episodes = -505.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 106.46509228806313; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-02 03:47:50
Episode no = 6300; won: False; iter_time_steps = 15; Q(s,a) = -14.180438658397978; score = -504.0; mean_score/100_episodes = -506.68; reward = -503.0; mean_reward/100_episodes = -506.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 109.46551610886586; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-02 03:48:01
Episode no = 6400; won: False; iter_time_steps = 12; Q(s,a) = -7.166065348167906; score = -511.0; mean_score/100_episodes = -507.47; reward = -511.0; mean_reward/100_episodes = -507.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 112.47560832006859; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-02 03:48:12
Episode no = 6500; won: False; iter_time_steps = 14; Q(s,a) = -4.012890479723632; score = -503.0; mean_score/100_episodes = -507.3; reward = -502.0; mean_reward/100_episodes = -507.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 115.42124459527126; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-02 03:48:22
Episode no = 6600; won: False; iter_time_steps = 8; Q(s,a) = -11.280607617806544; score = -507.0; mean_score/100_episodes = -507.15; reward = -507.0; mean_reward/100_episodes = -506.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 118.47645596167403; and epsilon = 0.12, win percentage = 0.0, 2024-12-02 03:48:33
Episode no = 6700; won: False; iter_time_steps = 13; Q(s,a) = 19.962761456282028; score = -512.0; mean_score/100_episodes = -507.03; reward = -512.0; mean_reward/100_episodes = -506.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 121.61546004487688; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-02 03:48:42
Episode no = 6800; won: False; iter_time_steps = 12; Q(s,a) = 0.03728234222461545; score = -501.0; mean_score/100_episodes = -507.62; reward = -500.0; mean_reward/100_episodes = -506.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 124.8253656576798; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 03:48:51
Episode no = 6900; won: False; iter_time_steps = 12; Q(s,a) = 1.33879901155172; score = -501.0; mean_score/100_episodes = -507.21; reward = -500.0; mean_reward/100_episodes = -507.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.0032227968; ann_total_energy = 128.0320484736827; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 03:49:00
