Episode no = 6100; won: False; iter_time_steps = 136; Q(s,a) = 12.170607735846822; score = 485.0; mean_score/100_episodes = -109.82; reward = 248.0; mean_reward/100_episodes = -129.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:54:25
Episode no = 6200; won: False; iter_time_steps = 97; Q(s,a) = 1.4391479164551866; score = -66.0; mean_score/100_episodes = -120.88; reward = -13.0; mean_reward/100_episodes = -123.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:55:45
Episode no = 6300; won: False; iter_time_steps = 55; Q(s,a) = 0.5243551798001809; score = -114.0; mean_score/100_episodes = -131.1; reward = -70.0; mean_reward/100_episodes = -148.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:56:52
Episode no = 6400; won: False; iter_time_steps = 110; Q(s,a) = 11.732258182391917; score = 211.0; mean_score/100_episodes = -111.8; reward = 113.0; mean_reward/100_episodes = -128.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:58:02
Episode no = 6500; won: False; iter_time_steps = 144; Q(s,a) = 3.1307977228469093; score = 97.0; mean_score/100_episodes = -72.5; reward = 2.0; mean_reward/100_episodes = -102.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:59:18
Episode no = 6600; won: False; iter_time_steps = 137; Q(s,a) = 11.60227677804672; score = 684.0; mean_score/100_episodes = -165.64; reward = 276.0; mean_reward/100_episodes = -178.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:00:20
Episode no = 6700; won: False; iter_time_steps = 11; Q(s,a) = -0.9759245897993241; score = -430.0; mean_score/100_episodes = -158.87; reward = -422.0; mean_reward/100_episodes = -171.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:01:36
Episode no = 6800; won: False; iter_time_steps = 26; Q(s,a) = -0.4070612726109766; score = -285.0; mean_score/100_episodes = -209.64; reward = -250.0; mean_reward/100_episodes = -200.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:02:38
Episode no = 6900; won: False; iter_time_steps = 302; Q(s,a) = 3.6266241149054586; score = -431.0; mean_score/100_episodes = -173.78; reward = -394.0; mean_reward/100_episodes = -182.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:03:51
Episode no = 7000; won: False; iter_time_steps = 160; Q(s,a) = 4.988307417385994; score = 321.0; mean_score/100_episodes = -182.47; reward = 250.0; mean_reward/100_episodes = -193.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 11:04:51
