Episode no = 5800; won: False; iter_time_steps = 13; Q(s,a) = -19.183847071547742; score = -512.0; mean_score/100_episodes = -511.46; reward = -512.0; mean_reward/100_episodes = -511.0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-29 09:21:43
Episode no = 5900; won: False; iter_time_steps = 16; Q(s,a) = -18.363815689518006; score = -505.0; mean_score/100_episodes = -509.77; reward = -515.0; mean_reward/100_episodes = -509.27; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-29 09:21:53
Episode no = 6000; won: False; iter_time_steps = 14; Q(s,a) = -17.934589181918064; score = -513.0; mean_score/100_episodes = -501.61; reward = -513.0; mean_reward/100_episodes = -504.91; and epsilon = 0.19999999999999996, win percentage = 0.01, 2024-11-29 09:22:06
Episode no = 6100; won: False; iter_time_steps = 16; Q(s,a) = -18.215135326661684; score = -515.0; mean_score/100_episodes = -511.21; reward = -515.0; mean_reward/100_episodes = -510.77; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-29 09:22:19
Episode no = 6200; won: False; iter_time_steps = 6; Q(s,a) = -18.99040494009506; score = -505.0; mean_score/100_episodes = -492.21; reward = -505.0; mean_reward/100_episodes = -499.65; and epsilon = 0.17333333333333334, win percentage = 0.02, 2024-11-29 09:22:33
Episode no = 6300; won: False; iter_time_steps = 15; Q(s,a) = -17.69757719786919; score = -504.0; mean_score/100_episodes = -450.92; reward = -503.0; mean_reward/100_episodes = -474.92; and epsilon = 0.16000000000000003, win percentage = 0.06, 2024-11-29 09:22:46
Episode no = 6400; won: False; iter_time_steps = 14; Q(s,a) = -18.176080767184487; score = -513.0; mean_score/100_episodes = -502.11; reward = -513.0; mean_reward/100_episodes = -505.06; and epsilon = 0.1466666666666666, win percentage = 0.01, 2024-11-29 09:23:01
Episode no = 6500; won: False; iter_time_steps = 27; Q(s,a) = -13.008657850394732; score = -516.0; mean_score/100_episodes = -462.49; reward = -515.0; mean_reward/100_episodes = -481.99; and epsilon = 0.1333333333333333, win percentage = 0.05, 2024-11-29 09:23:17
Episode no = 6600; won: False; iter_time_steps = 14; Q(s,a) = -17.285181158853565; score = -503.0; mean_score/100_episodes = -472.04; reward = -502.0; mean_reward/100_episodes = -487.57; and epsilon = 0.12, win percentage = 0.04, 2024-11-29 09:23:33
Episode no = 6700; won: False; iter_time_steps = 47; Q(s,a) = -17.072760484614616; score = -536.0; mean_score/100_episodes = -441.14; reward = -535.0; mean_reward/100_episodes = -468.81; and epsilon = 0.10666666666666669, win percentage = 0.07, 2024-11-29 09:23:49
Episode no = 6800; won: False; iter_time_steps = 17; Q(s,a) = -8.51432404660056; score = -506.0; mean_score/100_episodes = -453.54; reward = -505.0; mean_reward/100_episodes = -476.79; and epsilon = 0.1, win percentage = 0.06, 2024-11-29 09:24:08
Episode no = 6900; won: False; iter_time_steps = 13; Q(s,a) = -6.936202401777331; score = -502.0; mean_score/100_episodes = -481.83; reward = -501.0; mean_reward/100_episodes = -492.19; and epsilon = 0.1, win percentage = 0.03, 2024-11-29 09:24:27
Episode no = 7000; won: False; iter_time_steps = 19; Q(s,a) = -8.386973750311512; score = -508.0; mean_score/100_episodes = -491.32; reward = -507.0; mean_reward/100_episodes = -497.89; and epsilon = 0.1, win percentage = 0.02, 2024-11-29 09:24:49
Episode no = 7100; won: False; iter_time_steps = 63; Q(s,a) = -12.969287702841058; score = -552.0; mean_score/100_episodes = -499.87; reward = -551.0; mean_reward/100_episodes = -501.4; and epsilon = 0.1, win percentage = 0.01, 2024-11-29 09:25:08
Episode no = 7200; won: False; iter_time_steps = 17; Q(s,a) = -5.151871657467514; score = -506.0; mean_score/100_episodes = -426.23; reward = -505.0; mean_reward/100_episodes = -461.86; and epsilon = 0.1, win percentage = 0.09, 2024-11-29 09:25:36
Episode no = 7300; won: True; iter_time_steps = 21; Q(s,a) = -4.7648872470235455; score = 500.0; mean_score/100_episodes = -365.85; reward = 91.0; mean_reward/100_episodes = -426.27; and epsilon = 0.1, win percentage = 0.15, 2024-11-29 09:26:05
Episode no = 7400; won: False; iter_time_steps = 14; Q(s,a) = -10.075124624202868; score = -503.0; mean_score/100_episodes = -171.67; reward = -491.0; mean_reward/100_episodes = -309.8; and epsilon = 0.1, win percentage = 0.34, 2024-11-29 09:26:31
Episode no = 7500; won: True; iter_time_steps = 25; Q(s,a) = -2.0387926929853037; score = 496.0; mean_score/100_episodes = -250.86; reward = 87.0; mean_reward/100_episodes = -355.52; and epsilon = 0.1, win percentage = 0.26, 2024-11-29 09:26:55
Episode no = 7600; won: False; iter_time_steps = 21; Q(s,a) = -0.5364812915824213; score = -510.0; mean_score/100_episodes = -149.49; reward = -509.0; mean_reward/100_episodes = -295.92; and epsilon = 0.1, win percentage = 0.36, 2024-11-29 09:27:17
Episode no = 7700; won: True; iter_time_steps = 23; Q(s,a) = -0.1318417093702191; score = 498.0; mean_score/100_episodes = -220.47; reward = 89.0; mean_reward/100_episodes = -338.19; and epsilon = 0.1, win percentage = 0.29, 2024-11-29 09:27:41
Episode no = 7800; won: True; iter_time_steps = 23; Q(s,a) = -0.47598083189487683; score = 498.0; mean_score/100_episodes = -80.82; reward = 89.0; mean_reward/100_episodes = -255.8; and epsilon = 0.1, win percentage = 0.43, 2024-11-29 09:28:06
Episode no = 7900; won: True; iter_time_steps = 19; Q(s,a) = -3.3506023910077403; score = 502.0; mean_score/100_episodes = -199.63; reward = 93.0; mean_reward/100_episodes = -325.64; and epsilon = 0.1, win percentage = 0.31, 2024-11-29 09:28:29
Episode no = 8000; won: True; iter_time_steps = 22; Q(s,a) = -2.7513670733639293; score = 499.0; mean_score/100_episodes = -71.76; reward = 90.0; mean_reward/100_episodes = -251.06; and epsilon = 0.1, win percentage = 0.44, 2024-11-29 09:28:50
Episode no = 8100; won: False; iter_time_steps = 14; Q(s,a) = -6.291182614514518; score = -503.0; mean_score/100_episodes = -37.02; reward = -502.0; mean_reward/100_episodes = -228.51; and epsilon = 0.1, win percentage = 0.47, 2024-11-29 09:29:08
Episode no = 8200; won: False; iter_time_steps = 63; Q(s,a) = -7.111232776162193; score = -552.0; mean_score/100_episodes = -140.83; reward = -551.0; mean_reward/100_episodes = -291.2; and epsilon = 0.1, win percentage = 0.37, 2024-11-29 09:29:27
Episode no = 8300; won: True; iter_time_steps = 17; Q(s,a) = 2.074899189668926; score = 504.0; mean_score/100_episodes = 22.24; reward = 95.0; mean_reward/100_episodes = -193.97; and epsilon = 0.1, win percentage = 0.53, 2024-11-29 09:29:45
Episode no = 8400; won: False; iter_time_steps = 31; Q(s,a) = -3.714498675965496; score = -520.0; mean_score/100_episodes = -89.26; reward = -519.0; mean_reward/100_episodes = -260.16; and epsilon = 0.1, win percentage = 0.42, 2024-11-29 09:30:04
Episode no = 8500; won: False; iter_time_steps = 60; Q(s,a) = -4.652190000947908; score = -549.0; mean_score/100_episodes = -70.72; reward = -548.0; mean_reward/100_episodes = -250.03; and epsilon = 0.1, win percentage = 0.44, 2024-11-29 09:30:23
Episode no = 8600; won: True; iter_time_steps = 19; Q(s,a) = 16.199913698157257; score = 502.0; mean_score/100_episodes = -108.87; reward = 93.0; mean_reward/100_episodes = -271.49; and epsilon = 0.1, win percentage = 0.4, 2024-11-29 09:30:40
Episode no = 8700; won: True; iter_time_steps = 18; Q(s,a) = 18.873158734592085; score = 503.0; mean_score/100_episodes = 23.3; reward = 94.0; mean_reward/100_episodes = -192.79; and epsilon = 0.1, win percentage = 0.53, 2024-11-29 09:30:56
Episode no = 8800; won: True; iter_time_steps = 16; Q(s,a) = 24.17299778362827; score = 505.0; mean_score/100_episodes = 42.57; reward = 96.0; mean_reward/100_episodes = -181.22; and epsilon = 0.1, win percentage = 0.55, 2024-11-29 09:31:14
Episode no = 8900; won: True; iter_time_steps = 16; Q(s,a) = 33.3335066747212; score = 505.0; mean_score/100_episodes = -59.58; reward = 96.0; mean_reward/100_episodes = -242.43; and epsilon = 0.1, win percentage = 0.45, 2024-11-29 09:31:32
Episode no = 9000; won: True; iter_time_steps = 16; Q(s,a) = 39.27131411498949; score = 505.0; mean_score/100_episodes = -59.83; reward = 96.0; mean_reward/100_episodes = -242.81; and epsilon = 0.1, win percentage = 0.45, 2024-11-29 09:31:56
Episode no = 9100; won: False; iter_time_steps = 14; Q(s,a) = -4.342412457021381; score = -503.0; mean_score/100_episodes = -87.47; reward = -491.0; mean_reward/100_episodes = -257.2; and epsilon = 0.1, win percentage = 0.42, 2024-11-29 09:32:20
Episode no = 9200; won: False; iter_time_steps = 14; Q(s,a) = -5.367910189173263; score = -503.0; mean_score/100_episodes = -87.75; reward = -491.0; mean_reward/100_episodes = -257.74; and epsilon = 0.1, win percentage = 0.42, 2024-11-29 09:32:41
Episode no = 9300; won: False; iter_time_steps = 14; Q(s,a) = 4.989229192269729; score = -503.0; mean_score/100_episodes = -58.4; reward = -502.0; mean_reward/100_episodes = -240.32; and epsilon = 0.1, win percentage = 0.45, 2024-11-29 09:33:05
Episode no = 9400; won: False; iter_time_steps = 31; Q(s,a) = -3.1994600002052627; score = -520.0; mean_score/100_episodes = -109.71; reward = -519.0; mean_reward/100_episodes = -271.41; and epsilon = 0.1, win percentage = 0.4, 2024-11-29 09:33:28
Episode no = 9500; won: True; iter_time_steps = 14; Q(s,a) = 87.048509221751; score = 507.0; mean_score/100_episodes = -115.21; reward = 98.0; mean_reward/100_episodes = -272.71; and epsilon = 0.1, win percentage = 0.39, 2024-11-29 09:33:47
Episode no = 9600; won: False; iter_time_steps = 11; Q(s,a) = -6.117675430032486; score = -510.0; mean_score/100_episodes = -177.35; reward = -510.0; mean_reward/100_episodes = -309.79; and epsilon = 0.1, win percentage = 0.33, 2024-11-29 09:34:08
Episode no = 9700; won: False; iter_time_steps = 15; Q(s,a) = -4.635831750752252; score = -504.0; mean_score/100_episodes = -44.61; reward = -503.0; mean_reward/100_episodes = -231.5; and epsilon = 0.1, win percentage = 0.46, 2024-11-29 09:34:27
Episode no = 9800; won: False; iter_time_steps = 15; Q(s,a) = -1.4978558005033076; score = -504.0; mean_score/100_episodes = -85.95; reward = -492.0; mean_reward/100_episodes = -256.57; and epsilon = 0.1, win percentage = 0.42, 2024-11-29 09:34:47
Episode no = 9900; won: False; iter_time_steps = 11; Q(s,a) = 53.614668867642315; score = -500.0; mean_score/100_episodes = -137.42; reward = -499.0; mean_reward/100_episodes = -287.77; and epsilon = 0.1, win percentage = 0.37, 2024-11-29 09:35:06
Episode no = 10000; won: False; iter_time_steps = 6; Q(s,a) = 0.8601148145082089; score = -505.0; mean_score/100_episodes = -93.72; reward = -505.0; mean_reward/100_episodes = -261.01; and epsilon = 0.1, win percentage = 0.41, 2024-11-29 09:35:20
Episode no = 10100; won: False; iter_time_steps = 6; Q(s,a) = 4.984306608338594; score = -505.0; mean_score/100_episodes = -94.57; reward = -505.0; mean_reward/100_episodes = -262.06; and epsilon = 0.1, win percentage = 0.41, 2024-11-29 09:35:36
Episode no = 10200; won: True; iter_time_steps = 29; Q(s,a) = 2.563703229205121; score = 492.0; mean_score/100_episodes = -92.52; reward = 83.0; mean_reward/100_episodes = -259.92; and epsilon = 0.1, win percentage = 0.41, 2024-11-29 09:35:49
Episode no = 10300; won: False; iter_time_steps = 6; Q(s,a) = 10.18120251864906; score = -505.0; mean_score/100_episodes = -184.67; reward = -505.0; mean_reward/100_episodes = -315.19; and epsilon = 0.1, win percentage = 0.32, 2024-11-29 09:36:03
Episode no = 10400; won: False; iter_time_steps = 34; Q(s,a) = 44.243193998114535; score = -523.0; mean_score/100_episodes = -116.68; reward = -522.0; mean_reward/100_episodes = -276.02; and epsilon = 0.1, win percentage = 0.39, 2024-11-29 09:36:20
Episode no = 10500; won: False; iter_time_steps = 32; Q(s,a) = 40.06001151724751; score = -531.0; mean_score/100_episodes = -25.35; reward = -531.0; mean_reward/100_episodes = -221.36; and epsilon = 0.1, win percentage = 0.48, 2024-11-29 09:36:38
Episode no = 10600; won: True; iter_time_steps = 14; Q(s,a) = 107.07094393183807; score = 507.0; mean_score/100_episodes = 5.2; reward = 98.0; mean_reward/100_episodes = -203.24; and epsilon = 0.1, win percentage = 0.51, 2024-11-29 09:36:56
Episode no = 10700; won: False; iter_time_steps = 15; Q(s,a) = 3.700757456634932; score = -514.0; mean_score/100_episodes = 44.82; reward = -514.0; mean_reward/100_episodes = -179.85; and epsilon = 0.1, win percentage = 0.55, 2024-11-29 09:37:16
Episode no = 10800; won: False; iter_time_steps = 15; Q(s,a) = 8.375348699803862; score = -514.0; mean_score/100_episodes = 124.24; reward = -514.0; mean_reward/100_episodes = -133.26; and epsilon = 0.1, win percentage = 0.63, 2024-11-29 09:37:35
