Episode no = 3900; won: False; iter_time_steps = 27; Q(s,a) = 127.81175877627255; score = -356.0; mean_score/100_episodes = -279.27; reward = -339.0; mean_reward/100_episodes = -253.8; snn_single_energy = 0; snn_total_energy = 34.034616265970364; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 04:30:37
Episode no = 4000; won: False; iter_time_steps = 27; Q(s,a) = 128.71180380391021; score = -356.0; mean_score/100_episodes = -279.54; reward = -339.0; mean_reward/100_episodes = -250.99; snn_single_energy = 0; snn_total_energy = 36.05221509463812; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 04:31:16
Episode no = 4100; won: False; iter_time_steps = 79; Q(s,a) = 131.3734081532183; score = -108.0; mean_score/100_episodes = -266.11; reward = -61.0; mean_reward/100_episodes = -237.59; snn_single_energy = 0; snn_total_energy = 38.340745864794734; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-02 04:32:00
Episode no = 4200; won: False; iter_time_steps = 44; Q(s,a) = 134.03708238769894; score = -253.0; mean_score/100_episodes = -245.1; reward = -213.0; mean_reward/100_episodes = -220.71; snn_single_energy = 0; snn_total_energy = 40.84774301417328; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-02 04:32:48
Episode no = 4300; won: False; iter_time_steps = 191; Q(s,a) = 136.91738224353566; score = -30.0; mean_score/100_episodes = -237.17; reward = 36.0; mean_reward/100_episodes = -208.69; snn_single_energy = 0; snn_total_energy = 43.325473700962704; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-02 04:33:34
Episode no = 4400; won: False; iter_time_steps = 140; Q(s,a) = 140.12642051875713; score = -69.0; mean_score/100_episodes = -244.91; reward = -12.0; mean_reward/100_episodes = -215.82; snn_single_energy = 0; snn_total_energy = 45.977962747107014; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-02 04:34:21
Episode no = 4500; won: False; iter_time_steps = 29; Q(s,a) = 143.17749376727488; score = -278.0; mean_score/100_episodes = -243.55; reward = -253.0; mean_reward/100_episodes = -215.43; snn_single_energy = 0; snn_total_energy = 48.56776001653894; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-02 04:35:06
Episode no = 4600; won: False; iter_time_steps = 20; Q(s,a) = 139.99399203535756; score = -389.0; mean_score/100_episodes = -219.79; reward = -365.0; mean_reward/100_episodes = -185.97; snn_single_energy = 0; snn_total_energy = 51.50719970432448; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-02 04:36:00
Episode no = 4700; won: False; iter_time_steps = 13; Q(s,a) = 145.14386085704757; score = -442.0; mean_score/100_episodes = -248.57; reward = -435.0; mean_reward/100_episodes = -217.1; snn_single_energy = 0; snn_total_energy = 54.114473904146166; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-02 04:36:44
Episode no = 4800; won: False; iter_time_steps = 93; Q(s,a) = 145.64940949499893; score = -152.0; mean_score/100_episodes = -235.28; reward = -108.0; mean_reward/100_episodes = -202.71; snn_single_energy = 0; snn_total_energy = 57.04168524927237; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-02 04:37:26
Episode no = 4900; won: False; iter_time_steps = 25; Q(s,a) = 147.22872740117748; score = -344.0; mean_score/100_episodes = -209.0; reward = -326.0; mean_reward/100_episodes = -173.7; snn_single_energy = 0; snn_total_energy = 60.16737970195038; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-02 04:38:16
Episode no = 5000; won: False; iter_time_steps = 28; Q(s,a) = 150.38393849786934; score = -287.0; mean_score/100_episodes = -216.12; reward = -263.0; mean_reward/100_episodes = -183.08; snn_single_energy = 0; snn_total_energy = 63.09229786550325; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-02 04:39:01
Episode no = 5100; won: False; iter_time_steps = 116; Q(s,a) = 151.40138129907277; score = -45.0; mean_score/100_episodes = -184.75; reward = 12.0; mean_reward/100_episodes = -153.02; snn_single_energy = 0; snn_total_energy = 66.45538185076624; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-02 04:39:53
Episode no = 5200; won: False; iter_time_steps = 31; Q(s,a) = 152.76553016382564; score = -290.0; mean_score/100_episodes = -190.68; reward = -255.0; mean_reward/100_episodes = -157.91; snn_single_energy = 0; snn_total_energy = 69.53000694525439; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-02 04:40:38
Episode no = 5300; won: False; iter_time_steps = 58; Q(s,a) = 155.74204960790783; score = -107.0; mean_score/100_episodes = -187.2; reward = -51.0; mean_reward/100_episodes = -159.06; snn_single_energy = 0; snn_total_energy = 72.71697743246571; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-02 04:41:24
Episode no = 5400; won: False; iter_time_steps = 64; Q(s,a) = 157.2281888512752; score = -133.0; mean_score/100_episodes = -195.89; reward = -90.0; mean_reward/100_episodes = -167.79; snn_single_energy = 0; snn_total_energy = 75.82751576869671; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-02 04:42:08
Episode no = 5500; won: False; iter_time_steps = 46; Q(s,a) = 159.2234275064248; score = -235.0; mean_score/100_episodes = -172.71; reward = -193.0; mean_reward/100_episodes = -141.21; snn_single_energy = 0; snn_total_energy = 79.10754779815682; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-02 04:42:58
Episode no = 5600; won: False; iter_time_steps = 66; Q(s,a) = 161.05389091402134; score = -105.0; mean_score/100_episodes = -157.88; reward = -59.0; mean_reward/100_episodes = -125.2; snn_single_energy = 0; snn_total_energy = 82.43354113506416; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-02 04:43:43
