Episode no = 4900; won: False; iter_time_steps = 171; Q(s,a) = 147.05293518305115; score = 90.0; mean_score/100_episodes = 36.46; reward = 166.0; mean_reward/100_episodes = 57.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:32:16
Episode no = 5000; won: False; iter_time_steps = 24; Q(s,a) = 147.3054203725832; score = -333.0; mean_score/100_episodes = -12.68; reward = -314.0; mean_reward/100_episodes = 7.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:33:40
Episode no = 5100; won: False; iter_time_steps = 76; Q(s,a) = 148.2043920479426; score = 95.0; mean_score/100_episodes = 3.8; reward = 151.0; mean_reward/100_episodes = 24.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:35:08
Episode no = 5200; won: False; iter_time_steps = 151; Q(s,a) = 149.01943974580394; score = 130.0; mean_score/100_episodes = 25.51; reward = 208.0; mean_reward/100_episodes = 44.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:36:21
Episode no = 5300; won: False; iter_time_steps = 64; Q(s,a) = 147.63348468413238; score = -183.0; mean_score/100_episodes = 37.7; reward = -145.0; mean_reward/100_episodes = 40.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:37:43
Episode no = 5400; won: False; iter_time_steps = 102; Q(s,a) = 148.3493008333348; score = 149.0; mean_score/100_episodes = -0.1; reward = 224.0; mean_reward/100_episodes = 14.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:39:04
Episode no = 5500; won: False; iter_time_steps = 103; Q(s,a) = 148.3155090841225; score = 278.0; mean_score/100_episodes = 81.92; reward = 186.0; mean_reward/100_episodes = 77.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:40:36
Episode no = 5600; won: False; iter_time_steps = 45; Q(s,a) = 147.70488338902567; score = -154.0; mean_score/100_episodes = 65.64; reward = -115.0; mean_reward/100_episodes = 67.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:41:53
Episode no = 5700; won: False; iter_time_steps = 70; Q(s,a) = 148.9340334183884; score = -29.0; mean_score/100_episodes = 18.14; reward = 25.0; mean_reward/100_episodes = 20.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:43:16
Episode no = 5800; won: False; iter_time_steps = 69; Q(s,a) = 146.0458248408413; score = -8.0; mean_score/100_episodes = 7.13; reward = 37.0; mean_reward/100_episodes = 18.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:44:37
