Episode no = 5800; won: False; iter_time_steps = 50; Q(s,a) = 137.34969690767159; score = 11.0; mean_score/100_episodes = 44.0; reward = -113.0; mean_reward/100_episodes = 23.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-09 14:13:03
Episode no = 5900; won: False; iter_time_steps = 31; Q(s,a) = 132.23709970515193; score = -290.0; mean_score/100_episodes = 90.11; reward = -277.0; mean_reward/100_episodes = 57.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.01, 2024-12-09 14:14:58
Episode no = 6000; won: False; iter_time_steps = 225; Q(s,a) = 140.00809708041965; score = 406.0; mean_score/100_episodes = 52.82; reward = 181.0; mean_reward/100_episodes = 28.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-09 14:16:39
Episode no = 6100; won: False; iter_time_steps = 93; Q(s,a) = 135.38897299391164; score = 78.0; mean_score/100_episodes = 84.27; reward = 156.0; mean_reward/100_episodes = 62.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.01, 2024-12-09 14:18:23
Episode no = 6200; won: False; iter_time_steps = 87; Q(s,a) = 146.35944015295973; score = 504.0; mean_score/100_episodes = 135.11; reward = 253.0; mean_reward/100_episodes = 100.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.01, 2024-12-09 14:20:18
Episode no = 6300; won: False; iter_time_steps = 52; Q(s,a) = 132.74291633880986; score = -131.0; mean_score/100_episodes = 167.75; reward = -89.0; mean_reward/100_episodes = 121.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.01, 2024-12-09 14:21:57
Episode no = 6400; won: False; iter_time_steps = 83; Q(s,a) = 148.70190600773856; score = 58.0; mean_score/100_episodes = 183.25; reward = 122.0; mean_reward/100_episodes = 130.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-09 14:23:46
Episode no = 6500; won: False; iter_time_steps = 90; Q(s,a) = 140.8079481418726; score = -19.0; mean_score/100_episodes = 187.56; reward = 38.0; mean_reward/100_episodes = 126.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.01, 2024-12-09 14:25:33
Episode no = 6600; won: False; iter_time_steps = 441; Q(s,a) = 152.41061536256356; score = 20.0; mean_score/100_episodes = 189.41; reward = 116.0; mean_reward/100_episodes = 129.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.01, 2024-12-09 14:27:20
Episode no = 6700; won: False; iter_time_steps = 90; Q(s,a) = 147.69530929880204; score = 91.0; mean_score/100_episodes = 171.85; reward = 148.0; mean_reward/100_episodes = 123.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.01, 2024-12-09 14:29:03
Episode no = 6800; won: False; iter_time_steps = 170; Q(s,a) = 153.5697049654036; score = 491.0; mean_score/100_episodes = 243.64; reward = 427.0; mean_reward/100_episodes = 178.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-09 14:30:59
Episode no = 6900; won: False; iter_time_steps = 42; Q(s,a) = 136.92680336417013; score = -151.0; mean_score/100_episodes = 286.15; reward = -112.0; mean_reward/100_episodes = 207.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-09 14:33:05
