Episode no = 4800; won: False; iter_time_steps = 9; Q(s,a) = -0.9999985224236773; score = -508.0; mean_score/100_episodes = -509.46; reward = -508.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-08 14:08:39
Episode no = 4900; won: False; iter_time_steps = 9; Q(s,a) = -0.99999860822043; score = -508.0; mean_score/100_episodes = -509.88; reward = -508.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-08 14:08:45
Episode no = 5000; won: False; iter_time_steps = 9; Q(s,a) = -0.9999986690064278; score = -508.0; mean_score/100_episodes = -510.37; reward = -508.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-08 14:08:51
Episode no = 5100; won: False; iter_time_steps = 10; Q(s,a) = -0.9999985831697913; score = -509.0; mean_score/100_episodes = -508.66; reward = -509.0; mean_reward/100_episodes = -508.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-08 14:08:57
Episode no = 5200; won: False; iter_time_steps = 9; Q(s,a) = -0.9999986843379306; score = -508.0; mean_score/100_episodes = -509.41; reward = -508.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-08 14:09:03
Episode no = 5300; won: False; iter_time_steps = 10; Q(s,a) = -0.9999987444611014; score = -509.0; mean_score/100_episodes = -509.49; reward = -509.0; mean_reward/100_episodes = -509.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-08 14:09:09
Episode no = 5400; won: False; iter_time_steps = 9; Q(s,a) = -0.9999987350858661; score = -508.0; mean_score/100_episodes = -508.58; reward = -508.0; mean_reward/100_episodes = -508.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-08 14:09:14
Episode no = 5500; won: False; iter_time_steps = 11; Q(s,a) = -0.9999988691587073; score = -510.0; mean_score/100_episodes = -509.36; reward = -510.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-08 14:09:19
Episode no = 5600; won: False; iter_time_steps = 12; Q(s,a) = -0.9999987911079414; score = -511.0; mean_score/100_episodes = -509.97; reward = -511.0; mean_reward/100_episodes = -509.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-08 14:09:25
Episode no = 5700; won: False; iter_time_steps = 9; Q(s,a) = -0.999998762298406; score = -508.0; mean_score/100_episodes = -509.42; reward = -508.0; mean_reward/100_episodes = -509.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-08 14:09:31
