Episode no = 3900; won: False; iter_time_steps = 56; Q(s,a) = 171.80007206874185; score = -225.0; mean_score/100_episodes = -237.06; reward = -181.0; mean_reward/100_episodes = -227.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-19 05:36:51
Episode no = 4000; won: False; iter_time_steps = 43; Q(s,a) = 176.4375296508156; score = -372.0; mean_score/100_episodes = -214.41; reward = -344.0; mean_reward/100_episodes = -196.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-19 05:37:37
Episode no = 4100; won: False; iter_time_steps = 37; Q(s,a) = 176.61850293915595; score = -266.0; mean_score/100_episodes = -204.65; reward = -239.0; mean_reward/100_episodes = -195.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-19 05:38:22
Episode no = 4200; won: False; iter_time_steps = 153; Q(s,a) = 175.8930392467344; score = 128.0; mean_score/100_episodes = -184.87; reward = 206.0; mean_reward/100_episodes = -175.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-19 05:39:09
Episode no = 4300; won: False; iter_time_steps = 19; Q(s,a) = 178.38340647670728; score = -448.0; mean_score/100_episodes = -201.56; reward = -441.0; mean_reward/100_episodes = -187.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-19 05:39:54
Episode no = 4400; won: False; iter_time_steps = 45; Q(s,a) = 178.7186407233739; score = -294.0; mean_score/100_episodes = -204.15; reward = -258.0; mean_reward/100_episodes = -191.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-19 05:40:43
Episode no = 4500; won: False; iter_time_steps = 123; Q(s,a) = 179.763797787693; score = 198.0; mean_score/100_episodes = -206.49; reward = 111.0; mean_reward/100_episodes = -190.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-19 05:41:23
Episode no = 4600; won: False; iter_time_steps = 97; Q(s,a) = 180.78973272198704; score = -26.0; mean_score/100_episodes = -188.77; reward = 42.0; mean_reward/100_episodes = -179.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-19 05:42:06
Episode no = 4700; won: False; iter_time_steps = 19; Q(s,a) = 183.6529533422685; score = -378.0; mean_score/100_episodes = -168.85; reward = -364.0; mean_reward/100_episodes = -167.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-19 05:42:52
Episode no = 4800; won: False; iter_time_steps = 26; Q(s,a) = 182.53330586773822; score = -355.0; mean_score/100_episodes = -202.27; reward = -349.0; mean_reward/100_episodes = -195.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-19 05:43:30
Episode no = 4900; won: False; iter_time_steps = 87; Q(s,a) = 192.16729657251773; score = 124.0; mean_score/100_episodes = -138.09; reward = 15.0; mean_reward/100_episodes = -138.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-19 05:44:20
Episode no = 5000; won: False; iter_time_steps = 14; Q(s,a) = 184.8678040133618; score = -403.0; mean_score/100_episodes = -134.64; reward = -392.0; mean_reward/100_episodes = -143.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-19 05:45:09
Episode no = 5100; won: False; iter_time_steps = 42; Q(s,a) = 183.91039971816303; score = -191.0; mean_score/100_episodes = -181.69; reward = -156.0; mean_reward/100_episodes = -174.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-19 05:45:52
Episode no = 5200; won: False; iter_time_steps = 26; Q(s,a) = 185.45768576392877; score = -345.0; mean_score/100_episodes = -135.49; reward = -327.0; mean_reward/100_episodes = -128.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-19 05:46:47
