Episode no = 5600; won: False; iter_time_steps = 36; Q(s,a) = 160.88973552618432; score = -255.0; mean_score/100_episodes = -194.55; reward = -216.0; mean_reward/100_episodes = -158.92; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-27 14:47:16
Episode no = 5700; won: False; iter_time_steps = 21; Q(s,a) = 162.56384489365843; score = -360.0; mean_score/100_episodes = -168.79; reward = -344.0; mean_reward/100_episodes = -128.75; and epsilon = 0.24, win percentage = 0.0, 2024-11-27 14:48:10
Episode no = 5800; won: False; iter_time_steps = 101; Q(s,a) = 163.6542698683729; score = 100.0; mean_score/100_episodes = -180.15; reward = 181.0; mean_reward/100_episodes = -141.57; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-27 14:49:02
Episode no = 5900; won: False; iter_time_steps = 101; Q(s,a) = 164.0471760555108; score = 100.0; mean_score/100_episodes = -173.08; reward = 170.0; mean_reward/100_episodes = -134.75; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-27 14:49:59
Episode no = 6000; won: False; iter_time_steps = 59; Q(s,a) = 163.99773454225468; score = -58.0; mean_score/100_episodes = -180.2; reward = 3.0; mean_reward/100_episodes = -141.85; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-27 14:51:00
Episode no = 6100; won: False; iter_time_steps = 57; Q(s,a) = 164.6506665712702; score = -86.0; mean_score/100_episodes = -187.13; reward = -28.0; mean_reward/100_episodes = -149.72; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-27 14:51:49
Episode no = 6200; won: False; iter_time_steps = 77; Q(s,a) = 165.37375203065022; score = 44.0; mean_score/100_episodes = -159.43; reward = 106.0; mean_reward/100_episodes = -120.75; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-27 14:52:44
Episode no = 6300; won: False; iter_time_steps = 101; Q(s,a) = 166.99022473540057; score = 20.0; mean_score/100_episodes = -162.51; reward = 82.0; mean_reward/100_episodes = -121.96; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-27 14:53:39
Episode no = 6400; won: False; iter_time_steps = 69; Q(s,a) = 168.20455751521672; score = -58.0; mean_score/100_episodes = -156.93; reward = -7.0; mean_reward/100_episodes = -115.86; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-27 14:54:32
Episode no = 6500; won: False; iter_time_steps = 28; Q(s,a) = 168.92019523916784; score = -297.0; mean_score/100_episodes = -157.58; reward = -263.0; mean_reward/100_episodes = -115.75; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-27 14:55:23
Episode no = 6600; won: False; iter_time_steps = 28; Q(s,a) = 169.48424738081886; score = -307.0; mean_score/100_episodes = -169.0; reward = -296.0; mean_reward/100_episodes = -130.11; and epsilon = 0.12, win percentage = 0.0, 2024-11-27 14:56:13
Episode no = 6700; won: False; iter_time_steps = 86; Q(s,a) = 169.06021931649695; score = 35.0; mean_score/100_episodes = -130.54; reward = 97.0; mean_reward/100_episodes = -89.57; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-27 14:57:12
Episode no = 6800; won: False; iter_time_steps = 35; Q(s,a) = 170.2315063357533; score = -224.0; mean_score/100_episodes = -132.53; reward = -193.0; mean_reward/100_episodes = -89.02; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 14:58:14
Episode no = 6900; won: False; iter_time_steps = 101; Q(s,a) = 171.84605605807099; score = 160.0; mean_score/100_episodes = -129.16; reward = 236.0; mean_reward/100_episodes = -84.91; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 14:59:09
Episode no = 7000; won: False; iter_time_steps = 21; Q(s,a) = 173.0531110324959; score = -350.0; mean_score/100_episodes = -179.89; reward = -333.0; mean_reward/100_episodes = -142.4; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 14:59:56
Episode no = 7100; won: False; iter_time_steps = 20; Q(s,a) = 173.94326527557604; score = -359.0; mean_score/100_episodes = -127.99; reward = -343.0; mean_reward/100_episodes = -84.61; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:00:48
Episode no = 7200; won: False; iter_time_steps = 23; Q(s,a) = 174.50309466877388; score = -332.0; mean_score/100_episodes = -96.3; reward = -313.0; mean_reward/100_episodes = -48.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:01:47
Episode no = 7300; won: False; iter_time_steps = 51; Q(s,a) = 175.79623621951507; score = -110.0; mean_score/100_episodes = -107.49; reward = -66.0; mean_reward/100_episodes = -63.58; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:02:48
Episode no = 7400; won: False; iter_time_steps = 41; Q(s,a) = 175.7492183791028; score = -210.0; mean_score/100_episodes = -140.31; reward = -166.0; mean_reward/100_episodes = -97.88; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:03:46
Episode no = 7500; won: False; iter_time_steps = 101; Q(s,a) = 176.67290122094053; score = 160.0; mean_score/100_episodes = -120.95; reward = 236.0; mean_reward/100_episodes = -75.53; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:04:43
Episode no = 7600; won: False; iter_time_steps = 50; Q(s,a) = 177.70916026944914; score = -99.0; mean_score/100_episodes = -120.81; reward = -43.0; mean_reward/100_episodes = -76.18; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:05:42
Episode no = 7700; won: False; iter_time_steps = 101; Q(s,a) = 178.84180006829422; score = 100.0; mean_score/100_episodes = -121.27; reward = 170.0; mean_reward/100_episodes = -78.57; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:06:36
Episode no = 7800; won: False; iter_time_steps = 60; Q(s,a) = 179.68270826467668; score = -49.0; mean_score/100_episodes = -162.03; reward = 2.0; mean_reward/100_episodes = -121.74; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:07:23
Episode no = 7900; won: False; iter_time_steps = 15; Q(s,a) = 180.4359859107164; score = -374.0; mean_score/100_episodes = -112.52; reward = -360.0; mean_reward/100_episodes = -67.27; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:08:23
Episode no = 8000; won: False; iter_time_steps = 82; Q(s,a) = 181.13489891380055; score = 119.0; mean_score/100_episodes = -127.33; reward = 200.0; mean_reward/100_episodes = -82.21; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:09:19
Episode no = 8100; won: False; iter_time_steps = 59; Q(s,a) = 182.3716821435866; score = -38.0; mean_score/100_episodes = -140.59; reward = 14.0; mean_reward/100_episodes = -97.58; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:10:14
Episode no = 8200; won: False; iter_time_steps = 60; Q(s,a) = 181.62826911429684; score = -49.0; mean_score/100_episodes = -118.75; reward = 2.0; mean_reward/100_episodes = -81.13; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:11:10
Episode no = 8300; won: False; iter_time_steps = 101; Q(s,a) = 183.64746316448418; score = 150.0; mean_score/100_episodes = -134.61; reward = 236.0; mean_reward/100_episodes = -93.93; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:12:01
Episode no = 8400; won: False; iter_time_steps = 18; Q(s,a) = 184.60217998735365; score = -357.0; mean_score/100_episodes = -141.64; reward = -330.0; mean_reward/100_episodes = -105.09; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:12:54
Episode no = 8500; won: False; iter_time_steps = 41; Q(s,a) = 185.38088561847576; score = -190.0; mean_score/100_episodes = -132.11; reward = -155.0; mean_reward/100_episodes = -90.9; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:13:47
Episode no = 8600; won: False; iter_time_steps = 46; Q(s,a) = 185.82182520298912; score = -195.0; mean_score/100_episodes = -100.24; reward = -160.0; mean_reward/100_episodes = -67.41; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:14:43
Episode no = 8700; won: False; iter_time_steps = 21; Q(s,a) = 186.14936117543127; score = -320.0; mean_score/100_episodes = -135.97; reward = -300.0; mean_reward/100_episodes = -98.96; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:15:36
Episode no = 8800; won: False; iter_time_steps = 39; Q(s,a) = 184.8948492073332; score = -238.0; mean_score/100_episodes = -128.48; reward = -219.0; mean_reward/100_episodes = -88.97; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:16:32
Episode no = 8900; won: False; iter_time_steps = 79; Q(s,a) = 187.47728513296673; score = 62.0; mean_score/100_episodes = -59.2; reward = 126.0; mean_reward/100_episodes = -14.85; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:17:32
Episode no = 9000; won: False; iter_time_steps = 27; Q(s,a) = 188.05182441545958; score = -306.0; mean_score/100_episodes = -68.44; reward = -273.0; mean_reward/100_episodes = -34.34; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:18:44
Episode no = 9100; won: False; iter_time_steps = 13; Q(s,a) = 188.56731973601924; score = -402.0; mean_score/100_episodes = -129.49; reward = -391.0; mean_reward/100_episodes = -92.7; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:19:37
Episode no = 9200; won: False; iter_time_steps = 86; Q(s,a) = 186.42214382018778; score = 15.0; mean_score/100_episodes = -83.67; reward = 75.0; mean_reward/100_episodes = -42.69; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:20:35
Episode no = 9300; won: False; iter_time_steps = 89; Q(s,a) = 189.47675033877672; score = 172.0; mean_score/100_episodes = -94.95; reward = 248.0; mean_reward/100_episodes = -61.52; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:21:31
Episode no = 9400; won: False; iter_time_steps = 86; Q(s,a) = 189.89943981187483; score = 45.0; mean_score/100_episodes = -91.59; reward = 108.0; mean_reward/100_episodes = -54.04; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:22:33
Episode no = 9500; won: False; iter_time_steps = 35; Q(s,a) = 190.0573058453292; score = -244.0; mean_score/100_episodes = -90.22; reward = -215.0; mean_reward/100_episodes = -52.41; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 15:23:31
