Episode no = 8800; won: True; iter_time_steps = 16; Q(s,a) = 149.1430540926231; score = 505.0; mean_score/100_episodes = 17.05; reward = 96.0; mean_reward/100_episodes = 17.05; and epsilon = 0.1, win percentage = 0.88, 2024-11-19 07:03:29
Episode no = 8900; won: True; iter_time_steps = 20; Q(s,a) = 149.6798311231933; score = 501.0; mean_score/100_episodes = -138.52; reward = 92.0; mean_reward/100_episodes = -138.52; and epsilon = 0.1, win percentage = 0.63, 2024-11-19 07:04:22
Episode no = 9000; won: False; iter_time_steps = 30; Q(s,a) = 26.93886494950719; score = -519.0; mean_score/100_episodes = -35.54; reward = -518.0; mean_reward/100_episodes = -35.54; and epsilon = 0.1, win percentage = 0.8, 2024-11-19 07:05:15
Episode no = 9100; won: False; iter_time_steps = 30; Q(s,a) = 41.439433175238804; score = -519.0; mean_score/100_episodes = 36.93; reward = -518.0; mean_reward/100_episodes = 36.93; and epsilon = 0.1, win percentage = 0.91, 2024-11-19 07:05:56
Episode no = 9200; won: False; iter_time_steps = 44; Q(s,a) = 26.085432084926335; score = -533.0; mean_score/100_episodes = 30.28; reward = -532.0; mean_reward/100_episodes = 30.28; and epsilon = 0.1, win percentage = 0.9, 2024-11-19 07:06:39
Episode no = 9300; won: True; iter_time_steps = 18; Q(s,a) = 179.998908353913; score = 503.0; mean_score/100_episodes = -0.12; reward = 94.0; mean_reward/100_episodes = -0.12; and epsilon = 0.1, win percentage = 0.85, 2024-11-19 07:07:21
Episode no = 9400; won: True; iter_time_steps = 39; Q(s,a) = 137.6403113781055; score = 482.0; mean_score/100_episodes = 11.91; reward = 73.0; mean_reward/100_episodes = 11.91; and epsilon = 0.1, win percentage = 0.87, 2024-11-19 07:08:04
Episode no = 9500; won: True; iter_time_steps = 17; Q(s,a) = 235.7093365066765; score = 504.0; mean_score/100_episodes = 36.52; reward = 95.0; mean_reward/100_episodes = 36.52; and epsilon = 0.1, win percentage = 0.91, 2024-11-19 07:08:45
Episode no = 9600; won: True; iter_time_steps = 19; Q(s,a) = 192.26175309593697; score = 502.0; mean_score/100_episodes = -11.34; reward = 93.0; mean_reward/100_episodes = -11.34; and epsilon = 0.1, win percentage = 0.83, 2024-11-19 07:09:23
Episode no = 9700; won: True; iter_time_steps = 18; Q(s,a) = 206.80537997739108; score = 503.0; mean_score/100_episodes = 19.4; reward = 94.0; mean_reward/100_episodes = 19.4; and epsilon = 0.1, win percentage = 0.88, 2024-11-19 07:10:03
Episode no = 9800; won: True; iter_time_steps = 22; Q(s,a) = 211.14588926664334; score = 499.0; mean_score/100_episodes = -23.61; reward = 90.0; mean_reward/100_episodes = -23.61; and epsilon = 0.1, win percentage = 0.81, 2024-11-19 07:10:43
Episode no = 9900; won: True; iter_time_steps = 17; Q(s,a) = 263.93715183763095; score = 504.0; mean_score/100_episodes = 16.82; reward = 95.0; mean_reward/100_episodes = 16.82; and epsilon = 0.1, win percentage = 0.88, 2024-11-19 07:11:27
Episode no = 10000; won: True; iter_time_steps = 16; Q(s,a) = 270.3528686193739; score = 505.0; mean_score/100_episodes = 19.32; reward = 96.0; mean_reward/100_episodes = 19.32; and epsilon = 0.1, win percentage = 0.88, 2024-11-19 07:12:11
Episode no = 10100; won: True; iter_time_steps = 28; Q(s,a) = 280.4202448934116; score = 493.0; mean_score/100_episodes = 2.52; reward = 84.0; mean_reward/100_episodes = 2.52; and epsilon = 0.1, win percentage = 0.85, 2024-11-19 07:12:48
Episode no = 10200; won: True; iter_time_steps = 26; Q(s,a) = 286.1065055796022; score = 495.0; mean_score/100_episodes = 20.31; reward = 86.0; mean_reward/100_episodes = 20.31; and epsilon = 0.1, win percentage = 0.88, 2024-11-19 07:13:24
Episode no = 10300; won: True; iter_time_steps = 19; Q(s,a) = 302.30147910914036; score = 502.0; mean_score/100_episodes = -22.09; reward = 93.0; mean_reward/100_episodes = -22.09; and epsilon = 0.1, win percentage = 0.81, 2024-11-19 07:14:01
Episode no = 10400; won: True; iter_time_steps = 16; Q(s,a) = 244.05967027497076; score = 505.0; mean_score/100_episodes = 20.51; reward = 96.0; mean_reward/100_episodes = 20.51; and epsilon = 0.1, win percentage = 0.88, 2024-11-19 07:14:39
Episode no = 10500; won: True; iter_time_steps = 17; Q(s,a) = 250.87506707682098; score = 504.0; mean_score/100_episodes = 1.32; reward = 95.0; mean_reward/100_episodes = 1.32; and epsilon = 0.1, win percentage = 0.85, 2024-11-19 07:15:19
Episode no = 10600; won: True; iter_time_steps = 19; Q(s,a) = 248.43461514976644; score = 502.0; mean_score/100_episodes = 31.84; reward = 93.0; mean_reward/100_episodes = 31.84; and epsilon = 0.1, win percentage = 0.9, 2024-11-19 07:15:59
Episode no = 10700; won: True; iter_time_steps = 20; Q(s,a) = 256.7576838597359; score = 501.0; mean_score/100_episodes = 61.93; reward = 92.0; mean_reward/100_episodes = 61.93; and epsilon = 0.1, win percentage = 0.95, 2024-11-19 07:16:38
Episode no = 10800; won: True; iter_time_steps = 17; Q(s,a) = 315.56091735529606; score = 504.0; mean_score/100_episodes = -3.69; reward = 95.0; mean_reward/100_episodes = -3.69; and epsilon = 0.1, win percentage = 0.84, 2024-11-19 07:17:16
Episode no = 10900; won: False; iter_time_steps = 28; Q(s,a) = 114.99772742749263; score = -517.0; mean_score/100_episodes = 31.52; reward = -516.0; mean_reward/100_episodes = 31.52; and epsilon = 0.1, win percentage = 0.9, 2024-11-19 07:17:55
Episode no = 11000; won: True; iter_time_steps = 16; Q(s,a) = 353.7040459422143; score = 505.0; mean_score/100_episodes = 7.29; reward = 96.0; mean_reward/100_episodes = 7.29; and epsilon = 0.1, win percentage = 0.86, 2024-11-19 07:18:35
Episode no = 11100; won: True; iter_time_steps = 21; Q(s,a) = 286.62595677775766; score = 500.0; mean_score/100_episodes = 25.2; reward = 91.0; mean_reward/100_episodes = 25.2; and epsilon = 0.1, win percentage = 0.89, 2024-11-19 07:19:15
