Episode no = 4700; won: False; iter_time_steps = 29; Q(s,a) = -13.700288926983019; score = -458.0; mean_score/100_episodes = -424.61; reward = -440.0; mean_reward/100_episodes = -412.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-14 12:13:26
Episode no = 4800; won: False; iter_time_steps = 82; Q(s,a) = -11.68410630501589; score = -391.0; mean_score/100_episodes = -422.47; reward = -372.0; mean_reward/100_episodes = -409.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-14 12:14:47
Episode no = 4900; won: False; iter_time_steps = 128; Q(s,a) = -2.764636590888044; score = -427.0; mean_score/100_episodes = -388.25; reward = -407.0; mean_reward/100_episodes = -372.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-14 12:16:06
Episode no = 5000; won: False; iter_time_steps = 20; Q(s,a) = 6.424453564231274; score = -409.0; mean_score/100_episodes = -379.81; reward = -398.0; mean_reward/100_episodes = -364.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-14 12:17:09
Episode no = 5100; won: False; iter_time_steps = 99; Q(s,a) = 15.887335849564224; score = -348.0; mean_score/100_episodes = -366.36; reward = -323.0; mean_reward/100_episodes = -350.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-14 12:18:25
Episode no = 5200; won: False; iter_time_steps = 44; Q(s,a) = 24.997443117189867; score = -383.0; mean_score/100_episodes = -370.06; reward = -367.0; mean_reward/100_episodes = -352.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-14 12:19:40
Episode no = 5300; won: False; iter_time_steps = 14; Q(s,a) = 28.65512498290724; score = -403.0; mean_score/100_episodes = -370.0; reward = -392.0; mean_reward/100_episodes = -351.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-14 12:20:57
Episode no = 5400; won: False; iter_time_steps = 40; Q(s,a) = 37.63269692716977; score = -209.0; mean_score/100_episodes = -321.68; reward = -176.0; mean_reward/100_episodes = -297.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-14 12:22:13
Episode no = 5500; won: False; iter_time_steps = 60; Q(s,a) = 45.792156454672; score = -199.0; mean_score/100_episodes = -269.57; reward = -163.0; mean_reward/100_episodes = -256.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-14 12:23:41
Episode no = 5600; won: False; iter_time_steps = 49; Q(s,a) = 53.38532143647875; score = -168.0; mean_score/100_episodes = -285.11; reward = -130.0; mean_reward/100_episodes = -264.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-14 12:24:58
