Episode no = 5500; won: False; iter_time_steps = 304; Q(s,a) = 139.39496658369507; score = 147.0; mean_score/100_episodes = -46.74; reward = 73.0; mean_reward/100_episodes = -50.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-04 07:21:01
Episode no = 5600; won: False; iter_time_steps = 92; Q(s,a) = 140.18715206455525; score = 119.0; mean_score/100_episodes = -22.1; reward = 21.0; mean_reward/100_episodes = -30.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-04 07:22:31
Episode no = 5700; won: False; iter_time_steps = 77; Q(s,a) = 142.17897045340857; score = 114.0; mean_score/100_episodes = -20.51; reward = 14.0; mean_reward/100_episodes = -11.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.01, 2024-12-04 07:24:17
Episode no = 5800; won: False; iter_time_steps = 20; Q(s,a) = 144.7396882650441; score = -449.0; mean_score/100_episodes = -50.22; reward = -442.0; mean_reward/100_episodes = -46.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-04 07:25:53
Episode no = 5900; won: False; iter_time_steps = 182; Q(s,a) = 142.3808168262126; score = 199.0; mean_score/100_episodes = -39.53; reward = 287.0; mean_reward/100_episodes = -43.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-04 07:27:27
Episode no = 6000; won: False; iter_time_steps = 60; Q(s,a) = 144.88509254825874; score = -119.0; mean_score/100_episodes = 9.48; reward = -75.0; mean_reward/100_episodes = 9.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-04 07:29:08
Episode no = 6100; won: False; iter_time_steps = 74; Q(s,a) = 148.0848559474065; score = -43.0; mean_score/100_episodes = 38.92; reward = 10.0; mean_reward/100_episodes = 13.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-04 07:30:54
Episode no = 6200; won: False; iter_time_steps = 155; Q(s,a) = 148.36422630163074; score = 96.0; mean_score/100_episodes = 23.48; reward = 2.0; mean_reward/100_episodes = -0.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-04 07:32:43
Episode no = 6300; won: False; iter_time_steps = 142; Q(s,a) = 148.47682170904778; score = 99.0; mean_score/100_episodes = 104.71; reward = 173.0; mean_reward/100_episodes = 89.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-04 07:34:45
Episode no = 6400; won: False; iter_time_steps = 68; Q(s,a) = 150.7858129724265; score = 153.0; mean_score/100_episodes = 139.47; reward = 56.0; mean_reward/100_episodes = 105.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-04 07:36:46
Episode no = 6500; won: False; iter_time_steps = 136; Q(s,a) = 150.02760504129992; score = 5.0; mean_score/100_episodes = 97.63; reward = 80.0; mean_reward/100_episodes = 58.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-04 07:38:24
Episode no = 6600; won: False; iter_time_steps = 110; Q(s,a) = 152.0751491442204; score = 381.0; mean_score/100_episodes = 196.88; reward = 300.0; mean_reward/100_episodes = 129.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-04 07:40:18
Episode no = 6700; won: False; iter_time_steps = 33; Q(s,a) = 148.54188525305256; score = -292.0; mean_score/100_episodes = 115.88; reward = -257.0; mean_reward/100_episodes = 83.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-04 07:41:59
Episode no = 6800; won: False; iter_time_steps = 118; Q(s,a) = 164.22667996120717; score = 423.0; mean_score/100_episodes = 172.44; reward = 167.0; mean_reward/100_episodes = 128.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 07:43:54
Episode no = 6900; won: False; iter_time_steps = 163; Q(s,a) = 155.0449560181554; score = 698.0; mean_score/100_episodes = 254.0; reward = 316.0; mean_reward/100_episodes = 171.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-04 07:45:49
Episode no = 7000; won: False; iter_time_steps = 49; Q(s,a) = 156.84991195719832; score = 252.0; mean_score/100_episodes = 253.57; reward = -17.0; mean_reward/100_episodes = 172.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 07:47:52
Episode no = 7100; won: False; iter_time_steps = 233; Q(s,a) = 155.65315609458497; score = 748.0; mean_score/100_episodes = 227.09; reward = 367.0; mean_reward/100_episodes = 151.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 07:49:56
Episode no = 7200; won: False; iter_time_steps = 150; Q(s,a) = 159.698745790115; score = 641.0; mean_score/100_episodes = 302.25; reward = 399.0; mean_reward/100_episodes = 213.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-04 07:51:52
Episode no = 7300; won: False; iter_time_steps = 102; Q(s,a) = 163.28637201726963; score = 399.0; mean_score/100_episodes = 255.07; reward = 330.0; mean_reward/100_episodes = 179.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-04 07:54:01
Episode no = 7400; won: False; iter_time_steps = 81; Q(s,a) = 165.4815489678515; score = 230.0; mean_score/100_episodes = 211.73; reward = 131.0; mean_reward/100_episodes = 149.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 07:55:53
Episode no = 7500; won: False; iter_time_steps = 230; Q(s,a) = 162.81921227288095; score = 481.0; mean_score/100_episodes = 317.96; reward = 253.0; mean_reward/100_episodes = 204.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 07:57:58
Episode no = 7600; won: False; iter_time_steps = 137; Q(s,a) = 165.40428871933156; score = 324.0; mean_score/100_episodes = 254.14; reward = 240.0; mean_reward/100_episodes = 179.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 07:59:55
Episode no = 7700; won: False; iter_time_steps = 124; Q(s,a) = 164.780240329959; score = 427.0; mean_score/100_episodes = 289.94; reward = 363.0; mean_reward/100_episodes = 204.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 08:02:10
Episode no = 7800; won: False; iter_time_steps = 79; Q(s,a) = 156.2925385825612; score = 422.0; mean_score/100_episodes = 234.99; reward = 213.0; mean_reward/100_episodes = 168.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 08:04:17
Episode no = 7900; won: False; iter_time_steps = 215; Q(s,a) = 168.94569882433; score = 406.0; mean_score/100_episodes = 235.0; reward = 338.0; mean_reward/100_episodes = 161.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 08:06:23
Episode no = 8000; won: False; iter_time_steps = 136; Q(s,a) = 172.12513625679276; score = 635.0; mean_score/100_episodes = 228.51; reward = 413.0; mean_reward/100_episodes = 159.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 08:08:31
Episode no = 8100; won: False; iter_time_steps = 160; Q(s,a) = 191.84977079171256; score = 351.0; mean_score/100_episodes = 195.8; reward = 272.0; mean_reward/100_episodes = 140.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-04 08:10:26
