Episode no = 3900; won: False; iter_time_steps = 29; Q(s,a) = 117.8185883885722; score = -338.0; mean_score/100_episodes = -235.88; reward = -319.0; mean_reward/100_episodes = -216.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-16 12:00:20
Episode no = 4000; won: False; iter_time_steps = 95; Q(s,a) = 123.35710551411003; score = -64.0; mean_score/100_episodes = -242.66; reward = 0.0; mean_reward/100_episodes = -215.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-16 12:01:24
Episode no = 4100; won: False; iter_time_steps = 40; Q(s,a) = 130.89874109724786; score = -299.0; mean_score/100_episodes = -213.27; reward = -264.0; mean_reward/100_episodes = -191.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-16 12:02:29
Episode no = 4200; won: False; iter_time_steps = 37; Q(s,a) = 130.85068230617628; score = -346.0; mean_score/100_episodes = -218.79; reward = -338.0; mean_reward/100_episodes = -202.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-16 12:03:35
Episode no = 4300; won: False; iter_time_steps = 82; Q(s,a) = 130.35928468831236; score = -201.0; mean_score/100_episodes = -198.04; reward = -163.0; mean_reward/100_episodes = -179.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-16 12:04:44
Episode no = 4400; won: False; iter_time_steps = 30; Q(s,a) = 131.7804925271036; score = -309.0; mean_score/100_episodes = -193.64; reward = -287.0; mean_reward/100_episodes = -179.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-16 12:05:46
Episode no = 4500; won: False; iter_time_steps = 61; Q(s,a) = 135.12625003763594; score = -290.0; mean_score/100_episodes = -157.46; reward = -263.0; mean_reward/100_episodes = -148.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-16 12:06:58
Episode no = 4600; won: False; iter_time_steps = 36; Q(s,a) = 139.4671450891118; score = -305.0; mean_score/100_episodes = -165.85; reward = -282.0; mean_reward/100_episodes = -144.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-16 12:08:09
Episode no = 4700; won: False; iter_time_steps = 14; Q(s,a) = 136.88825362912576; score = -453.0; mean_score/100_episodes = -129.81; reward = -447.0; mean_reward/100_episodes = -117.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-16 12:09:29
Episode no = 4800; won: False; iter_time_steps = 31; Q(s,a) = 144.43682260750768; score = -300.0; mean_score/100_episodes = -117.13; reward = -277.0; mean_reward/100_episodes = -110.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-16 12:10:50
Episode no = 4900; won: False; iter_time_steps = 17; Q(s,a) = 146.9643243475244; score = -396.0; mean_score/100_episodes = -127.69; reward = -373.0; mean_reward/100_episodes = -112.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-16 12:12:12
Episode no = 5000; won: False; iter_time_steps = 36; Q(s,a) = 147.2751775298645; score = -365.0; mean_score/100_episodes = -46.44; reward = -359.0; mean_reward/100_episodes = -44.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-16 12:13:44
Episode no = 5100; won: False; iter_time_steps = 85; Q(s,a) = 140.24326011918896; score = -124.0; mean_score/100_episodes = -113.42; reward = -78.0; mean_reward/100_episodes = -104.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-16 12:14:56
Episode no = 5200; won: False; iter_time_steps = 152; Q(s,a) = 150.05349421883957; score = 29.0; mean_score/100_episodes = -89.13; reward = 97.0; mean_reward/100_episodes = -78.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-16 12:16:14
Episode no = 5300; won: False; iter_time_steps = 227; Q(s,a) = 150.94589807995226; score = 364.0; mean_score/100_episodes = -62.92; reward = 315.0; mean_reward/100_episodes = -65.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-16 12:17:34
Episode no = 5400; won: False; iter_time_steps = 17; Q(s,a) = 153.09591406730348; score = -406.0; mean_score/100_episodes = -62.83; reward = -395.0; mean_reward/100_episodes = -62.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-16 12:18:58
Episode no = 5500; won: False; iter_time_steps = 84; Q(s,a) = 153.74915180704997; score = -83.0; mean_score/100_episodes = 29.07; reward = -33.0; mean_reward/100_episodes = 2.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-16 12:20:25
Episode no = 5600; won: False; iter_time_steps = 45; Q(s,a) = 151.88748014765383; score = -234.0; mean_score/100_episodes = -29.17; reward = -203.0; mean_reward/100_episodes = -41.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.01, 2024-12-16 12:21:47
Episode no = 5700; won: False; iter_time_steps = 187; Q(s,a) = 154.22014039697078; score = 334.0; mean_score/100_episodes = 0.63; reward = 256.0; mean_reward/100_episodes = -13.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.02, 2024-12-16 12:23:15
Episode no = 5800; won: False; iter_time_steps = 59; Q(s,a) = 161.47645902172115; score = -108.0; mean_score/100_episodes = 24.37; reward = -63.0; mean_reward/100_episodes = -1.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-16 12:24:36
Episode no = 5900; won: False; iter_time_steps = 211; Q(s,a) = 162.66607527426856; score = 380.0; mean_score/100_episodes = 69.71; reward = 320.0; mean_reward/100_episodes = 36.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-16 12:26:13
