Episode no = 6900; won: False; iter_time_steps = 11; Q(s,a) = -20.12539169227497; score = -510.0; mean_score/100_episodes = -511.36; reward = -510.0; mean_reward/100_episodes = -511.28; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:04:32
Episode no = 7000; won: False; iter_time_steps = 10; Q(s,a) = -21.02412210737409; score = -509.0; mean_score/100_episodes = -511.56; reward = -509.0; mean_reward/100_episodes = -511.13; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:05:02
Episode no = 7100; won: False; iter_time_steps = 15; Q(s,a) = -20.41960786147494; score = -514.0; mean_score/100_episodes = -516.06; reward = -514.0; mean_reward/100_episodes = -515.99; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:05:38
Episode no = 7200; won: False; iter_time_steps = 15; Q(s,a) = -21.218193377197046; score = -514.0; mean_score/100_episodes = -514.07; reward = -514.0; mean_reward/100_episodes = -514.01; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:06:08
Episode no = 7300; won: False; iter_time_steps = 23; Q(s,a) = -20.27215008353628; score = -522.0; mean_score/100_episodes = -513.57; reward = -522.0; mean_reward/100_episodes = -513.43; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:06:40
Episode no = 7400; won: False; iter_time_steps = 11; Q(s,a) = -21.354518034350818; score = -510.0; mean_score/100_episodes = -511.04; reward = -510.0; mean_reward/100_episodes = -510.95; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:07:05
Episode no = 7500; won: False; iter_time_steps = 15; Q(s,a) = -20.737093019372928; score = -514.0; mean_score/100_episodes = -503.26; reward = -514.0; mean_reward/100_episodes = -507.19; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 09:07:36
Episode no = 7600; won: False; iter_time_steps = 5; Q(s,a) = -19.390631740309562; score = -504.0; mean_score/100_episodes = -513.01; reward = -504.0; mean_reward/100_episodes = -512.91; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:08:06
Episode no = 7700; won: False; iter_time_steps = 14; Q(s,a) = -20.696444183819995; score = -513.0; mean_score/100_episodes = -515.38; reward = -513.0; mean_reward/100_episodes = -515.35; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:08:38
Episode no = 7800; won: False; iter_time_steps = 15; Q(s,a) = -20.73050198413648; score = -504.0; mean_score/100_episodes = -513.06; reward = -492.0; mean_reward/100_episodes = -512.83; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:09:06
Episode no = 7900; won: False; iter_time_steps = 11; Q(s,a) = -19.983607196881785; score = -510.0; mean_score/100_episodes = -510.93; reward = -510.0; mean_reward/100_episodes = -511.05; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:09:31
Episode no = 8000; won: False; iter_time_steps = 17; Q(s,a) = -18.926671417962; score = -516.0; mean_score/100_episodes = -512.65; reward = -516.0; mean_reward/100_episodes = -512.56; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:09:58
Episode no = 8100; won: False; iter_time_steps = 11; Q(s,a) = -19.96983621303388; score = -510.0; mean_score/100_episodes = -513.27; reward = -510.0; mean_reward/100_episodes = -513.22; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:10:26
Episode no = 8200; won: False; iter_time_steps = 11; Q(s,a) = -20.274956037828254; score = -510.0; mean_score/100_episodes = -511.71; reward = -510.0; mean_reward/100_episodes = -511.69; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:10:50
Episode no = 8300; won: False; iter_time_steps = 27; Q(s,a) = -20.005544705479036; score = -526.0; mean_score/100_episodes = -515.79; reward = -526.0; mean_reward/100_episodes = -515.64; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:11:22
Episode no = 8400; won: False; iter_time_steps = 11; Q(s,a) = -20.034003034556154; score = -510.0; mean_score/100_episodes = -513.95; reward = -510.0; mean_reward/100_episodes = -513.79; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:11:51
Episode no = 8500; won: False; iter_time_steps = 13; Q(s,a) = -20.058479644480656; score = -512.0; mean_score/100_episodes = -510.71; reward = -512.0; mean_reward/100_episodes = -510.73; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:12:15
Episode no = 8600; won: False; iter_time_steps = 7; Q(s,a) = -19.454874682439712; score = -506.0; mean_score/100_episodes = -509.46; reward = -506.0; mean_reward/100_episodes = -509.34; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:12:36
Episode no = 8700; won: False; iter_time_steps = 7; Q(s,a) = -19.49741038994115; score = -506.0; mean_score/100_episodes = -508.86; reward = -506.0; mean_reward/100_episodes = -508.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:12:56
Episode no = 8800; won: False; iter_time_steps = 6; Q(s,a) = -21.047066633598; score = -505.0; mean_score/100_episodes = -509.07; reward = -505.0; mean_reward/100_episodes = -508.42; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:13:19
Episode no = 8900; won: False; iter_time_steps = 27; Q(s,a) = -20.52828762889628; score = -526.0; mean_score/100_episodes = -509.68; reward = -526.0; mean_reward/100_episodes = -509.29; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:13:42
Episode no = 9000; won: False; iter_time_steps = 18; Q(s,a) = -20.71897260515881; score = -517.0; mean_score/100_episodes = -509.74; reward = -517.0; mean_reward/100_episodes = -509.57; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:14:05
Episode no = 9100; won: False; iter_time_steps = 20; Q(s,a) = -18.034137513515432; score = -509.0; mean_score/100_episodes = -510.45; reward = -508.0; mean_reward/100_episodes = -510.34; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:14:33
Episode no = 9200; won: False; iter_time_steps = 16; Q(s,a) = -18.29852698246959; score = -505.0; mean_score/100_episodes = -509.15; reward = -504.0; mean_reward/100_episodes = -509.04; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:14:56
Episode no = 9300; won: False; iter_time_steps = 21; Q(s,a) = -16.667389701260177; score = -510.0; mean_score/100_episodes = -507.55; reward = -509.0; mean_reward/100_episodes = -507.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:15:19
Episode no = 9400; won: False; iter_time_steps = 20; Q(s,a) = -16.331728363886658; score = -509.0; mean_score/100_episodes = -499.12; reward = -508.0; mean_reward/100_episodes = -502.99; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 09:15:42
Episode no = 9500; won: False; iter_time_steps = 6; Q(s,a) = -19.928407066862654; score = -505.0; mean_score/100_episodes = -508.38; reward = -505.0; mean_reward/100_episodes = -508.12; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:16:06
Episode no = 9600; won: False; iter_time_steps = 7; Q(s,a) = -17.225540577338617; score = -506.0; mean_score/100_episodes = -507.32; reward = -506.0; mean_reward/100_episodes = -506.97; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:16:31
Episode no = 9700; won: False; iter_time_steps = 7; Q(s,a) = -16.316266673033017; score = -506.0; mean_score/100_episodes = -509.26; reward = -506.0; mean_reward/100_episodes = -508.77; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:16:59
Episode no = 9800; won: False; iter_time_steps = 7; Q(s,a) = -16.49931003320406; score = -506.0; mean_score/100_episodes = -507.54; reward = -506.0; mean_reward/100_episodes = -506.87; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:17:28
Episode no = 9900; won: False; iter_time_steps = 15; Q(s,a) = -10.943465946675243; score = -504.0; mean_score/100_episodes = -507.26; reward = -503.0; mean_reward/100_episodes = -506.66; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:17:57
Episode no = 10000; won: False; iter_time_steps = 8; Q(s,a) = -15.253979994350507; score = -507.0; mean_score/100_episodes = -508.5; reward = -507.0; mean_reward/100_episodes = -508.13; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:18:19
Episode no = 10100; won: False; iter_time_steps = 8; Q(s,a) = -15.272054326384914; score = -507.0; mean_score/100_episodes = -508.2; reward = -507.0; mean_reward/100_episodes = -506.96; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:18:43
Episode no = 10200; won: False; iter_time_steps = 8; Q(s,a) = -15.045553635195244; score = -507.0; mean_score/100_episodes = -509.5; reward = -507.0; mean_reward/100_episodes = -509.19; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:19:06
Episode no = 10300; won: False; iter_time_steps = 7; Q(s,a) = -14.820539645930051; score = -506.0; mean_score/100_episodes = -507.79; reward = -506.0; mean_reward/100_episodes = -507.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:19:29
Episode no = 10400; won: False; iter_time_steps = 6; Q(s,a) = -12.645540230330226; score = -505.0; mean_score/100_episodes = -509.18; reward = -505.0; mean_reward/100_episodes = -508.5; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:19:55
Episode no = 10500; won: False; iter_time_steps = 17; Q(s,a) = -2.529329262752904; score = -506.0; mean_score/100_episodes = -508.35; reward = -505.0; mean_reward/100_episodes = -508.12; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:20:20
Episode no = 10600; won: False; iter_time_steps = 7; Q(s,a) = -11.720255953099265; score = -506.0; mean_score/100_episodes = -514.02; reward = -506.0; mean_reward/100_episodes = -514.13; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:20:53
Episode no = 10700; won: False; iter_time_steps = 11; Q(s,a) = -11.487595025324893; score = -510.0; mean_score/100_episodes = -510.54; reward = -510.0; mean_reward/100_episodes = -510.38; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:21:20
Episode no = 10800; won: False; iter_time_steps = 19; Q(s,a) = -11.108415826772253; score = -518.0; mean_score/100_episodes = -511.29; reward = -518.0; mean_reward/100_episodes = -511.14; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:21:48
Episode no = 10900; won: False; iter_time_steps = 12; Q(s,a) = -10.996930804073937; score = -511.0; mean_score/100_episodes = -511.85; reward = -511.0; mean_reward/100_episodes = -511.82; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:22:13
Episode no = 11000; won: False; iter_time_steps = 5; Q(s,a) = -10.684058617690008; score = -504.0; mean_score/100_episodes = -509.61; reward = -504.0; mean_reward/100_episodes = -509.15; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:22:44
Episode no = 11100; won: False; iter_time_steps = 15; Q(s,a) = -0.07326198729585887; score = -504.0; mean_score/100_episodes = -506.28; reward = -503.0; mean_reward/100_episodes = -505.87; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 09:23:10
