Episode no = 6400; won: False; iter_time_steps = 86; Q(s,a) = 243.53382908394926; score = 155.0; mean_score/100_episodes = 276.54; reward = 49.0; mean_reward/100_episodes = 114.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 5798.719323332321; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-02 04:58:50
Episode no = 6500; won: False; iter_time_steps = 94; Q(s,a) = 227.85743754157; score = 447.0; mean_score/100_episodes = 314.1; reward = 202.0; mean_reward/100_episodes = 129.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 5986.875101403855; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-02 05:00:05
Episode no = 6600; won: False; iter_time_steps = 82; Q(s,a) = 238.24042571754777; score = 249.0; mean_score/100_episodes = 326.73; reward = 152.0; mean_reward/100_episodes = 140.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 6176.7269467265705; and epsilon = 0.12, win percentage = 0.0, 2024-12-02 05:01:20
Episode no = 6700; won: False; iter_time_steps = 89; Q(s,a) = 224.74755792259566; score = 302.0; mean_score/100_episodes = 384.15; reward = 211.0; mean_reward/100_episodes = 145.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 6365.959592894093; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-02 05:02:34
Episode no = 6800; won: False; iter_time_steps = 83; Q(s,a) = 215.20935640264037; score = 278.0; mean_score/100_episodes = 313.41; reward = 184.0; mean_reward/100_episodes = 139.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 6558.9343556951735; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 05:03:50
Episode no = 6900; won: False; iter_time_steps = 83; Q(s,a) = 242.3138839058859; score = 508.0; mean_score/100_episodes = 356.41; reward = 246.0; mean_reward/100_episodes = 151.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 6751.828353389055; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 05:05:13
Episode no = 7000; won: False; iter_time_steps = 79; Q(s,a) = 250.49522135459398; score = 662.0; mean_score/100_episodes = 392.64; reward = 246.0; mean_reward/100_episodes = 174.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 6946.660713655716; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 05:06:29
Episode no = 7100; won: False; iter_time_steps = 82; Q(s,a) = 234.56630845034178; score = 499.0; mean_score/100_episodes = 379.63; reward = 258.0; mean_reward/100_episodes = 171.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 7139.070120706403; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 05:07:46
Episode no = 7200; won: False; iter_time_steps = 81; Q(s,a) = 227.73181201940685; score = 300.0; mean_score/100_episodes = 335.36; reward = 208.0; mean_reward/100_episodes = 152.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 7334.656288640255; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 05:09:02
Episode no = 7300; won: False; iter_time_steps = 83; Q(s,a) = 225.19047884958795; score = 248.0; mean_score/100_episodes = 313.66; reward = 162.0; mean_reward/100_episodes = 138.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0.026921702399999997; ann_total_energy = 7526.823400369345; and epsilon = 0.1, win percentage = 0.0, 2024-12-02 05:10:17
