Episode no = 7200; won: False; iter_time_steps = 189; Q(s,a) = 199.25446826004168; score = 1072.0; mean_score/100_episodes = 873.91; reward = 550.0; mean_reward/100_episodes = 533.21; and epsilon = 0.1, win percentage = 0.33, 2024-11-24 20:29:44
Episode no = 7300; won: True; iter_time_steps = 239; Q(s,a) = 183.57732442412043; score = 1232.0; mean_score/100_episodes = 825.31; reward = 918.0; mean_reward/100_episodes = 496.4; and epsilon = 0.1, win percentage = 0.35, 2024-11-24 20:35:03
Episode no = 7400; won: False; iter_time_steps = 94; Q(s,a) = 201.0211761741051; score = 567.0; mean_score/100_episodes = 881.69; reward = 323.0; mean_reward/100_episodes = 517.31; and epsilon = 0.1, win percentage = 0.37, 2024-11-24 20:41:00
Episode no = 7500; won: True; iter_time_steps = 172; Q(s,a) = 192.90060051551166; score = 1899.0; mean_score/100_episodes = 1152.87; reward = 1127.0; mean_reward/100_episodes = 697.17; and epsilon = 0.1, win percentage = 0.55, 2024-11-24 20:46:58
Episode no = 7600; won: True; iter_time_steps = 182; Q(s,a) = 195.92097982001022; score = 1889.0; mean_score/100_episodes = 984.78; reward = 1106.0; mean_reward/100_episodes = 579.59; and epsilon = 0.1, win percentage = 0.4, 2024-11-24 20:52:51
Episode no = 7700; won: False; iter_time_steps = 43; Q(s,a) = 226.00504439304115; score = 198.0; mean_score/100_episodes = 1010.43; reward = -99.0; mean_reward/100_episodes = 601.99; and epsilon = 0.1, win percentage = 0.42, 2024-11-24 20:58:45
Episode no = 7800; won: False; iter_time_steps = 129; Q(s,a) = 212.19164415645278; score = 872.0; mean_score/100_episodes = 1043.81; reward = 504.0; mean_reward/100_episodes = 612.49; and epsilon = 0.1, win percentage = 0.47, 2024-11-24 21:04:31
Episode no = 7900; won: True; iter_time_steps = 180; Q(s,a) = 224.81970467634278; score = 1691.0; mean_score/100_episodes = 1090.42; reward = 1068.0; mean_reward/100_episodes = 649.46; and epsilon = 0.1, win percentage = 0.55, 2024-11-24 21:10:11
Episode no = 8000; won: False; iter_time_steps = 36; Q(s,a) = 187.29726791305333; score = -315.0; mean_score/100_episodes = 972.01; reward = -293.0; mean_reward/100_episodes = 589.41; and epsilon = 0.1, win percentage = 0.45, 2024-11-24 21:15:21
Episode no = 8100; won: False; iter_time_steps = 133; Q(s,a) = 213.94558637927616; score = 668.0; mean_score/100_episodes = 1197.21; reward = 438.0; mean_reward/100_episodes = 732.48; and epsilon = 0.1, win percentage = 0.6, 2024-11-24 21:21:15
Episode no = 8200; won: False; iter_time_steps = 122; Q(s,a) = 217.5348880192388; score = 869.0; mean_score/100_episodes = 1028.92; reward = 489.0; mean_reward/100_episodes = 620.53; and epsilon = 0.1, win percentage = 0.46, 2024-11-24 21:26:34
Episode no = 8300; won: False; iter_time_steps = 110; Q(s,a) = 218.6029480193737; score = 591.0; mean_score/100_episodes = 1034.72; reward = 373.0; mean_reward/100_episodes = 619.95; and epsilon = 0.1, win percentage = 0.46, 2024-11-24 21:31:46
Episode no = 8400; won: True; iter_time_steps = 214; Q(s,a) = 192.84314855302523; score = 1657.0; mean_score/100_episodes = 1007.18; reward = 1034.0; mean_reward/100_episodes = 605.37; and epsilon = 0.1, win percentage = 0.48, 2024-11-24 21:36:41
Episode no = 8500; won: True; iter_time_steps = 206; Q(s,a) = 207.5126760104813; score = 1265.0; mean_score/100_episodes = 967.77; reward = 962.0; mean_reward/100_episodes = 583.25; and epsilon = 0.1, win percentage = 0.41, 2024-11-24 21:42:20
Episode no = 8600; won: True; iter_time_steps = 213; Q(s,a) = 208.58726727895197; score = 1658.0; mean_score/100_episodes = 1038.38; reward = 1046.0; mean_reward/100_episodes = 626.9; and epsilon = 0.1, win percentage = 0.48, 2024-11-24 21:47:50
Episode no = 8700; won: False; iter_time_steps = 146; Q(s,a) = 220.8264291569636; score = 675.0; mean_score/100_episodes = 1006.07; reward = 469.0; mean_reward/100_episodes = 613.61; and epsilon = 0.1, win percentage = 0.46, 2024-11-24 21:52:35
Episode no = 8800; won: False; iter_time_steps = 29; Q(s,a) = 222.0870055919534; score = -78.0; mean_score/100_episodes = 1032.66; reward = -213.0; mean_reward/100_episodes = 621.6; and epsilon = 0.1, win percentage = 0.46, 2024-11-24 21:57:21
Episode no = 8900; won: False; iter_time_steps = 159; Q(s,a) = 202.827812779177; score = 812.0; mean_score/100_episodes = 930.96; reward = 430.0; mean_reward/100_episodes = 545.96; and epsilon = 0.1, win percentage = 0.39, 2024-11-24 22:02:12
Episode no = 9000; won: False; iter_time_steps = 118; Q(s,a) = 215.43985723562744; score = 843.0; mean_score/100_episodes = 1164.08; reward = 482.0; mean_reward/100_episodes = 693.48; and epsilon = 0.1, win percentage = 0.5, 2024-11-24 22:07:22
Episode no = 9100; won: False; iter_time_steps = 203; Q(s,a) = 229.19650433019402; score = 1058.0; mean_score/100_episodes = 1091.37; reward = 514.0; mean_reward/100_episodes = 646.52; and epsilon = 0.1, win percentage = 0.45, 2024-11-24 22:12:40
