Episode no = 6300; won: False; iter_time_steps = 30; Q(s,a) = 164.25089160409075; score = -289.0; mean_score/100_episodes = -111.21; reward = -265.0; mean_reward/100_episodes = -89.43; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-26 07:48:58
Episode no = 6400; won: False; iter_time_steps = 26; Q(s,a) = 164.7140492601944; score = -295.0; mean_score/100_episodes = -75.59; reward = -272.0; mean_reward/100_episodes = -61.69; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-26 07:49:51
Episode no = 6500; won: False; iter_time_steps = 49; Q(s,a) = 163.56270913116487; score = -138.0; mean_score/100_episodes = -56.56; reward = -97.0; mean_reward/100_episodes = -55.53; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-26 07:50:42
Episode no = 6600; won: False; iter_time_steps = 97; Q(s,a) = 161.1597248104251; score = 84.0; mean_score/100_episodes = -78.98; reward = 152.0; mean_reward/100_episodes = -85.25; and epsilon = 0.12, win percentage = 0.0, 2024-11-26 07:51:31
Episode no = 6700; won: False; iter_time_steps = 122; Q(s,a) = 164.0270799228668; score = 69.0; mean_score/100_episodes = -92.7; reward = 138.0; mean_reward/100_episodes = -69.62; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-26 07:52:32
Episode no = 6800; won: False; iter_time_steps = 57; Q(s,a) = 166.3595388391377; score = -96.0; mean_score/100_episodes = -90.92; reward = -61.0; mean_reward/100_episodes = -73.53; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:53:30
Episode no = 6900; won: False; iter_time_steps = 45; Q(s,a) = 163.03417586022206; score = -194.0; mean_score/100_episodes = -85.03; reward = -170.0; mean_reward/100_episodes = -71.1; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:54:18
Episode no = 7000; won: False; iter_time_steps = 51; Q(s,a) = 164.52457559869606; score = -100.0; mean_score/100_episodes = -52.89; reward = -55.0; mean_reward/100_episodes = -46.2; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:55:09
Episode no = 7100; won: False; iter_time_steps = 28; Q(s,a) = 165.88599226031982; score = -297.0; mean_score/100_episodes = -63.95; reward = -274.0; mean_reward/100_episodes = -59.29; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:56:05
Episode no = 7200; won: False; iter_time_steps = 33; Q(s,a) = 166.46775667027643; score = -232.0; mean_score/100_episodes = -84.63; reward = -202.0; mean_reward/100_episodes = -63.38; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:56:59
Episode no = 7300; won: False; iter_time_steps = 26; Q(s,a) = 166.1470645867701; score = -285.0; mean_score/100_episodes = -119.33; reward = -261.0; mean_reward/100_episodes = -109.97; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:57:44
Episode no = 7400; won: False; iter_time_steps = 16; Q(s,a) = 166.99331252407652; score = -375.0; mean_score/100_episodes = -129.27; reward = -361.0; mean_reward/100_episodes = -109.95; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:58:32
Episode no = 7500; won: False; iter_time_steps = 23; Q(s,a) = 167.9785348915919; score = -312.0; mean_score/100_episodes = -121.09; reward = -291.0; mean_reward/100_episodes = -99.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 07:59:18
Episode no = 7600; won: False; iter_time_steps = 15; Q(s,a) = 169.39556510400584; score = -384.0; mean_score/100_episodes = -143.04; reward = -360.0; mean_reward/100_episodes = -126.38; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:00:06
Episode no = 7700; won: False; iter_time_steps = 10; Q(s,a) = 170.49384412145906; score = -429.0; mean_score/100_episodes = -90.58; reward = -421.0; mean_reward/100_episodes = -79.73; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:01:07
Episode no = 7800; won: False; iter_time_steps = 41; Q(s,a) = 170.85905223628936; score = -140.0; mean_score/100_episodes = -88.37; reward = -100.0; mean_reward/100_episodes = -73.31; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:02:07
Episode no = 7900; won: False; iter_time_steps = 81; Q(s,a) = 170.85510402873877; score = 290.0; mean_score/100_episodes = -74.83; reward = 197.0; mean_reward/100_episodes = -67.49; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:03:09
Episode no = 8000; won: False; iter_time_steps = 13; Q(s,a) = 172.16197708630372; score = -392.0; mean_score/100_episodes = -96.66; reward = -380.0; mean_reward/100_episodes = -83.06; and epsilon = 0.1, win percentage = 0.02, 2024-11-26 08:04:05
Episode no = 8100; won: False; iter_time_steps = 42; Q(s,a) = 173.12887382824877; score = -151.0; mean_score/100_episodes = -106.68; reward = -112.0; mean_reward/100_episodes = -85.59; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:05:00
Episode no = 8200; won: False; iter_time_steps = 23; Q(s,a) = 172.539201555663; score = -322.0; mean_score/100_episodes = -94.77; reward = -302.0; mean_reward/100_episodes = -73.41; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:05:50
Episode no = 8300; won: False; iter_time_steps = 155; Q(s,a) = 173.00858357893574; score = 206.0; mean_score/100_episodes = -71.04; reward = 292.0; mean_reward/100_episodes = -61.31; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:06:39
Episode no = 8400; won: False; iter_time_steps = 260; Q(s,a) = 172.8438941997393; score = 581.0; mean_score/100_episodes = -133.53; reward = 366.0; mean_reward/100_episodes = -114.46; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:07:25
Episode no = 8500; won: False; iter_time_steps = 28; Q(s,a) = 174.54478961705843; score = -267.0; mean_score/100_episodes = -32.46; reward = -241.0; mean_reward/100_episodes = -32.48; and epsilon = 0.1, win percentage = 0.02, 2024-11-26 08:08:21
Episode no = 8600; won: False; iter_time_steps = 180; Q(s,a) = 174.18855511538854; score = 201.0; mean_score/100_episodes = -89.26; reward = 289.0; mean_reward/100_episodes = -75.56; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:09:11
Episode no = 8700; won: False; iter_time_steps = 37; Q(s,a) = 176.71363339737488; score = -236.0; mean_score/100_episodes = -32.8; reward = -195.0; mean_reward/100_episodes = -40.64; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:10:12
Episode no = 8800; won: False; iter_time_steps = 79; Q(s,a) = 175.73266558278098; score = 412.0; mean_score/100_episodes = 15.23; reward = 122.0; mean_reward/100_episodes = -8.16; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:11:14
Episode no = 8900; won: False; iter_time_steps = 24; Q(s,a) = 176.37797195768988; score = -293.0; mean_score/100_episodes = -10.3; reward = -270.0; mean_reward/100_episodes = -19.79; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:12:14
Episode no = 9000; won: False; iter_time_steps = 25; Q(s,a) = 178.15128120782376; score = -334.0; mean_score/100_episodes = -49.84; reward = -315.0; mean_reward/100_episodes = -42.11; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:13:14
Episode no = 9100; won: False; iter_time_steps = 35; Q(s,a) = 178.07292038233518; score = -224.0; mean_score/100_episodes = -46.65; reward = -193.0; mean_reward/100_episodes = -44.36; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:14:10
Episode no = 9200; won: False; iter_time_steps = 132; Q(s,a) = 178.25967119360718; score = 239.0; mean_score/100_episodes = -69.65; reward = 326.0; mean_reward/100_episodes = -63.05; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:15:02
Episode no = 9300; won: False; iter_time_steps = 37; Q(s,a) = 177.13746347184548; score = -206.0; mean_score/100_episodes = -66.49; reward = -173.0; mean_reward/100_episodes = -46.64; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:15:58
Episode no = 9400; won: False; iter_time_steps = 176; Q(s,a) = 180.5763982736509; score = 155.0; mean_score/100_episodes = -84.52; reward = 238.0; mean_reward/100_episodes = -66.91; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:16:48
Episode no = 9500; won: False; iter_time_steps = 76; Q(s,a) = 181.8725749495241; score = 285.0; mean_score/100_episodes = -48.75; reward = 191.0; mean_reward/100_episodes = -42.08; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:17:42
Episode no = 9600; won: False; iter_time_steps = 48; Q(s,a) = 183.36401281256724; score = -97.0; mean_score/100_episodes = -22.91; reward = -52.0; mean_reward/100_episodes = -25.61; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:18:37
Episode no = 9700; won: False; iter_time_steps = 77; Q(s,a) = 182.9661187898109; score = 4.0; mean_score/100_episodes = -34.5; reward = 73.0; mean_reward/100_episodes = -53.71; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:19:40
Episode no = 9800; won: False; iter_time_steps = 61; Q(s,a) = 181.45436502207596; score = -30.0; mean_score/100_episodes = 5.88; reward = 23.0; mean_reward/100_episodes = 1.31; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:20:41
Episode no = 9900; won: False; iter_time_steps = 26; Q(s,a) = 183.54625470176907; score = -295.0; mean_score/100_episodes = -55.79; reward = -272.0; mean_reward/100_episodes = -56.32; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:21:35
Episode no = 10000; won: False; iter_time_steps = 186; Q(s,a) = 183.66831823668113; score = 445.0; mean_score/100_episodes = -22.42; reward = 378.0; mean_reward/100_episodes = -32.57; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:22:29
Episode no = 10100; won: False; iter_time_steps = 153; Q(s,a) = 183.62223688382264; score = 398.0; mean_score/100_episodes = -29.08; reward = 334.0; mean_reward/100_episodes = -34.08; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:23:30
Episode no = 10200; won: False; iter_time_steps = 20; Q(s,a) = 184.0117730716727; score = -349.0; mean_score/100_episodes = -33.71; reward = -332.0; mean_reward/100_episodes = -43.68; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:24:19
Episode no = 10300; won: False; iter_time_steps = 40; Q(s,a) = 184.3490739816538; score = -209.0; mean_score/100_episodes = -29.93; reward = -176.0; mean_reward/100_episodes = -32.61; and epsilon = 0.1, win percentage = 0.0, 2024-11-26 08:25:17
Episode no = 10400; won: False; iter_time_steps = 22; Q(s,a) = 184.74455720851253; score = -341.0; mean_score/100_episodes = 67.14; reward = -323.0; mean_reward/100_episodes = 49.76; and epsilon = 0.1, win percentage = 0.01, 2024-11-26 08:26:33
