Episode no = 4200; won: False; iter_time_steps = 161; Q(s,a) = -13.66863375851542; score = -490.0; mean_score/100_episodes = -468.79; reward = -473.0; mean_reward/100_episodes = -459.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-13 07:15:30
Episode no = 4300; won: False; iter_time_steps = 100; Q(s,a) = -13.800428470479433; score = -419.0; mean_score/100_episodes = -466.17; reward = -401.0; mean_reward/100_episodes = -458.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-13 07:16:36
Episode no = 4400; won: False; iter_time_steps = 103; Q(s,a) = -13.927223787740834; score = -502.0; mean_score/100_episodes = -470.86; reward = -503.0; mean_reward/100_episodes = -464.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-13 07:17:44
Episode no = 4500; won: False; iter_time_steps = 65; Q(s,a) = -14.05102808709847; score = -414.0; mean_score/100_episodes = -467.05; reward = -399.0; mean_reward/100_episodes = -461.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-13 07:19:06
Episode no = 4600; won: False; iter_time_steps = 131; Q(s,a) = -14.17856228213812; score = -500.0; mean_score/100_episodes = -479.17; reward = -487.0; mean_reward/100_episodes = -471.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-13 07:20:17
Episode no = 4700; won: False; iter_time_steps = 56; Q(s,a) = -14.322535979758307; score = -425.0; mean_score/100_episodes = -465.2; reward = -412.0; mean_reward/100_episodes = -455.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-13 07:21:19
Episode no = 4800; won: False; iter_time_steps = 23; Q(s,a) = -14.454492650978434; score = -392.0; mean_score/100_episodes = -474.11; reward = -368.0; mean_reward/100_episodes = -467.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-13 07:22:35
Episode no = 4900; won: False; iter_time_steps = 20; Q(s,a) = -14.57559238651693; score = -479.0; mean_score/100_episodes = -469.55; reward = -475.0; mean_reward/100_episodes = -466.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-13 07:23:50
Episode no = 5000; won: False; iter_time_steps = 77; Q(s,a) = -14.719840927193118; score = -546.0; mean_score/100_episodes = -473.56; reward = -543.0; mean_reward/100_episodes = -466.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-13 07:24:58
Episode no = 5100; won: False; iter_time_steps = 61; Q(s,a) = -14.836036182650698; score = -470.0; mean_score/100_episodes = -492.53; reward = -461.0; mean_reward/100_episodes = -484.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-13 07:26:25
