Episode no = 5100; won: False; iter_time_steps = 12; Q(s,a) = -9.683795797445516; score = -511.0; mean_score/100_episodes = -500.68; reward = -511.0; mean_reward/100_episodes = -504.27; and epsilon = 0.31999999999999995, win percentage = 0.01, 2024-11-20 08:01:08
Episode no = 5200; won: False; iter_time_steps = 7; Q(s,a) = -16.912374992689763; score = -506.0; mean_score/100_episodes = -511.79; reward = -506.0; mean_reward/100_episodes = -511.56; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-20 08:01:34
Episode no = 5300; won: False; iter_time_steps = 11; Q(s,a) = -13.640824928918615; score = -510.0; mean_score/100_episodes = -511.63; reward = -510.0; mean_reward/100_episodes = -511.41; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-20 08:02:00
Episode no = 5400; won: False; iter_time_steps = 20; Q(s,a) = -8.057956298512922; score = -519.0; mean_score/100_episodes = -512.1; reward = -519.0; mean_reward/100_episodes = -511.74; and epsilon = 0.28, win percentage = 0.0, 2024-11-20 08:02:27
Episode no = 5500; won: False; iter_time_steps = 8; Q(s,a) = -11.11934721345926; score = -507.0; mean_score/100_episodes = -512.75; reward = -507.0; mean_reward/100_episodes = -512.66; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-20 08:02:55
Episode no = 5600; won: False; iter_time_steps = 31; Q(s,a) = -9.994256758486559; score = -520.0; mean_score/100_episodes = -513.4; reward = -519.0; mean_reward/100_episodes = -513.08; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-20 08:03:24
Episode no = 5700; won: False; iter_time_steps = 11; Q(s,a) = -14.758998312406753; score = -510.0; mean_score/100_episodes = -502.66; reward = -510.0; mean_reward/100_episodes = -506.67; and epsilon = 0.24, win percentage = 0.01, 2024-11-20 08:03:52
Episode no = 5800; won: False; iter_time_steps = 19; Q(s,a) = -12.41637189683265; score = -518.0; mean_score/100_episodes = -512.71; reward = -518.0; mean_reward/100_episodes = -512.64; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-20 08:04:20
Episode no = 5900; won: False; iter_time_steps = 23; Q(s,a) = -9.0187006843599; score = -512.0; mean_score/100_episodes = -511.7; reward = -511.0; mean_reward/100_episodes = -511.09; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-20 08:04:46
Episode no = 6000; won: False; iter_time_steps = 15; Q(s,a) = -10.786583243625886; score = -514.0; mean_score/100_episodes = -512.36; reward = -514.0; mean_reward/100_episodes = -511.92; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-20 08:05:15
Episode no = 6100; won: False; iter_time_steps = 18; Q(s,a) = -8.258678133528498; score = -517.0; mean_score/100_episodes = -512.0; reward = -517.0; mean_reward/100_episodes = -511.58; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-20 08:05:42
Episode no = 6200; won: False; iter_time_steps = 16; Q(s,a) = -4.688815567511469; score = -515.0; mean_score/100_episodes = -512.86; reward = -515.0; mean_reward/100_episodes = -512.32; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-20 08:06:12
Episode no = 6300; won: False; iter_time_steps = 39; Q(s,a) = -3.3988762155697545; score = -528.0; mean_score/100_episodes = -503.26; reward = -527.0; mean_reward/100_episodes = -507.25; and epsilon = 0.16000000000000003, win percentage = 0.01, 2024-11-20 08:06:42
Episode no = 6400; won: False; iter_time_steps = 22; Q(s,a) = 1.3641734020371403; score = -511.0; mean_score/100_episodes = -502.98; reward = -510.0; mean_reward/100_episodes = -506.7; and epsilon = 0.1466666666666666, win percentage = 0.01, 2024-11-20 08:07:14
Episode no = 6500; won: False; iter_time_steps = 23; Q(s,a) = 4.886495315718192; score = -512.0; mean_score/100_episodes = -512.41; reward = -511.0; mean_reward/100_episodes = -511.61; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-20 08:07:44
Episode no = 6600; won: False; iter_time_steps = 34; Q(s,a) = 1.3584516321657174; score = -533.0; mean_score/100_episodes = -512.51; reward = -533.0; mean_reward/100_episodes = -512.1; and epsilon = 0.12, win percentage = 0.0, 2024-11-20 08:08:16
Episode no = 6700; won: False; iter_time_steps = 9; Q(s,a) = -5.298904887210673; score = -508.0; mean_score/100_episodes = -510.79; reward = -508.0; mean_reward/100_episodes = -510.11; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-20 08:08:44
Episode no = 6800; won: False; iter_time_steps = 17; Q(s,a) = 0.04537564819760509; score = -516.0; mean_score/100_episodes = -510.52; reward = -516.0; mean_reward/100_episodes = -510.11; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:09:12
Episode no = 6900; won: False; iter_time_steps = 15; Q(s,a) = 11.933967927692535; score = -504.0; mean_score/100_episodes = -510.27; reward = -503.0; mean_reward/100_episodes = -509.72; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:09:39
Episode no = 7000; won: False; iter_time_steps = 15; Q(s,a) = 3.7165196722130416; score = -504.0; mean_score/100_episodes = -510.07; reward = -492.0; mean_reward/100_episodes = -509.46; and epsilon = 0.1, win percentage = 0.0, 2024-11-20 08:10:04
Episode no = 7100; won: False; iter_time_steps = 11; Q(s,a) = 1.3372322092688225; score = -510.0; mean_score/100_episodes = -500.28; reward = -510.0; mean_reward/100_episodes = -503.57; and epsilon = 0.1, win percentage = 0.01, 2024-11-20 08:10:32
