Episode no = 11700; won: True; iter_time_steps = 20; Q(s,a) = 576.7467115301499; score = 501.0; reward = 92.0; mean_reward/100_episodes = -35.52; and epsilon = 0.1, win percentage = 0.79, 2024-11-16 19:53:52
Episode no = 11800; won: True; iter_time_steps = 23; Q(s,a) = 589.0480606047721; score = 498.0; reward = 89.0; mean_reward/100_episodes = -29.69; and epsilon = 0.1, win percentage = 0.8, 2024-11-16 19:54:01
Episode no = 11900; won: True; iter_time_steps = 19; Q(s,a) = 427.78354434449466; score = 502.0; reward = 93.0; mean_reward/100_episodes = -4.61; and epsilon = 0.1, win percentage = 0.84, 2024-11-16 19:54:10
Episode no = 12000; won: True; iter_time_steps = 42; Q(s,a) = 599.020616439773; score = 479.0; reward = 70.0; mean_reward/100_episodes = -24.8; and epsilon = 0.1, win percentage = 0.81, 2024-11-16 19:54:19
Episode no = 12100; won: True; iter_time_steps = 22; Q(s,a) = 603.9722486968121; score = 499.0; reward = 90.0; mean_reward/100_episodes = -23.99; and epsilon = 0.1, win percentage = 0.81, 2024-11-16 19:54:28
Episode no = 12200; won: True; iter_time_steps = 22; Q(s,a) = 599.6583750947331; score = 499.0; reward = 90.0; mean_reward/100_episodes = 7.26; and epsilon = 0.1, win percentage = 0.86, 2024-11-16 19:54:37
Episode no = 12300; won: True; iter_time_steps = 25; Q(s,a) = 490.9897949903273; score = 496.0; reward = 87.0; mean_reward/100_episodes = 16.88; and epsilon = 0.1, win percentage = 0.88, 2024-11-16 19:54:47
Episode no = 12400; won: True; iter_time_steps = 58; Q(s,a) = 556.2163286596631; score = 463.0; reward = 54.0; mean_reward/100_episodes = -42.85; and epsilon = 0.1, win percentage = 0.78, 2024-11-16 19:54:55
Episode no = 12500; won: True; iter_time_steps = 16; Q(s,a) = 557.9681852204665; score = 505.0; reward = 96.0; mean_reward/100_episodes = -41.27; and epsilon = 0.1, win percentage = 0.78, 2024-11-16 19:55:04
Episode no = 12600; won: True; iter_time_steps = 18; Q(s,a) = 529.7839869640447; score = 503.0; reward = 94.0; mean_reward/100_episodes = 0.56; and epsilon = 0.1, win percentage = 0.85, 2024-11-16 19:55:12
Episode no = 12700; won: True; iter_time_steps = 18; Q(s,a) = 426.70637545815634; score = 503.0; reward = 94.0; mean_reward/100_episodes = -11.02; and epsilon = 0.1, win percentage = 0.83, 2024-11-16 19:55:20
