Episode no = 6100; won: False; iter_time_steps = 23; Q(s,a) = 125.90744744197866; score = -342.0; mean_score/100_episodes = -222.54; reward = -324.0; mean_reward/100_episodes = -189.64; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-24 16:14:29
Episode no = 6200; won: False; iter_time_steps = 16; Q(s,a) = 127.59860974525692; score = -395.0; mean_score/100_episodes = -199.41; reward = -394.0; mean_reward/100_episodes = -168.76; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-24 16:14:58
Episode no = 6300; won: False; iter_time_steps = 30; Q(s,a) = 131.48221246256924; score = -259.0; mean_score/100_episodes = -232.49; reward = -232.0; mean_reward/100_episodes = -200.05; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-24 16:15:20
Episode no = 6400; won: False; iter_time_steps = 148; Q(s,a) = 134.56977423408532; score = -37.0; mean_score/100_episodes = -218.03; reward = 24.0; mean_reward/100_episodes = -193.42; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-24 16:15:44
Episode no = 6500; won: False; iter_time_steps = 85; Q(s,a) = 137.79468897347235; score = -234.0; mean_score/100_episodes = -222.04; reward = -199.0; mean_reward/100_episodes = -196.66; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-24 16:16:10
Episode no = 6600; won: False; iter_time_steps = 16; Q(s,a) = 139.34370737888966; score = -375.0; mean_score/100_episodes = -245.54; reward = -350.0; mean_reward/100_episodes = -216.34; and epsilon = 0.12, win percentage = 0.0, 2024-11-24 16:16:33
Episode no = 6700; won: False; iter_time_steps = 210; Q(s,a) = 139.95859249892266; score = -119.0; mean_score/100_episodes = -212.64; reward = -60.0; mean_reward/100_episodes = -185.89; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-24 16:17:01
Episode no = 6800; won: False; iter_time_steps = 54; Q(s,a) = 143.4781134999505; score = -73.0; mean_score/100_episodes = -224.04; reward = -25.0; mean_reward/100_episodes = -194.3; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:17:25
Episode no = 6900; won: False; iter_time_steps = 184; Q(s,a) = 145.47757495199775; score = 77.0; mean_score/100_episodes = -181.01; reward = 153.0; mean_reward/100_episodes = -152.48; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:17:54
Episode no = 7000; won: False; iter_time_steps = 53; Q(s,a) = 146.62684383468098; score = -132.0; mean_score/100_episodes = -210.71; reward = -90.0; mean_reward/100_episodes = -180.79; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:18:17
Episode no = 7100; won: False; iter_time_steps = 63; Q(s,a) = 147.78232270789894; score = -52.0; mean_score/100_episodes = -206.94; reward = -12.0; mean_reward/100_episodes = -178.13; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:18:38
Episode no = 7200; won: False; iter_time_steps = 57; Q(s,a) = 150.65967699949894; score = -106.0; mean_score/100_episodes = -191.45; reward = -61.0; mean_reward/100_episodes = -173.18; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:18:59
Episode no = 7300; won: False; iter_time_steps = 27; Q(s,a) = 153.5491616593724; score = -266.0; mean_score/100_episodes = -150.25; reward = -240.0; mean_reward/100_episodes = -141.85; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:19:25
Episode no = 7400; won: False; iter_time_steps = 105; Q(s,a) = 155.40687510701977; score = -54.0; mean_score/100_episodes = -163.99; reward = 1.0; mean_reward/100_episodes = -153.81; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:19:51
Episode no = 7500; won: False; iter_time_steps = 102; Q(s,a) = 156.59859973755823; score = 189.0; mean_score/100_episodes = -149.81; reward = 88.0; mean_reward/100_episodes = -140.62; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:20:16
Episode no = 7600; won: False; iter_time_steps = 122; Q(s,a) = 155.61805384069444; score = -101.0; mean_score/100_episodes = -131.46; reward = -49.0; mean_reward/100_episodes = -126.26; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:20:40
Episode no = 7700; won: False; iter_time_steps = 15; Q(s,a) = 155.95299604791592; score = -384.0; mean_score/100_episodes = -92.52; reward = -371.0; mean_reward/100_episodes = -95.14; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:21:16
Episode no = 7800; won: False; iter_time_steps = 28; Q(s,a) = 158.22289586764774; score = -287.0; mean_score/100_episodes = -182.37; reward = -252.0; mean_reward/100_episodes = -169.78; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:21:44
Episode no = 7900; won: False; iter_time_steps = 24; Q(s,a) = 159.73849697296785; score = -343.0; mean_score/100_episodes = -160.6; reward = -325.0; mean_reward/100_episodes = -145.56; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:22:11
Episode no = 8000; won: False; iter_time_steps = 12; Q(s,a) = 161.01508306224122; score = -411.0; mean_score/100_episodes = -189.36; reward = -401.0; mean_reward/100_episodes = -173.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:22:38
Episode no = 8100; won: False; iter_time_steps = 138; Q(s,a) = 162.26380019077092; score = 273.0; mean_score/100_episodes = -202.34; reward = 195.0; mean_reward/100_episodes = -179.9; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:23:05
Episode no = 8200; won: False; iter_time_steps = 243; Q(s,a) = 164.57819067182172; score = -122.0; mean_score/100_episodes = -219.46; reward = -60.0; mean_reward/100_episodes = -193.86; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:23:33
Episode no = 8300; won: False; iter_time_steps = 28; Q(s,a) = 165.24090166503538; score = -297.0; mean_score/100_episodes = -223.0; reward = -274.0; mean_reward/100_episodes = -194.14; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:24:02
Episode no = 8400; won: False; iter_time_steps = 150; Q(s,a) = 166.91483621114293; score = 91.0; mean_score/100_episodes = -210.31; reward = 165.0; mean_reward/100_episodes = -190.48; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:24:30
Episode no = 8500; won: False; iter_time_steps = 31; Q(s,a) = 168.67439679905885; score = -320.0; mean_score/100_episodes = -171.33; reward = -310.0; mean_reward/100_episodes = -145.1; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:25:01
Episode no = 8600; won: False; iter_time_steps = 16; Q(s,a) = 168.70396137434912; score = -375.0; mean_score/100_episodes = -130.95; reward = -361.0; mean_reward/100_episodes = -115.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:25:35
Episode no = 8700; won: False; iter_time_steps = 201; Q(s,a) = 171.01812890863226; score = -120.0; mean_score/100_episodes = -141.0; reward = -62.0; mean_reward/100_episodes = -125.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:26:07
Episode no = 8800; won: False; iter_time_steps = 138; Q(s,a) = 171.74471110605154; score = 273.0; mean_score/100_episodes = -147.37; reward = 206.0; mean_reward/100_episodes = -125.06; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:26:37
Episode no = 8900; won: False; iter_time_steps = 34; Q(s,a) = 174.38697772157184; score = -253.0; mean_score/100_episodes = -178.71; reward = -214.0; mean_reward/100_episodes = -154.2; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:27:04
Episode no = 9000; won: False; iter_time_steps = 41; Q(s,a) = 174.03851556448558; score = -190.0; mean_score/100_episodes = -178.41; reward = -155.0; mean_reward/100_episodes = -146.86; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:27:32
Episode no = 9100; won: False; iter_time_steps = 44; Q(s,a) = 176.85882444686834; score = -193.0; mean_score/100_episodes = -191.83; reward = -158.0; mean_reward/100_episodes = -161.73; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:27:59
Episode no = 9200; won: False; iter_time_steps = 19; Q(s,a) = 175.39887848350074; score = -338.0; mean_score/100_episodes = -246.49; reward = -320.0; mean_reward/100_episodes = -216.65; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:28:27
Episode no = 9300; won: False; iter_time_steps = 101; Q(s,a) = 176.11436228499292; score = 240.0; mean_score/100_episodes = -225.12; reward = 155.0; mean_reward/100_episodes = -197.16; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:29:04
Episode no = 9400; won: False; iter_time_steps = 16; Q(s,a) = 177.7297918812031; score = -365.0; mean_score/100_episodes = -155.49; reward = -350.0; mean_reward/100_episodes = -128.0; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:29:34
Episode no = 9500; won: False; iter_time_steps = 230; Q(s,a) = 177.74091765497116; score = 421.0; mean_score/100_episodes = -170.41; reward = 187.0; mean_reward/100_episodes = -139.85; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:29:58
Episode no = 9600; won: False; iter_time_steps = 33; Q(s,a) = 179.0418330187454; score = -252.0; mean_score/100_episodes = -155.55; reward = -224.0; mean_reward/100_episodes = -127.34; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:30:25
Episode no = 9700; won: False; iter_time_steps = 25; Q(s,a) = 178.20124681951077; score = -344.0; mean_score/100_episodes = -182.0; reward = -326.0; mean_reward/100_episodes = -146.43; and epsilon = 0.1, win percentage = 0.0, 2024-11-24 16:30:51
