Episode no = 4100; won: False; iter_time_steps = 8; Q(s,a) = 64.84996176690998; score = -507.0; mean_score/100_episodes = -509.89; reward = -507.0; mean_reward/100_episodes = -509.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-02 01:50:07
Episode no = 4200; won: False; iter_time_steps = 21; Q(s,a) = 65.3787223100808; score = -510.0; mean_score/100_episodes = -509.7; reward = -509.0; mean_reward/100_episodes = -508.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-02 01:50:15
Episode no = 4300; won: False; iter_time_steps = 8; Q(s,a) = 46.540086704993406; score = -507.0; mean_score/100_episodes = -510.71; reward = -507.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-02 01:50:24
Episode no = 4400; won: False; iter_time_steps = 15; Q(s,a) = 19.31350497244577; score = -504.0; mean_score/100_episodes = -500.72; reward = -503.0; mean_reward/100_episodes = -503.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.01, 2024-12-02 01:50:33
Episode no = 4500; won: False; iter_time_steps = 21; Q(s,a) = 89.29583649904748; score = -520.0; mean_score/100_episodes = -491.43; reward = -520.0; mean_reward/100_episodes = -498.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.02, 2024-12-02 01:50:42
Episode no = 4600; won: False; iter_time_steps = 21; Q(s,a) = 75.1751336725843; score = -520.0; mean_score/100_episodes = -511.53; reward = -520.0; mean_reward/100_episodes = -510.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-02 01:50:52
Episode no = 4700; won: False; iter_time_steps = 10; Q(s,a) = 37.95866309669056; score = -509.0; mean_score/100_episodes = -511.59; reward = -509.0; mean_reward/100_episodes = -510.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-02 01:51:02
Episode no = 4800; won: False; iter_time_steps = 18; Q(s,a) = 53.56571604941772; score = -507.0; mean_score/100_episodes = -511.39; reward = -506.0; mean_reward/100_episodes = -510.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-02 01:51:11
Episode no = 4900; won: False; iter_time_steps = 21; Q(s,a) = 64.21475205676678; score = -510.0; mean_score/100_episodes = -500.78; reward = -509.0; mean_reward/100_episodes = -503.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.01, 2024-12-02 01:51:21
Episode no = 5000; won: False; iter_time_steps = 15; Q(s,a) = 14.860300206836245; score = -504.0; mean_score/100_episodes = -501.62; reward = -492.0; mean_reward/100_episodes = -504.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.01, 2024-12-02 01:51:31
Episode no = 5100; won: False; iter_time_steps = 21; Q(s,a) = 52.99857366315131; score = -510.0; mean_score/100_episodes = -511.45; reward = -509.0; mean_reward/100_episodes = -510.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-02 01:51:41
Episode no = 5200; won: False; iter_time_steps = 21; Q(s,a) = 43.2622008006999; score = -520.0; mean_score/100_episodes = -501.89; reward = -520.0; mean_reward/100_episodes = -505.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.01, 2024-12-02 01:51:51
Episode no = 5300; won: False; iter_time_steps = 21; Q(s,a) = 50.56649770646571; score = -510.0; mean_score/100_episodes = -502.07; reward = -498.0; mean_reward/100_episodes = -505.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.01, 2024-12-02 01:52:01
