Episode no = 7800; won: True; iter_time_steps = 27; Q(s,a) = 383.4576538690885; score = 494.0; mean_score/100_episodes = 115.86; reward = 85.0; mean_reward/100_episodes = -136.65; and epsilon = 0.1, win percentage = 0.62, 2024-11-22 09:17:23
Episode no = 7900; won: True; iter_time_steps = 16; Q(s,a) = 310.93268337235975; score = 505.0; mean_score/100_episodes = 327.83; reward = 96.0; mean_reward/100_episodes = -11.2; and epsilon = 0.1, win percentage = 0.83, 2024-11-22 09:17:34
Episode no = 8000; won: True; iter_time_steps = 18; Q(s,a) = 263.68625722483455; score = 503.0; mean_score/100_episodes = 268.35; reward = 94.0; mean_reward/100_episodes = -46.31; and epsilon = 0.1, win percentage = 0.77, 2024-11-22 09:17:44
Episode no = 8100; won: True; iter_time_steps = 16; Q(s,a) = 280.9087918152259; score = 505.0; mean_score/100_episodes = 327.89; reward = 96.0; mean_reward/100_episodes = -11.44; and epsilon = 0.1, win percentage = 0.83, 2024-11-22 09:17:54
Episode no = 8200; won: True; iter_time_steps = 18; Q(s,a) = 349.2755922880186; score = 503.0; mean_score/100_episodes = 409.78; reward = 94.0; mean_reward/100_episodes = 37.66; and epsilon = 0.1, win percentage = 0.91, 2024-11-22 09:18:04
Episode no = 8300; won: True; iter_time_steps = 18; Q(s,a) = 266.38915299768576; score = 503.0; mean_score/100_episodes = 369.1; reward = 94.0; mean_reward/100_episodes = 13.38; and epsilon = 0.1, win percentage = 0.87, 2024-11-22 09:18:14
Episode no = 8400; won: True; iter_time_steps = 18; Q(s,a) = 343.2824059983994; score = 503.0; mean_score/100_episodes = 399.79; reward = 94.0; mean_reward/100_episodes = 31.77; and epsilon = 0.1, win percentage = 0.9, 2024-11-22 09:18:24
Episode no = 8500; won: True; iter_time_steps = 18; Q(s,a) = 507.5468296193304; score = 503.0; mean_score/100_episodes = 318.24; reward = 94.0; mean_reward/100_episodes = -16.98; and epsilon = 0.1, win percentage = 0.82, 2024-11-22 09:18:34
Episode no = 8600; won: True; iter_time_steps = 22; Q(s,a) = 374.73716533791804; score = 499.0; mean_score/100_episodes = 317.48; reward = 90.0; mean_reward/100_episodes = -17.76; and epsilon = 0.1, win percentage = 0.82, 2024-11-22 09:18:45
Episode no = 8700; won: True; iter_time_steps = 18; Q(s,a) = 365.16255533201945; score = 503.0; mean_score/100_episodes = 279.22; reward = 94.0; mean_reward/100_episodes = -39.39; and epsilon = 0.1, win percentage = 0.78, 2024-11-22 09:18:55
Episode no = 8800; won: True; iter_time_steps = 17; Q(s,a) = 449.5921119997866; score = 504.0; mean_score/100_episodes = 348.35; reward = 95.0; mean_reward/100_episodes = 0.94; and epsilon = 0.1, win percentage = 0.85, 2024-11-22 09:19:06
Episode no = 8900; won: True; iter_time_steps = 17; Q(s,a) = 457.58461507314036; score = 504.0; mean_score/100_episodes = 358.56; reward = 95.0; mean_reward/100_episodes = 7.06; and epsilon = 0.1, win percentage = 0.86, 2024-11-22 09:19:17
Episode no = 9000; won: False; iter_time_steps = 30; Q(s,a) = 189.3343634025019; score = -529.0; mean_score/100_episodes = 318.8; reward = -529.0; mean_reward/100_episodes = -16.42; and epsilon = 0.1, win percentage = 0.82, 2024-11-22 09:19:27
Episode no = 9100; won: True; iter_time_steps = 19; Q(s,a) = 361.38684946574153; score = 502.0; mean_score/100_episodes = 350.17; reward = 93.0; mean_reward/100_episodes = 2.66; and epsilon = 0.1, win percentage = 0.85, 2024-11-22 09:19:36
Episode no = 9200; won: True; iter_time_steps = 18; Q(s,a) = 401.57369226391336; score = 503.0; mean_score/100_episodes = 328.66; reward = 94.0; mean_reward/100_episodes = -10.67; and epsilon = 0.1, win percentage = 0.83, 2024-11-22 09:19:47
Episode no = 9300; won: True; iter_time_steps = 18; Q(s,a) = 536.5309421986957; score = 503.0; mean_score/100_episodes = 400.04; reward = 94.0; mean_reward/100_episodes = 32.14; and epsilon = 0.1, win percentage = 0.9, 2024-11-22 09:19:56
Episode no = 9400; won: True; iter_time_steps = 20; Q(s,a) = 435.25420436759146; score = 501.0; mean_score/100_episodes = 379.1; reward = 92.0; mean_reward/100_episodes = 19.51; and epsilon = 0.1, win percentage = 0.88, 2024-11-22 09:20:07
Episode no = 9500; won: True; iter_time_steps = 18; Q(s,a) = 413.19610680442884; score = 503.0; mean_score/100_episodes = 379.7; reward = 94.0; mean_reward/100_episodes = 19.9; and epsilon = 0.1, win percentage = 0.88, 2024-11-22 09:20:17
Episode no = 9600; won: True; iter_time_steps = 17; Q(s,a) = 426.2210192346269; score = 504.0; mean_score/100_episodes = 379.77; reward = 95.0; mean_reward/100_episodes = 19.96; and epsilon = 0.1, win percentage = 0.88, 2024-11-22 09:20:27
Episode no = 9700; won: True; iter_time_steps = 16; Q(s,a) = 446.96400038446654; score = 505.0; mean_score/100_episodes = 328.06; reward = 96.0; mean_reward/100_episodes = -11.25; and epsilon = 0.1, win percentage = 0.83, 2024-11-22 09:20:38
Episode no = 9800; won: True; iter_time_steps = 22; Q(s,a) = 412.1797329009874; score = 499.0; mean_score/100_episodes = 297.59; reward = 90.0; mean_reward/100_episodes = -29.43; and epsilon = 0.1, win percentage = 0.8, 2024-11-22 09:20:48
Episode no = 9900; won: True; iter_time_steps = 20; Q(s,a) = 553.6154366156277; score = 501.0; mean_score/100_episodes = 339.22; reward = 92.0; mean_reward/100_episodes = -4.21; and epsilon = 0.1, win percentage = 0.84, 2024-11-22 09:20:58
Episode no = 10000; won: True; iter_time_steps = 19; Q(s,a) = 407.20554103831125; score = 502.0; mean_score/100_episodes = 369.42; reward = 93.0; mean_reward/100_episodes = 13.71; and epsilon = 0.1, win percentage = 0.87, 2024-11-22 09:21:08
Episode no = 10100; won: True; iter_time_steps = 17; Q(s,a) = 630.9977407372974; score = 504.0; mean_score/100_episodes = 278.45; reward = 95.0; mean_reward/100_episodes = -40.41; and epsilon = 0.1, win percentage = 0.78, 2024-11-22 09:21:18
Episode no = 10200; won: True; iter_time_steps = 18; Q(s,a) = 425.33697450307847; score = 503.0; mean_score/100_episodes = 318.98; reward = 94.0; mean_reward/100_episodes = -16.24; and epsilon = 0.1, win percentage = 0.82, 2024-11-22 09:21:28
Episode no = 10300; won: True; iter_time_steps = 32; Q(s,a) = 573.7507666286743; score = 489.0; mean_score/100_episodes = 328.41; reward = 80.0; mean_reward/100_episodes = -10.93; and epsilon = 0.1, win percentage = 0.83, 2024-11-22 09:21:38
Episode no = 10400; won: True; iter_time_steps = 20; Q(s,a) = 466.02447444224674; score = 501.0; mean_score/100_episodes = 258.66; reward = 92.0; mean_reward/100_episodes = -51.97; and epsilon = 0.1, win percentage = 0.76, 2024-11-22 09:21:48
Episode no = 10500; won: True; iter_time_steps = 30; Q(s,a) = 462.7019780754166; score = 491.0; mean_score/100_episodes = 349.07; reward = 82.0; mean_reward/100_episodes = 1.55; and epsilon = 0.1, win percentage = 0.85, 2024-11-22 09:21:58
Episode no = 10600; won: True; iter_time_steps = 18; Q(s,a) = 425.7530615415235; score = 503.0; mean_score/100_episodes = 277.71; reward = 94.0; mean_reward/100_episodes = -41.09; and epsilon = 0.1, win percentage = 0.78, 2024-11-22 09:22:09
Episode no = 10700; won: True; iter_time_steps = 22; Q(s,a) = 428.08889762988247; score = 499.0; mean_score/100_episodes = 369.57; reward = 90.0; mean_reward/100_episodes = 13.98; and epsilon = 0.1, win percentage = 0.87, 2024-11-22 09:22:19
Episode no = 10800; won: True; iter_time_steps = 18; Q(s,a) = 432.8931601130569; score = 503.0; mean_score/100_episodes = 267.96; reward = 94.0; mean_reward/100_episodes = -46.78; and epsilon = 0.1, win percentage = 0.77, 2024-11-22 09:22:29
Episode no = 10900; won: True; iter_time_steps = 17; Q(s,a) = 439.6794298817391; score = 504.0; mean_score/100_episodes = 295.63; reward = 95.0; mean_reward/100_episodes = -31.39; and epsilon = 0.1, win percentage = 0.8, 2024-11-22 09:22:41
Episode no = 11000; won: True; iter_time_steps = 17; Q(s,a) = 426.8584405676163; score = 504.0; mean_score/100_episodes = 216.17; reward = 95.0; mean_reward/100_episodes = -78.05; and epsilon = 0.1, win percentage = 0.72, 2024-11-22 09:22:51
Episode no = 11100; won: True; iter_time_steps = 20; Q(s,a) = 452.97932964860183; score = 501.0; mean_score/100_episodes = 328.48; reward = 92.0; mean_reward/100_episodes = -10.74; and epsilon = 0.1, win percentage = 0.83, 2024-11-22 09:23:01
