Episode no = 5700; won: False; iter_time_steps = 14; Q(s,a) = -18.54390517478753; score = -513.0; mean_score/100_episodes = -512.97; reward = -513.0; mean_reward/100_episodes = -512.37; and epsilon = 0.24, win percentage = 0.0, 2024-11-22 08:58:55
Episode no = 5800; won: False; iter_time_steps = 14; Q(s,a) = -18.747051728477157; score = -513.0; mean_score/100_episodes = -461.72; reward = -513.0; mean_reward/100_episodes = -481.8; and epsilon = 0.22666666666666668, win percentage = 0.05, 2024-11-22 08:59:06
Episode no = 5900; won: False; iter_time_steps = 14; Q(s,a) = -18.826174630193986; score = -513.0; mean_score/100_episodes = -483.74; reward = -513.0; mean_reward/100_episodes = -495.0; and epsilon = 0.21333333333333337, win percentage = 0.03, 2024-11-22 08:59:18
Episode no = 6000; won: False; iter_time_steps = 9; Q(s,a) = -18.43952736624262; score = -508.0; mean_score/100_episodes = -471.18; reward = -508.0; mean_reward/100_episodes = -486.75; and epsilon = 0.19999999999999996, win percentage = 0.04, 2024-11-22 08:59:29
Episode no = 6100; won: False; iter_time_steps = 59; Q(s,a) = -15.804668372859721; score = -548.0; mean_score/100_episodes = -492.29; reward = -547.0; mean_reward/100_episodes = -499.71; and epsilon = 0.18666666666666665, win percentage = 0.02, 2024-11-22 08:59:42
Episode no = 6200; won: False; iter_time_steps = 19; Q(s,a) = -17.622430819189095; score = -508.0; mean_score/100_episodes = -492.04; reward = -507.0; mean_reward/100_episodes = -499.11; and epsilon = 0.17333333333333334, win percentage = 0.02, 2024-11-22 08:59:55
Episode no = 6300; won: False; iter_time_steps = 19; Q(s,a) = -16.00440779449335; score = -508.0; mean_score/100_episodes = -504.8; reward = -507.0; mean_reward/100_episodes = -508.06; and epsilon = 0.16000000000000003, win percentage = 0.01, 2024-11-22 09:00:09
Episode no = 6400; won: False; iter_time_steps = 23; Q(s,a) = -15.363795707852805; score = -512.0; mean_score/100_episodes = -514.88; reward = -511.0; mean_reward/100_episodes = -513.71; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-22 09:00:24
Episode no = 6500; won: False; iter_time_steps = 24; Q(s,a) = -18.182806855269295; score = -523.0; mean_score/100_episodes = -513.22; reward = -523.0; mean_reward/100_episodes = -512.0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-22 09:00:40
Episode no = 6600; won: False; iter_time_steps = 19; Q(s,a) = -11.183007196259858; score = -508.0; mean_score/100_episodes = -503.94; reward = -507.0; mean_reward/100_episodes = -506.98; and epsilon = 0.12, win percentage = 0.01, 2024-11-22 09:00:56
Episode no = 6700; won: False; iter_time_steps = 19; Q(s,a) = -8.634082042099012; score = -508.0; mean_score/100_episodes = -472.23; reward = -507.0; mean_reward/100_episodes = -487.7; and epsilon = 0.10666666666666669, win percentage = 0.04, 2024-11-22 09:01:12
Episode no = 6800; won: False; iter_time_steps = 20; Q(s,a) = -7.1095642895189375; score = -509.0; mean_score/100_episodes = -453.16; reward = -508.0; mean_reward/100_episodes = -476.63; and epsilon = 0.1, win percentage = 0.06, 2024-11-22 09:01:29
Episode no = 6900; won: False; iter_time_steps = 29; Q(s,a) = -15.09406316950508; score = -518.0; mean_score/100_episodes = -389.74; reward = -517.0; mean_reward/100_episodes = -437.82; and epsilon = 0.1, win percentage = 0.12, 2024-11-22 09:01:43
Episode no = 7000; won: False; iter_time_steps = 15; Q(s,a) = -13.31773176215795; score = -504.0; mean_score/100_episodes = -280.72; reward = -503.0; mean_reward/100_episodes = -373.72; and epsilon = 0.1, win percentage = 0.23, 2024-11-22 09:02:00
Episode no = 7100; won: False; iter_time_steps = 31; Q(s,a) = -15.008902472121799; score = -520.0; mean_score/100_episodes = -322.03; reward = -519.0; mean_reward/100_episodes = -398.87; and epsilon = 0.1, win percentage = 0.19, 2024-11-22 09:02:17
Episode no = 7200; won: False; iter_time_steps = 16; Q(s,a) = -5.084959470765117; score = -505.0; mean_score/100_episodes = -282.95; reward = -504.0; mean_reward/100_episodes = -375.98; and epsilon = 0.1, win percentage = 0.23, 2024-11-22 09:02:35
Episode no = 7300; won: False; iter_time_steps = 31; Q(s,a) = -8.832119103440824; score = -520.0; mean_score/100_episodes = -309.16; reward = -519.0; mean_reward/100_episodes = -389.66; and epsilon = 0.1, win percentage = 0.2, 2024-11-22 09:02:50
Episode no = 7400; won: False; iter_time_steps = 47; Q(s,a) = -6.814172086491731; score = -536.0; mean_score/100_episodes = -242.78; reward = -535.0; mean_reward/100_episodes = -352.19; and epsilon = 0.1, win percentage = 0.27, 2024-11-22 09:03:09
Episode no = 7500; won: False; iter_time_steps = 16; Q(s,a) = -6.257408082533468; score = -505.0; mean_score/100_episodes = -138.14; reward = -504.0; mean_reward/100_episodes = -288.33; and epsilon = 0.1, win percentage = 0.37, 2024-11-22 09:03:25
Episode no = 7600; won: True; iter_time_steps = 26; Q(s,a) = -4.913502493075725; score = 495.0; mean_score/100_episodes = -181.9; reward = 86.0; mean_reward/100_episodes = -315.9; and epsilon = 0.1, win percentage = 0.33, 2024-11-22 09:03:43
Episode no = 7700; won: True; iter_time_steps = 19; Q(s,a) = -5.294428841895305; score = 502.0; mean_score/100_episodes = -69.01; reward = 93.0; mean_reward/100_episodes = -248.33; and epsilon = 0.1, win percentage = 0.44, 2024-11-22 09:04:00
Episode no = 7800; won: False; iter_time_steps = 31; Q(s,a) = -6.3215204355856915; score = -520.0; mean_score/100_episodes = -89.92; reward = -519.0; mean_reward/100_episodes = -260.82; and epsilon = 0.1, win percentage = 0.42, 2024-11-22 09:04:17
Episode no = 7900; won: False; iter_time_steps = 52; Q(s,a) = -7.385478089690649; score = -541.0; mean_score/100_episodes = -119.27; reward = -540.0; mean_reward/100_episodes = -277.98; and epsilon = 0.1, win percentage = 0.39, 2024-11-22 09:04:34
Episode no = 8000; won: True; iter_time_steps = 24; Q(s,a) = -2.1715600007268203; score = 497.0; mean_score/100_episodes = 22.62; reward = 88.0; mean_reward/100_episodes = -193.59; and epsilon = 0.1, win percentage = 0.53, 2024-11-22 09:04:50
Episode no = 8100; won: True; iter_time_steps = 15; Q(s,a) = -2.6910298301351756; score = 506.0; mean_score/100_episodes = -69.21; reward = 97.0; mean_reward/100_episodes = -248.63; and epsilon = 0.1, win percentage = 0.44, 2024-11-22 09:05:07
Episode no = 8200; won: False; iter_time_steps = 15; Q(s,a) = -1.9177680945655222; score = -504.0; mean_score/100_episodes = -48.03; reward = -492.0; mean_reward/100_episodes = -235.22; and epsilon = 0.1, win percentage = 0.46, 2024-11-22 09:05:23
Episode no = 8300; won: True; iter_time_steps = 15; Q(s,a) = -1.5537643937615968; score = 506.0; mean_score/100_episodes = -28.37; reward = 97.0; mean_reward/100_episodes = -224.11; and epsilon = 0.1, win percentage = 0.48, 2024-11-22 09:05:40
Episode no = 8400; won: False; iter_time_steps = 33; Q(s,a) = -7.009828777193418; score = -522.0; mean_score/100_episodes = -79.17; reward = -521.0; mean_reward/100_episodes = -254.54; and epsilon = 0.1, win percentage = 0.43, 2024-11-22 09:05:57
Episode no = 8500; won: False; iter_time_steps = 15; Q(s,a) = -6.181793262365096; score = -504.0; mean_score/100_episodes = -37.49; reward = -492.0; mean_reward/100_episodes = -228.71; and epsilon = 0.1, win percentage = 0.47, 2024-11-22 09:06:12
Episode no = 8600; won: True; iter_time_steps = 22; Q(s,a) = 6.0128916563593835; score = 499.0; mean_score/100_episodes = -7.36; reward = 90.0; mean_reward/100_episodes = -210.74; and epsilon = 0.1, win percentage = 0.5, 2024-11-22 09:06:28
Episode no = 8700; won: False; iter_time_steps = 25; Q(s,a) = -1.4707339018802918; score = -514.0; mean_score/100_episodes = 55.07; reward = -513.0; mean_reward/100_episodes = -173.13; and epsilon = 0.1, win percentage = 0.56, 2024-11-22 09:06:42
Episode no = 8800; won: False; iter_time_steps = 34; Q(s,a) = -5.735167961531171; score = -523.0; mean_score/100_episodes = 44.11; reward = -522.0; mean_reward/100_episodes = -179.69; and epsilon = 0.1, win percentage = 0.55, 2024-11-22 09:06:57
Episode no = 8900; won: False; iter_time_steps = 14; Q(s,a) = -7.589846621694796; score = -513.0; mean_score/100_episodes = 93.02; reward = -513.0; mean_reward/100_episodes = -151.87; and epsilon = 0.1, win percentage = 0.6, 2024-11-22 09:07:13
Episode no = 9000; won: False; iter_time_steps = 35; Q(s,a) = -0.7973052679120556; score = -524.0; mean_score/100_episodes = 34.46; reward = -512.0; mean_reward/100_episodes = -184.91; and epsilon = 0.1, win percentage = 0.54, 2024-11-22 09:07:26
Episode no = 9100; won: True; iter_time_steps = 14; Q(s,a) = 22.544804589224476; score = 507.0; mean_score/100_episodes = -47.54; reward = 98.0; mean_reward/100_episodes = -234.54; and epsilon = 0.1, win percentage = 0.46, 2024-11-22 09:07:40
