Episode no = 5300; won: False; iter_time_steps = 212; Q(s,a) = 167.34736901164166; score = -11.0; mean_score/100_episodes = 256.83; reward = 59.0; mean_reward/100_episodes = 145.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:27:23
Episode no = 5400; won: False; iter_time_steps = 106; Q(s,a) = 161.3983033866323; score = 145.0; mean_score/100_episodes = 291.64; reward = 220.0; mean_reward/100_episodes = 162.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:29:02
Episode no = 5500; won: False; iter_time_steps = 42; Q(s,a) = 155.96217272403703; score = -151.0; mean_score/100_episodes = 263.51; reward = -112.0; mean_reward/100_episodes = 125.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:30:39
Episode no = 5600; won: False; iter_time_steps = 88; Q(s,a) = 184.46501717149576; score = 553.0; mean_score/100_episodes = 321.89; reward = 329.0; mean_reward/100_episodes = 172.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:32:12
Episode no = 5700; won: False; iter_time_steps = 66; Q(s,a) = 162.569396441094; score = 205.0; mean_score/100_episodes = 238.28; reward = 91.0; mean_reward/100_episodes = 125.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:33:51
Episode no = 5800; won: False; iter_time_steps = 18; Q(s,a) = 157.05091402886754; score = -377.0; mean_score/100_episodes = 302.26; reward = -363.0; mean_reward/100_episodes = 132.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:35:31
Episode no = 5900; won: False; iter_time_steps = 99; Q(s,a) = 160.01935438157946; score = 512.0; mean_score/100_episodes = 265.46; reward = 285.0; mean_reward/100_episodes = 140.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:36:58
Episode no = 6000; won: False; iter_time_steps = 35; Q(s,a) = 180.55162482463737; score = -64.0; mean_score/100_episodes = 237.97; reward = -197.0; mean_reward/100_episodes = 109.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:38:28
Episode no = 6100; won: False; iter_time_steps = 72; Q(s,a) = 171.77954919806885; score = 229.0; mean_score/100_episodes = 250.4; reward = 140.0; mean_reward/100_episodes = 123.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-04 10:39:59
Episode no = 6200; won: False; iter_time_steps = 388; Q(s,a) = 175.98547172497885; score = 23.0; mean_score/100_episodes = 286.15; reward = -66.0; mean_reward/100_episodes = 123.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:41:43
Episode no = 6300; won: False; iter_time_steps = 38; Q(s,a) = 187.9586456381258; score = 183.0; mean_score/100_episodes = 293.37; reward = -116.0; mean_reward/100_episodes = 126.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:43:11
Episode no = 6400; won: False; iter_time_steps = 111; Q(s,a) = 200.0301940173048; score = 760.0; mean_score/100_episodes = 266.14; reward = 357.0; mean_reward/100_episodes = 142.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-04 10:44:50
Episode no = 6500; won: False; iter_time_steps = 156; Q(s,a) = 173.53684397446796; score = 605.0; mean_score/100_episodes = 303.04; reward = 382.0; mean_reward/100_episodes = 150.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:46:29
Episode no = 6600; won: False; iter_time_steps = 153; Q(s,a) = 166.08595658881336; score = 508.0; mean_score/100_episodes = 335.98; reward = 275.0; mean_reward/100_episodes = 175.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:48:04
Episode no = 6700; won: False; iter_time_steps = 109; Q(s,a) = 189.631619972372; score = 762.0; mean_score/100_episodes = 244.69; reward = 370.0; mean_reward/100_episodes = 126.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:49:42
Episode no = 6800; won: False; iter_time_steps = 49; Q(s,a) = 166.2800256423497; score = -148.0; mean_score/100_episodes = 355.88; reward = -108.0; mean_reward/100_episodes = 189.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:51:33
Episode no = 6900; won: False; iter_time_steps = 145; Q(s,a) = 193.3637083094751; score = 926.0; mean_score/100_episodes = 426.08; reward = 363.0; mean_reward/100_episodes = 229.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:53:29
Episode no = 7000; won: False; iter_time_steps = 71; Q(s,a) = 188.4578602875305; score = 340.0; mean_score/100_episodes = 374.64; reward = 71.0; mean_reward/100_episodes = 191.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:55:12
Episode no = 7100; won: False; iter_time_steps = 80; Q(s,a) = 188.40585293401915; score = 631.0; mean_score/100_episodes = 362.81; reward = 245.0; mean_reward/100_episodes = 172.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:57:06
Episode no = 7200; won: False; iter_time_steps = 165; Q(s,a) = 174.1976528793849; score = 526.0; mean_score/100_episodes = 404.38; reward = 296.0; mean_reward/100_episodes = 219.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 10:58:55
Episode no = 7300; won: False; iter_time_steps = 92; Q(s,a) = 167.4275974234509; score = 119.0; mean_score/100_episodes = 288.52; reward = 179.0; mean_reward/100_episodes = 122.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 11:00:22
Episode no = 7400; won: False; iter_time_steps = 28; Q(s,a) = 208.73837689291693; score = -67.0; mean_score/100_episodes = 384.62; reward = -201.0; mean_reward/100_episodes = 181.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 11:02:09
Episode no = 7500; won: False; iter_time_steps = 130; Q(s,a) = 173.02030148372523; score = 391.0; mean_score/100_episodes = 352.27; reward = 302.0; mean_reward/100_episodes = 178.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 11:03:50
Episode no = 7600; won: True; iter_time_steps = 283; Q(s,a) = 190.49898275864112; score = 1588.0; mean_score/100_episodes = 419.54; reward = 965.0; mean_reward/100_episodes = 205.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.01, 2024-12-04 11:05:41
Episode no = 7700; won: False; iter_time_steps = 126; Q(s,a) = 173.4752117429192; score = 305.0; mean_score/100_episodes = 366.78; reward = 218.0; mean_reward/100_episodes = 171.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 11:07:39
Episode no = 7800; won: False; iter_time_steps = 473; Q(s,a) = 196.01674048416118; score = 638.0; mean_score/100_episodes = 377.23; reward = 79.0; mean_reward/100_episodes = 194.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 11:09:18
