Episode no = 7400; won: False; iter_time_steps = 145; Q(s,a) = 177.5716769878395; score = 326.0; mean_score/100_episodes = -74.18; reward = 254.0; mean_reward/100_episodes = -51.3; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:48:44
Episode no = 7500; won: False; iter_time_steps = 158; Q(s,a) = 176.55901386907533; score = 163.0; mean_score/100_episodes = -104.86; reward = 245.0; mean_reward/100_episodes = -77.21; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 14:49:57
Episode no = 7600; won: False; iter_time_steps = 256; Q(s,a) = 177.48777994108988; score = 155.0; mean_score/100_episodes = -95.04; reward = 246.0; mean_reward/100_episodes = -67.39; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:51:09
Episode no = 7700; won: False; iter_time_steps = 20; Q(s,a) = 177.6398897416815; score = -349.0; mean_score/100_episodes = -125.89; reward = -343.0; mean_reward/100_episodes = -113.75; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:52:20
Episode no = 7800; won: False; iter_time_steps = 78; Q(s,a) = 178.2799933422869; score = 93.0; mean_score/100_episodes = -123.99; reward = 160.0; mean_reward/100_episodes = -100.98; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:53:31
Episode no = 7900; won: False; iter_time_steps = 38; Q(s,a) = 178.41499976841916; score = -207.0; mean_score/100_episodes = -87.14; reward = -163.0; mean_reward/100_episodes = -70.01; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:54:44
Episode no = 8000; won: False; iter_time_steps = 65; Q(s,a) = 179.1431009376214; score = 46.0; mean_score/100_episodes = -104.6; reward = 107.0; mean_reward/100_episodes = -74.91; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 14:55:59
Episode no = 8100; won: False; iter_time_steps = 28; Q(s,a) = 180.80401678488738; score = -317.0; mean_score/100_episodes = -68.6; reward = -285.0; mean_reward/100_episodes = -51.28; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 14:57:15
Episode no = 8200; won: False; iter_time_steps = 60; Q(s,a) = 181.20099668039845; score = -39.0; mean_score/100_episodes = -25.16; reward = 24.0; mean_reward/100_episodes = 2.46; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 14:58:40
Episode no = 8300; won: False; iter_time_steps = 166; Q(s,a) = 180.2104632280503; score = 185.0; mean_score/100_episodes = -49.92; reward = 270.0; mean_reward/100_episodes = -23.67; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:00:09
Episode no = 8400; won: False; iter_time_steps = 99; Q(s,a) = 182.22511515512005; score = 172.0; mean_score/100_episodes = -54.51; reward = 238.0; mean_reward/100_episodes = -34.18; and epsilon = 0.1, win percentage = 0.03, 2024-11-28 15:01:36
Episode no = 8500; won: False; iter_time_steps = 48; Q(s,a) = 183.2330346339975; score = -117.0; mean_score/100_episodes = -57.27; reward = -74.0; mean_reward/100_episodes = -45.06; and epsilon = 0.1, win percentage = 0.02, 2024-11-28 15:02:57
Episode no = 8600; won: False; iter_time_steps = 43; Q(s,a) = 183.6256014364544; score = -182.0; mean_score/100_episodes = -59.34; reward = -146.0; mean_reward/100_episodes = -32.05; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:04:18
Episode no = 8700; won: False; iter_time_steps = 205; Q(s,a) = 182.34787521361017; score = 246.0; mean_score/100_episodes = -92.85; reward = 341.0; mean_reward/100_episodes = -71.82; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:05:38
Episode no = 8800; won: False; iter_time_steps = 97; Q(s,a) = 183.38499031690483; score = 134.0; mean_score/100_episodes = -57.61; reward = 196.0; mean_reward/100_episodes = -35.19; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 15:06:59
Episode no = 8900; won: False; iter_time_steps = 31; Q(s,a) = 184.10729958468596; score = -260.0; mean_score/100_episodes = -91.08; reward = -233.0; mean_reward/100_episodes = -74.24; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:08:11
Episode no = 9000; won: False; iter_time_steps = 41; Q(s,a) = 184.72507649173912; score = -170.0; mean_score/100_episodes = -52.87; reward = -122.0; mean_reward/100_episodes = -23.21; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:09:28
Episode no = 9100; won: False; iter_time_steps = 87; Q(s,a) = 184.81508413090074; score = 74.0; mean_score/100_episodes = -52.98; reward = 140.0; mean_reward/100_episodes = -23.12; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:10:57
Episode no = 9200; won: False; iter_time_steps = 23; Q(s,a) = 185.91042993105643; score = -312.0; mean_score/100_episodes = -125.28; reward = -291.0; mean_reward/100_episodes = -83.55; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:12:02
Episode no = 9300; won: False; iter_time_steps = 128; Q(s,a) = 185.6263941063436; score = 193.0; mean_score/100_episodes = -87.7; reward = 275.0; mean_reward/100_episodes = -60.14; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:13:12
Episode no = 9400; won: False; iter_time_steps = 86; Q(s,a) = 186.34790564816922; score = 95.0; mean_score/100_episodes = -30.21; reward = 174.0; mean_reward/100_episodes = -17.08; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 15:14:41
Episode no = 9500; won: False; iter_time_steps = 14; Q(s,a) = 187.21432143142525; score = -403.0; mean_score/100_episodes = -81.97; reward = -392.0; mean_reward/100_episodes = -62.22; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 15:16:01
Episode no = 9600; won: False; iter_time_steps = 72; Q(s,a) = 186.89067664653106; score = 49.0; mean_score/100_episodes = -71.93; reward = 111.0; mean_reward/100_episodes = -58.24; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:17:15
Episode no = 9700; won: False; iter_time_steps = 71; Q(s,a) = 187.0890564041346; score = 0.0; mean_score/100_episodes = -56.28; reward = 57.0; mean_reward/100_episodes = -47.56; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:18:42
Episode no = 9800; won: False; iter_time_steps = 47; Q(s,a) = 187.39000028840914; score = -176.0; mean_score/100_episodes = -122.58; reward = -139.0; mean_reward/100_episodes = -109.11; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:19:55
Episode no = 9900; won: False; iter_time_steps = 70; Q(s,a) = 188.84320630182248; score = 21.0; mean_score/100_episodes = -74.26; reward = 80.0; mean_reward/100_episodes = -55.81; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 15:21:09
Episode no = 10000; won: False; iter_time_steps = 364; Q(s,a) = 187.6923131858903; score = 77.0; mean_score/100_episodes = -42.15; reward = 171.0; mean_reward/100_episodes = -20.71; and epsilon = 0.1, win percentage = 0.02, 2024-11-28 15:22:38
Episode no = 10100; won: False; iter_time_steps = 38; Q(s,a) = 189.08708444800877; score = -217.0; mean_score/100_episodes = -70.78; reward = -196.0; mean_reward/100_episodes = -53.37; and epsilon = 0.1, win percentage = 0.01, 2024-11-28 15:24:00
Episode no = 10200; won: False; iter_time_steps = 13; Q(s,a) = 189.0944715888893; score = -402.0; mean_score/100_episodes = -44.3; reward = -391.0; mean_reward/100_episodes = -38.38; and epsilon = 0.1, win percentage = 0.02, 2024-11-28 15:25:17
Episode no = 10300; won: False; iter_time_steps = 19; Q(s,a) = 189.1582928265485; score = -388.0; mean_score/100_episodes = -24.45; reward = -386.0; mean_reward/100_episodes = -12.62; and epsilon = 0.1, win percentage = 0.04, 2024-11-28 15:26:37
Episode no = 10400; won: False; iter_time_steps = 176; Q(s,a) = 188.90057731757344; score = 465.0; mean_score/100_episodes = -65.4; reward = 399.0; mean_reward/100_episodes = -45.77; and epsilon = 0.1, win percentage = 0.0, 2024-11-28 15:27:54
Episode no = 10500; won: False; iter_time_steps = 82; Q(s,a) = 189.1326202888506; score = 449.0; mean_score/100_episodes = 24.26; reward = 203.0; mean_reward/100_episodes = 29.7; and epsilon = 0.1, win percentage = 0.05, 2024-11-28 15:29:14
Episode no = 10600; won: False; iter_time_steps = 37; Q(s,a) = 187.8714470515245; score = -196.0; mean_score/100_episodes = 33.3; reward = -162.0; mean_reward/100_episodes = 25.45; and epsilon = 0.1, win percentage = 0.04, 2024-11-28 15:30:41
Episode no = 10700; won: False; iter_time_steps = 54; Q(s,a) = 188.61575624004828; score = 237.0; mean_score/100_episodes = -1.31; reward = -33.0; mean_reward/100_episodes = 5.86; and epsilon = 0.1, win percentage = 0.03, 2024-11-28 15:32:06
Episode no = 10800; won: False; iter_time_steps = 23; Q(s,a) = 189.0148474752971; score = -342.0; mean_score/100_episodes = -11.6; reward = -324.0; mean_reward/100_episodes = -6.12; and epsilon = 0.1, win percentage = 0.03, 2024-11-28 15:33:33
