Episode no = 5900; won: False; iter_time_steps = 157; Q(s,a) = 193.91094010680075; score = 384.0; mean_score/100_episodes = -81.4; reward = 139.0; mean_reward/100_episodes = -99.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-20 15:03:40
Episode no = 6000; won: False; iter_time_steps = 159; Q(s,a) = 194.00889755731595; score = -98.0; mean_score/100_episodes = -104.08; reward = -42.0; mean_reward/100_episodes = -136.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.01, 2024-12-20 15:04:30
Episode no = 6100; won: False; iter_time_steps = 89; Q(s,a) = 228.89613022832123; score = 82.0; mean_score/100_episodes = -49.7; reward = -31.0; mean_reward/100_episodes = -93.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-20 15:05:30
Episode no = 6200; won: False; iter_time_steps = 114; Q(s,a) = 195.27859102155648; score = 247.0; mean_score/100_episodes = -138.99; reward = 153.0; mean_reward/100_episodes = -156.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-20 15:06:21
Episode no = 6300; won: False; iter_time_steps = 141; Q(s,a) = 194.27281577053273; score = -180.0; mean_score/100_episodes = -163.09; reward = -134.0; mean_reward/100_episodes = -173.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-20 15:07:11
Episode no = 6400; won: False; iter_time_steps = 23; Q(s,a) = 198.23403270353518; score = -332.0; mean_score/100_episodes = -115.39; reward = -302.0; mean_reward/100_episodes = -149.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.02, 2024-12-20 15:08:21
Episode no = 6500; won: False; iter_time_steps = 219; Q(s,a) = 223.19724085355975; score = -18.0; mean_score/100_episodes = -186.9; reward = -128.0; mean_reward/100_episodes = -187.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-20 15:09:16
Episode no = 6600; won: False; iter_time_steps = 65; Q(s,a) = 196.36375793711116; score = -364.0; mean_score/100_episodes = -196.85; reward = -344.0; mean_reward/100_episodes = -210.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-20 15:10:16
Episode no = 6700; won: False; iter_time_steps = 159; Q(s,a) = 196.60014821988892; score = 12.0; mean_score/100_episodes = -44.32; reward = 79.0; mean_reward/100_episodes = -70.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-20 15:11:25
Episode no = 6800; won: False; iter_time_steps = 191; Q(s,a) = 206.84314851676422; score = 0.0; mean_score/100_episodes = -141.06; reward = 80.0; mean_reward/100_episodes = -156.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:12:38
Episode no = 6900; won: False; iter_time_steps = 80; Q(s,a) = 198.53469937309907; score = -49.0; mean_score/100_episodes = -11.58; reward = 4.0; mean_reward/100_episodes = -53.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:13:34
Episode no = 7000; won: False; iter_time_steps = 16; Q(s,a) = 196.3622024140805; score = -375.0; mean_score/100_episodes = -106.71; reward = -361.0; mean_reward/100_episodes = -129.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:14:24
Episode no = 7100; won: False; iter_time_steps = 41; Q(s,a) = 199.50272219198303; score = -200.0; mean_score/100_episodes = 38.08; reward = -155.0; mean_reward/100_episodes = -18.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-20 15:15:36
Episode no = 7200; won: False; iter_time_steps = 173; Q(s,a) = 197.5440902646625; score = -132.0; mean_score/100_episodes = -50.12; reward = -78.0; mean_reward/100_episodes = -92.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:16:37
