Episode no = 5400; won: False; iter_time_steps = 47; Q(s,a) = 152.3187477088067; score = -206.0; mean_score/100_episodes = -177.9; reward = -172.0; mean_reward/100_episodes = -153.75; and epsilon = 0.28, win percentage = 0.0, 2024-11-29 06:43:12
Episode no = 5500; won: False; iter_time_steps = 27; Q(s,a) = 159.21866585663395; score = -336.0; mean_score/100_episodes = -184.18; reward = -306.0; mean_reward/100_episodes = -166.9; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-29 06:44:24
Episode no = 5600; won: False; iter_time_steps = 75; Q(s,a) = 156.91171502380485; score = -4.0; mean_score/100_episodes = -178.18; reward = 53.0; mean_reward/100_episodes = -151.55; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-29 06:45:31
Episode no = 5700; won: False; iter_time_steps = 52; Q(s,a) = 160.63540266025402; score = -131.0; mean_score/100_episodes = -138.21; reward = -89.0; mean_reward/100_episodes = -105.8; and epsilon = 0.24, win percentage = 0.0, 2024-11-29 06:46:44
Episode no = 5800; won: False; iter_time_steps = 21; Q(s,a) = 159.0988151797837; score = -350.0; mean_score/100_episodes = -142.07; reward = -333.0; mean_reward/100_episodes = -120.62; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-29 06:48:02
Episode no = 5900; won: False; iter_time_steps = 85; Q(s,a) = 162.22254932561663; score = -24.0; mean_score/100_episodes = -76.27; reward = 21.0; mean_reward/100_episodes = -50.35; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-11-29 06:49:31
Episode no = 6000; won: False; iter_time_steps = 13; Q(s,a) = 163.2786070261332; score = -412.0; mean_score/100_episodes = -157.25; reward = -402.0; mean_reward/100_episodes = -139.35; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-11-29 06:50:43
Episode no = 6100; won: False; iter_time_steps = 44; Q(s,a) = 162.6683467147513; score = -153.0; mean_score/100_episodes = -149.65; reward = -114.0; mean_reward/100_episodes = -125.23; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-11-29 06:51:49
Episode no = 6200; won: False; iter_time_steps = 95; Q(s,a) = 163.71493472170394; score = 256.0; mean_score/100_episodes = -98.89; reward = 161.0; mean_reward/100_episodes = -93.26; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-11-29 06:53:12
Episode no = 6300; won: False; iter_time_steps = 114; Q(s,a) = 165.04007243185907; score = 207.0; mean_score/100_episodes = -92.64; reward = 300.0; mean_reward/100_episodes = -80.59; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-11-29 06:54:35
Episode no = 6400; won: False; iter_time_steps = 93; Q(s,a) = 165.67253948611213; score = -2.0; mean_score/100_episodes = -68.07; reward = 57.0; mean_reward/100_episodes = -61.91; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-11-29 06:55:54
Episode no = 6500; won: False; iter_time_steps = 96; Q(s,a) = 166.00742994202753; score = 405.0; mean_score/100_episodes = -87.9; reward = 336.0; mean_reward/100_episodes = -74.64; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-11-29 06:57:05
Episode no = 6600; won: False; iter_time_steps = 22; Q(s,a) = 165.55564146753395; score = -341.0; mean_score/100_episodes = -66.98; reward = -323.0; mean_reward/100_episodes = -62.37; and epsilon = 0.12, win percentage = 0.0, 2024-11-29 06:58:26
Episode no = 6700; won: False; iter_time_steps = 145; Q(s,a) = 166.00096498926027; score = 246.0; mean_score/100_episodes = -88.38; reward = 335.0; mean_reward/100_episodes = -67.78; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-29 06:59:40
Episode no = 6800; won: False; iter_time_steps = 40; Q(s,a) = 166.69194709556416; score = -239.0; mean_score/100_episodes = -120.55; reward = -198.0; mean_reward/100_episodes = -96.81; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:00:54
Episode no = 6900; won: False; iter_time_steps = 13; Q(s,a) = 167.1997770097395; score = -392.0; mean_score/100_episodes = -152.68; reward = -380.0; mean_reward/100_episodes = -127.47; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:02:00
Episode no = 7000; won: False; iter_time_steps = 248; Q(s,a) = 167.35583751034795; score = 143.0; mean_score/100_episodes = -124.35; reward = 232.0; mean_reward/100_episodes = -102.88; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:03:12
Episode no = 7100; won: False; iter_time_steps = 33; Q(s,a) = 167.4199341638682; score = -212.0; mean_score/100_episodes = -73.91; reward = -180.0; mean_reward/100_episodes = -56.72; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:04:35
Episode no = 7200; won: False; iter_time_steps = 19; Q(s,a) = 168.59590655531596; score = -338.0; mean_score/100_episodes = -85.1; reward = -320.0; mean_reward/100_episodes = -63.91; and epsilon = 0.1, win percentage = 0.0, 2024-11-29 07:05:54
