Episode no = 4800; won: False; iter_time_steps = 15; Q(s,a) = -17.3690439408737; score = -514.0; mean_score/100_episodes = -511.92; reward = -514.0; mean_reward/100_episodes = -511.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:16:49
Episode no = 4900; won: False; iter_time_steps = 10; Q(s,a) = -17.23978857818216; score = -509.0; mean_score/100_episodes = -511.05; reward = -509.0; mean_reward/100_episodes = -511.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:16:58
Episode no = 5000; won: False; iter_time_steps = 8; Q(s,a) = -17.34967036872203; score = -507.0; mean_score/100_episodes = -511.86; reward = -507.0; mean_reward/100_episodes = -511.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:07
Episode no = 5100; won: False; iter_time_steps = 10; Q(s,a) = -17.206930512092796; score = -509.0; mean_score/100_episodes = -511.39; reward = -509.0; mean_reward/100_episodes = -511.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:16
Episode no = 5200; won: False; iter_time_steps = 12; Q(s,a) = -17.413339044652872; score = -511.0; mean_score/100_episodes = -510.81; reward = -511.0; mean_reward/100_episodes = -510.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:25
Episode no = 5300; won: False; iter_time_steps = 11; Q(s,a) = -17.472701950897427; score = -510.0; mean_score/100_episodes = -510.79; reward = -510.0; mean_reward/100_episodes = -510.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:33
Episode no = 5400; won: False; iter_time_steps = 9; Q(s,a) = -17.26325665515411; score = -508.0; mean_score/100_episodes = -510.55; reward = -508.0; mean_reward/100_episodes = -510.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:41
Episode no = 5500; won: False; iter_time_steps = 7; Q(s,a) = -17.45301926310465; score = -506.0; mean_score/100_episodes = -510.17; reward = -506.0; mean_reward/100_episodes = -510.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:49
Episode no = 5600; won: False; iter_time_steps = 7; Q(s,a) = -17.67920154438615; score = -506.0; mean_score/100_episodes = -509.96; reward = -506.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:17:57
Episode no = 5700; won: False; iter_time_steps = 7; Q(s,a) = -17.456768567280513; score = -506.0; mean_score/100_episodes = -509.3; reward = -506.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:05
Episode no = 5800; won: False; iter_time_steps = 14; Q(s,a) = -17.431865240982646; score = -513.0; mean_score/100_episodes = -510.47; reward = -513.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:13
Episode no = 5900; won: False; iter_time_steps = 10; Q(s,a) = -17.281141385093225; score = -509.0; mean_score/100_episodes = -510.48; reward = -509.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:22
Episode no = 6000; won: False; iter_time_steps = 8; Q(s,a) = -16.946459275489996; score = -507.0; mean_score/100_episodes = -509.84; reward = -507.0; mean_reward/100_episodes = -509.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:30
Episode no = 6100; won: False; iter_time_steps = 7; Q(s,a) = -17.1620049649091; score = -506.0; mean_score/100_episodes = -511.17; reward = -506.0; mean_reward/100_episodes = -510.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:39
Episode no = 6200; won: False; iter_time_steps = 7; Q(s,a) = -16.882773918215044; score = -506.0; mean_score/100_episodes = -512.63; reward = -506.0; mean_reward/100_episodes = -512.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:50
Episode no = 6300; won: False; iter_time_steps = 7; Q(s,a) = -17.430509800224524; score = -506.0; mean_score/100_episodes = -511.03; reward = -506.0; mean_reward/100_episodes = -510.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:18:59
Episode no = 6400; won: False; iter_time_steps = 24; Q(s,a) = -17.209942971875762; score = -523.0; mean_score/100_episodes = -510.35; reward = -523.0; mean_reward/100_episodes = -509.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 14:19:08
