Episode no = 6600; won: False; iter_time_steps = 49; Q(s,a) = 237.06774324419868; score = 222.0; mean_score/100_episodes = 203.83; reward = -50.0; mean_reward/100_episodes = 65.33; and epsilon = 0.12, win percentage = 0.0, 2024-11-27 17:02:56
Episode no = 6700; won: False; iter_time_steps = 85; Q(s,a) = 198.86959047742187; score = 686.0; mean_score/100_episodes = 256.06; reward = 273.0; mean_reward/100_episodes = 80.73; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-11-27 17:06:16
Episode no = 6800; won: False; iter_time_steps = 85; Q(s,a) = 208.3722424912789; score = -24.0; mean_score/100_episodes = 239.14; reward = 32.0; mean_reward/100_episodes = 79.8; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:09:36
Episode no = 6900; won: False; iter_time_steps = 21; Q(s,a) = 205.3410768406729; score = -400.0; mean_score/100_episodes = 240.12; reward = -377.0; mean_reward/100_episodes = 48.93; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:12:52
Episode no = 7000; won: False; iter_time_steps = 85; Q(s,a) = 206.29247810268217; score = 456.0; mean_score/100_episodes = 274.95; reward = 211.0; mean_reward/100_episodes = 95.26; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:16:20
Episode no = 7100; won: False; iter_time_steps = 47; Q(s,a) = 236.65061881251435; score = 264.0; mean_score/100_episodes = 177.54; reward = -4.0; mean_reward/100_episodes = 31.14; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:19:28
Episode no = 7200; won: False; iter_time_steps = 85; Q(s,a) = 193.76180361646968; score = 466.0; mean_score/100_episodes = 287.01; reward = 200.0; mean_reward/100_episodes = 92.82; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:22:49
Episode no = 7300; won: False; iter_time_steps = 85; Q(s,a) = 199.51507851080459; score = 386.0; mean_score/100_episodes = 263.74; reward = 145.0; mean_reward/100_episodes = 90.03; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:26:05
Episode no = 7400; won: False; iter_time_steps = 85; Q(s,a) = 198.32674643830566; score = 96.0; mean_score/100_episodes = 338.07; reward = 164.0; mean_reward/100_episodes = 136.75; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:29:49
Episode no = 7500; won: False; iter_time_steps = 38; Q(s,a) = 218.57296789648424; score = -7.0; mean_score/100_episodes = 373.82; reward = -134.0; mean_reward/100_episodes = 136.0; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:33:28
Episode no = 7600; won: False; iter_time_steps = 85; Q(s,a) = 203.8302074520424; score = 286.0; mean_score/100_episodes = 292.62; reward = 193.0; mean_reward/100_episodes = 102.63; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:36:54
Episode no = 7700; won: False; iter_time_steps = 85; Q(s,a) = 212.24816752459435; score = 456.0; mean_score/100_episodes = 339.19; reward = 211.0; mean_reward/100_episodes = 123.79; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:40:29
Episode no = 7800; won: False; iter_time_steps = 46; Q(s,a) = 241.17615137910073; score = 175.0; mean_score/100_episodes = 361.38; reward = -102.0; mean_reward/100_episodes = 128.02; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:43:59
Episode no = 7900; won: False; iter_time_steps = 85; Q(s,a) = 208.99144355189898; score = 256.0; mean_score/100_episodes = 325.13; reward = 160.0; mean_reward/100_episodes = 104.88; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:47:25
Episode no = 8000; won: False; iter_time_steps = 85; Q(s,a) = 219.6222536609859; score = 326.0; mean_score/100_episodes = 306.1; reward = 237.0; mean_reward/100_episodes = 114.28; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:51:02
Episode no = 8100; won: False; iter_time_steps = 85; Q(s,a) = 214.72777457163244; score = 466.0; mean_score/100_episodes = 294.63; reward = 211.0; mean_reward/100_episodes = 106.69; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:54:41
Episode no = 8200; won: False; iter_time_steps = 85; Q(s,a) = 197.9196933134946; score = 256.0; mean_score/100_episodes = 305.65; reward = 120.0; mean_reward/100_episodes = 134.93; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 17:58:23
Episode no = 8300; won: False; iter_time_steps = 85; Q(s,a) = 197.0480283526265; score = 56.0; mean_score/100_episodes = 337.34; reward = 120.0; mean_reward/100_episodes = 146.98; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:02:01
Episode no = 8400; won: False; iter_time_steps = 85; Q(s,a) = 197.55934502483575; score = 56.0; mean_score/100_episodes = 336.92; reward = 120.0; mean_reward/100_episodes = 134.1; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:05:24
Episode no = 8500; won: False; iter_time_steps = 85; Q(s,a) = 213.99035536805815; score = 436.0; mean_score/100_episodes = 325.09; reward = 178.0; mean_reward/100_episodes = 119.76; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:08:57
Episode no = 8600; won: False; iter_time_steps = 85; Q(s,a) = 228.01112933470324; score = 636.0; mean_score/100_episodes = 362.76; reward = 218.0; mean_reward/100_episodes = 145.96; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:12:26
Episode no = 8700; won: False; iter_time_steps = 85; Q(s,a) = 214.97174212041114; score = 316.0; mean_score/100_episodes = 282.72; reward = 237.0; mean_reward/100_episodes = 116.7; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:15:50
Episode no = 8800; won: False; iter_time_steps = 85; Q(s,a) = 203.8458308644781; score = 186.0; mean_score/100_episodes = 302.05; reward = 83.0; mean_reward/100_episodes = 131.47; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:19:15
Episode no = 8900; won: False; iter_time_steps = 85; Q(s,a) = 221.51594166834383; score = 476.0; mean_score/100_episodes = 343.33; reward = 233.0; mean_reward/100_episodes = 163.64; and epsilon = 0.1, win percentage = 0.0, 2024-11-27 18:22:44
